Date,MTUM,VLUE,QUAL,USMV,RPV,IVE,IWF,SPY
2021-04-22,164.21786349711834,91.48938191729357,120.03222591196794,66.68169773789307,67.05076105967413,132.03852398347118,63.236373933018434,388.265230915813
2021-04-23,164.79381042236875,91.21043486439234,120.36124842640841,66.7368351066331,67.41439379335743,132.31937978235996,63.495804522174225,389.6346660114109
2021-04-26,165.93612007200906,91.50681094233764,120.22966005246896,66.61735198614754,67.8489736932037,132.50965685349433,63.663057801333196,389.60661044348035
2021-04-27,166.4742894894407,91.43708570830987,120.02286107390786,66.27735326555265,67.72481148144635,132.24687937640897,63.68730409404099,389.53210359386003
2021-04-28,165.63406849071978,91.42837623964589,120.20143805265565,66.11192410322285,68.15051179685027,132.56405457650627,63.56366013620751,390.3425450797539
2021-04-29,166.096657022781,91.79446095907113,120.97220575948292,66.31409166702468,68.91326816126075,133.57876583264712,63.81093604169081,391.93561848281814
2021-04-30,164.07628579174485,91.42834970431113,120.31422417938875,66.18544545239382,68.77137163104815,133.116725278069,63.35517222750253,389.90469378427656
2021-05-03,163.54758217453008,92.06468357820309,120.86880105955316,66.70006903934026,69.53411283530887,134.1586428600223,63.34304666876698,391.1158246327663
2021-05-04,159.9505151119185,91.51552666198425,120.12622963758851,66.4427661543529,69.44541931152344,133.85971069335938,62.3757366230246,388.09747082223015
2021-05-05,160.15821380691486,92.43076818164859,120.45521569182132,66.47031866583822,70.1194788268446,134.61172229028185,62.26180409472496,389.0569834839452
2021-05-06,157.7035675048828,93.13681599122152,120.84061097701137,66.73682085630996,70.87336342282568,135.4543170530372,61.830265045166016,390.5289359008101
2021-05-07,160.76247689945117,94.09564282020796,121.93095120935753,67.21470571890701,71.62722849636378,136.59594985553053,62.64484456058338,393.8919265936675
2021-05-10,158.71374508769392,94.48789260804378,122.02495895108271,67.64661568589001,72.68267211805818,137.9278167299176,62.16482521977295,393.81738162988034
2021-05-11,155.95696308522116,92.80559444986575,119.81606492125364,66.79199472888656,71.43210712694881,135.74428625737755,60.96719903214503,386.8584779431412
2021-05-12,154.28588709549973,91.94266283185121,118.97008571963093,66.29569401059778,70.87336189538847,134.66604681233102,60.382935023425986,384.3619484947066
2021-05-13,153.26626007146294,91.7944694731985,119.1674747284118,66.49788714874946,70.74031992154553,134.72947426103465,60.29322506346205,384.1382223326197
2021-05-14,155.09779819165536,92.97122304658852,120.61500064236499,66.9298129896376,71.74253953306525,135.9979552997254,61.112653977886865,388.9265708311616
2021-05-17,154.39918175176206,93.197827392407,120.1356371912688,66.80117538933261,72.08844030697817,135.98892030137588,60.82416369843778,387.90187074432333
2021-05-18,155.14500233601134,92.86661097832128,119.9570601641798,66.59898233759019,72.13279028909018,135.79860906930094,61.01811180631291,387.59443468838975
2021-05-19,153.09631693788793,91.4632339477539,118.69750419474256,65.95569099152529,70.50972517277543,133.69661843067635,60.35627103107915,382.9271861523255
2021-05-20,156.8349486473472,92.47434145798799,120.37062178689749,66.92980466396017,70.7137077049337,134.88352595349733,61.517518555684994,388.1253793888649
