date,finra_margin_debt_yoy_z_lag22,finra_margin_debt_mom_z_lag22
2024-03-26,0.8976594120530409,0.05719853923657887
2024-03-27,0.8851073742492892,0.06473372940352781
2024-03-28,0.8727153503854467,0.07233155962852279
2024-04-01,0.8604773652413642,0.07999439962811901
2024-04-02,2.2913317531224173,1.3696020852515627
2024-04-03,2.225942237418623,1.3620019583111231
2024-04-04,2.165477724595369,1.3386088232982107
2024-04-05,2.108674517788103,1.3158400487235173
2024-04-08,2.05515533039483,1.293661328849874
2024-04-09,2.0045952097236706,1.272040792962951
2024-04-10,1.956712540327898,1.2509487803794113
2024-04-11,1.9112618697250854,1.23035764004712
2024-04-12,1.8680281355476613,1.2102415515969611
2024-04-15,1.8268219815531672,1.1905763651580736
2024-04-16,1.7874759277219991,1.1713394576279366
2024-04-17,1.7498412162242079,1.1525096034085347
2024-04-18,1.7137851966287172,1.134066857890095
2024-04-19,1.6791891446493385,1.1159924521930689
2024-04-22,1.6459464319428916,1.0982686978739096
2024-04-23,1.6139609820781213,1.0808789004664328
2024-04-24,1.5831459612570566,1.0638072808727106
2024-04-25,1.5534226627524172,1.0470389037393542
2024-04-26,1.5247195520931955,1.0305596120598162
2024-04-29,1.4969714463473085,1.0143559673336178
2024-04-30,1.4701188058298642,0.9984151946913148
2024-05-01,1.7311414596702617,0.92153004859631
2024-05-02,1.6964788430588418,0.9069980220391597
2024-05-03,1.6620684657068416,0.8936349982304223
2024-05-06,1.6289863609103339,0.8804454871129318
2024-05-07,1.5971381825603705,0.8674224596488695
2024-05-08,1.566438586837043,0.8545591636063166
2024-05-09,1.5368101483009193,0.8418491057643495
2024-05-10,1.5081824312731544,0.8292860352723835
2024-05-13,1.4804911908473841,0.8168639280632973
2024-05-14,1.453677682647704,0.8045769722288079
2024-05-15,1.427688064236662,0.792419554273527
2024-05-16,1.4024728741056534,0.7803862461712248
2024-05-17,1.377986576614356,0.7684717931531485
2024-05-20,1.3541871632132825,0.7566711021638899
2024-05-21,1.3310358018819857,0.7449792309253062
2024-05-22,1.3084965280206717,0.7333913775534698
2024-05-23,1.286535971103743,0.7219028706775896
2024-05-24,1.2651231122862934,0.7105091600133516
2024-05-28,1.244229068884988,0.6992058073462395
2024-05-29,1.2238269022618526,0.687988477883096
2024-05-30,1.203891446146059,0.6768529319325884
2024-05-31,1.3081317776432273,-0.740818201647463
2024-06-03,1.2863185077830732,-0.7411017606920804
2024-06-04,1.268093964183992,-0.7618077674780472
2024-06-05,1.2504094328326885,-0.7833550880178736
2024-06-06,1.2332512083219695,-0.8058134843309103
2024-06-07,1.2166078465500623,-0.8292611441994562
2024-06-10,1.200470187483216,-0.853786045922253
2024-06-11,1.1848314120438257,-0.879487604149975
2024-06-12,1.1696871369743544,-0.9064786680038769
2024-06-13,1.1550355529542953,-0.9348879643572872
2024-06-14,1.140877613028109,-0.9648631086411443
2024-06-17,1.1272172806674567,-0.9965743460989792
2024-06-18,1.1140618497207622,-1.030219242938208
2024-06-20,1.1014223523476092,-1.0660286266637486
2024-06-21,1.0893140761484543,-1.1042741893429493
2024-06-24,1.077757218588028,-1.145278334331664
2024-06-25,1.0667777162088323,-1.189427094351355
2024-06-26,1.0564082991217751,-1.2371873229066617
2024-06-27,1.0466898394625537,-1.289129939149779
2024-06-28,1.0376730883738048,-1.345961921388945
2024-07-01,1.0294209334162285,-1.4085712323355986
2024-07-02,1.0220113631184793,-1.4780913527592274
2024-07-03,1.3825448378181353,0.35446388520777916
2024-07-05,1.364960310301213,0.3534102117201688
2024-07-08,1.3481002391881671,0.35235747730623285
2024-07-09,1.331961404048473,0.351305677766685
2024-07-10,1.3165451595871867,0.3502548089172899
2024-07-11,1.3018578058968109,0.3492048665887686
2024-07-12,1.2879110820379076,0.3481558466267031
2024-07-15,1.2747228100261307,0.3471077448914446
2024-07-16,1.2623177254988174,0.3460605572580183
2024-07-17,1.2507285438065412,0.34501427961603337
2024-07-18,1.2399973274489788,0.34396890786958884
2024-07-19,1.230177244776924,0.34292443793718463
2024-07-22,1.221334843943147,0.34188086575162874
2024-07-23,1.2135530151955187,0.3408381872599493
2024-07-24,1.2069348866316352,0.339796398423303
2024-07-25,1.2016090061284326,0.33875549521688847
2024-07-26,1.1977363261517466,0.33771547362985543
2024-07-29,1.1955197636989736,0.3366763296652194
2024-07-30,1.1952175157664036,0.3356380593397729
2024-07-31,1.1971619807637603,0.3346006586839989
2024-08-01,0.0012428945758027879,-1.185245348849931
2024-08-02,-0.024949439766990888,-1.1678668564657457
2024-08-05,-0.030047105580754584,-1.149091016719176
2024-08-06,-0.03516362101309154,-1.130699088866434
2024-08-07,-0.04029953429469862,-1.112672465836516
2024-08-08,-0.04545540429450554,-1.0949936067006796
2024-08-09,-0.05063180090721792,-1.0776459514362007
2024-08-12,-0.0558293054554879,-1.060613843398064
2024-08-13,-0.061048511107406826,-1.0438824586512063
2024-08-14,-0.06629002331009909,-1.0274377414183262
2024-08-15,-0.07155446024020555,-1.0112663449865202
2024-08-16,-0.07684245327210262,-0.9953555774921972
2024-08-19,-0.08215464746473747,-0.9796933520696239
2024-08-20,-0.08749170206804277,-0.9642681409055576
2024-08-21,-0.0928542910499079,-0.9490689327919257
2024-08-22,-0.09824310364477121,-0.9340851938115149
2024-08-23,-0.10365884492493757,-0.9193068308289419
2024-08-26,-0.10910223639581405,-0.9047241574915992
2024-08-27,-0.11457401661630379,-0.8903278624733583
2024-08-28,-0.12007494184569462,-0.8761089797181566
2024-08-29,-0.12560578671842465,-0.8620588604615714
2024-08-30,-1.0457187349705377,-0.7774165391695094
2024-09-03,-1.0668296256618377,-0.7774874906675915
2024-09-04,-1.0887222372731158,-0.7775584494954605
2024-09-05,-1.1114523237147313,-0.7776294156547948
2024-09-06,-1.1350814071392477,-0.7777003891472731
2024-09-09,-1.159677572359504,-0.7777713699745743
2024-09-10,-1.1853163994987315,-0.7778423581383784
2024-09-11,-1.2120820642630157,-0.7779133536403656
2024-09-12,-1.2400686426860983,-0.7779843564822164
2024-09-13,-1.2693816668784215,-0.7780553666656124
2024-09-16,-1.3001399909833777,-0.778126384192235
2024-09-17,-1.3324780432747456,-0.7781974090637668
2024-09-18,-1.3665485626316956,-0.7782684412818904
2024-09-19,-1.402525947660305,-0.7783394808482895
2024-09-20,-1.440610387616512,-0.7784105277646477
2024-09-23,-1.4810330006047072,-0.7784815820326496
2024-09-24,-1.5240622830952002,-0.7785526436539797
2024-09-25,-1.5700122859294328,-0.7786237126303238
2024-09-26,-1.6192530915206136,-0.7786947889633677
2024-09-27,-1.672224399765853,-0.778765872654798
2024-09-30,-1.729453376036297,-0.7788369637063017
2024-10-01,-1.6993850377920097,-0.7657701183325509
2024-10-02,-1.6703723898950762,-0.7528102410098495
2024-10-03,-1.242714403247565,-1.410068750039732
2024-10-04,-1.2283372603287124,-1.3869026768620798
2024-10-07,-1.214225243523742,-1.3644120265490869
2024-10-08,-1.2003687068349564,-1.3425628170452575
2024-10-09,-1.1867584793421366,-1.3213237901287544
2024-10-10,-1.173385835221024,-1.3006661878965429
2024-10-11,-1.1602424660427073,-1.280563557784737
2024-10-14,-1.1473204551513432,-1.2609915830321774
2024-10-15,-1.1346122539381396,-1.2419279360472932
2024-10-16,-1.1221106598476929,-1.2233521526216264
2024-10-17,-1.1098087959689036,-1.205245525365018
2024-10-18,-1.09770009207708,-1.1875910151322409
2024-10-21,-1.0857782670066147,-1.1703731795824883
2024-10-22,-1.0740373122450513,-1.1535781183747151
2024-10-23,-1.0624714766495837,-1.1371934348666477
2024-10-24,-1.0510752521961475,-1.1212082145676185
2024-10-25,-1.0398433606794926,-1.1056130210113062
2024-10-28,-1.0287707412899476,-1.090399910182996
2024-10-29,-1.0178525389992399,-1.075562465180514
2024-10-30,-0.04774445894686437,0.3263140673891298
2024-10-31,-0.043715630423368824,0.3399777406380658
2024-11-01,-0.03968057894645206,0.35399789528888553
2024-11-04,-0.035639079854987134,0.3683975313226764
2024-11-05,-0.03159090631614665,0.3832017317868719
2024-11-06,-0.02753582925176878,0.3984379163983796
2024-11-07,-0.02347361726309668,0.4141361340819881
2024-11-08,-0.01940403655383808,0.4303294017341382
2024-11-11,-0.01532685085147222,0.4470540981267677
2024-11-12,-0.01124182132675844,0.4643504239139803
2024-11-13,-0.007148706511343535,0.4822629413031134
2024-11-14,-0.003047262213423023,0.5008412102724834
2024-11-15,0.0010627585686441656,0.5201405424925577
2024-11-18,0.005181605734806048,0.540222899652679
2024-11-19,0.009309532174004568,0.5611579701497781
2024-11-20,0.013446793857123607,0.5830244676699686
2024-11-21,0.017593649932310624,0.605911707951076
2024-11-22,0.021750362822734657,0.6299215371855221
2024-11-25,0.025917198326908586,0.6551707088895896
2024-11-26,0.03009442572164577,0.681793838237821
2024-11-27,0.034282317867778,0.7099471077245495
2024-11-29,0.04099248848301137,0.6981774235862813
2024-12-02,0.047745502542766445,0.6864914906360331
2024-12-03,2.223265487274867,-0.19846296115193598
2024-12-04,2.176500039993661,-0.20466860388893163
2024-12-05,2.1320082531396447,-0.21092143113862077
2024-12-06,2.0896023973705704,-0.21722274754005694
2024-12-09,2.0491158074758533,-0.22357389861794566
2024-12-10,2.0103999324127626,-0.22997627260486586
2024-12-11,1.9733218754310027,-0.2364313023616386
2024-12-12,1.9377623308407328,-0.24294046740222958
2024-12-13,1.9036138439570915,-0.2495052960300544
2024-12-16,1.8707793360248097,-0.2561273675930825
2024-12-17,1.8391708476961397,-0.2628083148657067
2024-12-18,1.8087084637775528,-0.2695498265659694
2024-12-19,1.7793193891144132,-0.2763536500174134
2024-12-20,1.7509371511194565,-0.2832215939655697
2024-12-23,1.7235009089213174,-0.29015553155989565
2024-12-24,1.6969548526768479,-0.29715740351286885
2024-12-26,1.6712476794546929,-0.3042292214489002
2024-12-27,1.6463321344091781,-0.31137307145679094
2024-12-30,1.6221646078394265,-0.3185911178606184
2024-12-31,1.5987047802585044,-0.3258856072252
2025-01-02,1.586041479492836,-0.31274141037857056
2025-01-03,2.679885491858796,4.165572272171437
2025-01-06,2.604722630998898,3.93213181717485
2025-01-07,2.5346888532361187,3.7317865435883726
2025-01-08,2.469206763109265,3.557294972468069
2025-01-10,2.407786277480863,3.403458864318761
2025-01-13,2.3500083312381217,3.2664367675039343
2025-01-14,2.295512153800665,3.1433199684638713
2025-01-15,2.243985226752772,3.031859971954778
2025-01-16,2.195155279304252,2.93028740505912
2025-01-17,2.1487838500803753,2.837188171963094
2025-01-21,2.1046610653204842,2.751416626549484
2025-01-22,2.0626013707890554,2.672033356627036
2025-01-23,2.0224400180745126,2.598259736819849
2025-01-24,1.9840301525336461,2.529444156768024
2025-01-27,1.9472403847548638,2.4650365370339333
2025-01-28,1.9119527533971745,2.404568831013973
2025-01-29,1.8780610069514199,2.347639918669728
2025-01-30,1.845469147022615,2.293903768594642
2025-01-31,1.8140901873353867,2.243060064065145
2025-02-03,1.7749259861188005,2.1807844502836367
2025-02-04,0.9170344983270303,-0.20043692829611737
2025-02-05,0.9041993411246806,-0.202840849145048
2025-02-06,0.8915341766357996,-0.20524964743395724
2025-02-07,0.8790326112026375,-0.207663378271655
2025-02-10,0.8666885093779497,-0.21008209726465174
2025-02-11,0.8544959784155778,-0.2125058605248975
2025-02-12,0.8424493537852259,-0.2149347246776498
2025-02-13,0.8305431856273318,-0.2173687468694736
2025-02-14,0.8187722260715107,-0.21980798477637456
2025-02-18,0.8071314173487945,-0.2222524966120702
2025-02-19,0.7956158806340009,-0.22470234113640117
2025-02-20,0.7842209055599995,-0.22715757766388495
2025-02-21,0.7729419403505837,-0.22961826607241667
2025-02-24,0.7617745825230401,-0.23208446681211795
2025-02-25,0.7507145701155197,-0.2345562409143394
2025-02-26,0.7397577733978795,-0.23703365000081908
2025-02-27,0.7289001870279153,-0.2395167562929985
2025-02-28,0.7181379226177984,-0.2420056226215035
2025-03-03,0.7074672016781776,-0.2445003124357897
2025-03-04,0.6968843489097679,-0.24700088981395865
2025-03-05,1.333845981224522,0.7249711389127094
2025-03-06,1.3124783352070895,0.7145906719480887
2025-03-07,1.2916808403080287,0.7042985766533904
2025-03-10,1.2714264995965319,0.6940915271350431
2025-03-11,1.2516903740358676,0.683966287309795
2025-03-12,1.232449428746666,0.6739197056967067
2025-03-13,1.213682398755034,0.6639487104484363
2025-03-14,1.195369672401614,0.6540503046033576
2025-03-17,1.1774931909352506,0.6442215615412327
2025-03-18,1.1600363631293467,0.6344596206262413
2025-03-19,1.1429839940503959,0.6247616830221372
2025-03-20,1.126322227386387,0.6151250076651826
2025-03-21,1.1100385010169511,0.6055469073812868
2025-03-24,1.0941215157874027,0.5960247451344887
2025-03-25,1.0785612177455672,0.5865559303945438
2025-03-26,1.0633487944261368,0.5771379156119305
2025-03-27,1.0484766861365593,0.567768192789078
2025-03-28,1.0339386136296707,0.5584442901370423
2025-03-31,1.019729624064061,0.5491637688072142
2025-04-01,-0.3478682395096871,-1.3194691588492369
2025-04-02,-0.36314609149912774,-1.3072410296386003
2025-04-03,-0.37889104972454246,-1.2952113057755763
2025-04-04,-0.3951373862486014,-1.283373884150029
2025-04-07,-0.40875345033177635,-1.2811954775556404
2025-04-08,-0.4227227483410057,-1.2790238813410575
2025-04-09,-0.43706705770735355,-1.2768590556268424
2025-04-10,-0.4518100500174641,-1.27470096086008
2025-04-11,-0.46697751167467905,-1.2725495578109303
2025-04-14,-0.48259759693211507,-1.270404807569231
2025-04-15,-0.4987011190801232,-1.2682666715411373
2025-04-16,-0.5153218867980863,-1.2661351114458108
2025-04-17,-0.5324970942121803,-1.2640100893121466
2025-04-21,-0.5502677751236865,-1.261891567475545
2025-04-22,-0.5686793343015578,-1.2597795085747212
2025-04-23,-0.5877821718224245,-1.2576738755485588
2025-04-24,-0.6076324203981297,-1.255574631633002
2025-04-25,-0.6282928207372032,-1.2534817403579852
2025-04-28,-0.6498337666288639,-1.2513951655444044
2025-04-29,-0.6723345601520142,-1.2493148713011244
2025-04-30,-0.6958849289472356,-1.2472408220220261
2025-05-01,-2.8445776333781376,-1.8517065442004237
2025-05-02,-2.802008630065934,-1.8303686809002166
2025-05-05,-2.7288907837800003,-1.7927760106130004
2025-05-06,-2.660515056398979,-1.7567614642729936
2025-05-07,-2.5963752994135874,-1.7222073068533545
2025-05-08,-2.5360380964146745,-1.6890077089485118
2025-05-09,-2.4791298400657045,-1.657067236222933
2025-05-12,-2.4253265104089823,-1.626299566859753
2025-05-13,-2.374345511397322,-1.596626397397179
2025-05-14,-2.3259390929970456,-1.5679765050775691
2025-05-15,-2.279889007200359,-1.5402849409014807
2025-05-16,-2.236002133328973,-1.5134923323694875
2025-05-19,-2.194106871413117,-1.4875442787013724
2025-05-20,-2.1540501491461836,-1.4623908243658406
2025-05-21,-2.1156949227062376,-1.4379859992013395
2025-05-22,-2.0789180779051355,-1.4142874153874554
2025-05-23,-2.043608657994257,-1.3912559131347666
2025-05-27,-2.009666359672355,-1.3688552482748433
2025-05-28,-1.97700025059027,-1.3470518160103024
2025-05-29,-1.9455276707895952,-1.3258144059737587
2025-05-30,-1.9151732876775946,-1.3051139844805022
2025-06-02,-2.246675755551663,-1.1054097125102942
2025-06-03,-2.198792591732674,-1.0900713784020866
2025-06-04,-2.1532772067253894,-1.0750083826327366
2025-06-05,-2.1099310956346806,-1.0602096633893676
2025-06-06,-2.0558746756868023,-1.0488010820608848
2025-06-09,-2.004822143699523,-1.0375569473105137
2025-06-10,-1.9564853419296353,-1.0264721864706587
2025-06-11,-1.910613338255723,-1.0155419332738878
2025-06-12,-1.8669864447042024,-1.0047615169416184
2025-06-13,-1.8254113709577091,-0.9941264519672766
2025-06-16,-1.7857172666728878,-0.9836324285421287
2025-06-17,-1.7477524660724593,-0.9732753035764097
2025-06-18,-1.7113817920487187,-0.9630510922723342
2025-06-20,-1.6764843094973463,-0.9529559602092101
2025-06-23,-1.6429514419510216,-0.942986215904133
2025-06-24,-1.6106853840121198,-0.933138303814716
2025-06-25,-1.579597756157217,-0.9234087977530147
2025-06-26,-1.5496084593232102,-0.9137943946822539
2025-06-27,-1.52064469509555,-0.9042919088702035
2025-06-30,-1.4926401238951434,-0.8948982663750947
2025-07-01,-1.4655341387380216,-0.8856104998418202
2025-07-02,-1.4392712362452758,-0.8764257435878637
2025-07-03,-0.9651011875696586,1.6027735814783455
2025-07-07,-0.9508049231881915,1.5736820656275294
2025-07-08,-0.936716847531988,1.5455752664944833
2025-07-09,-0.9219284047769531,1.5510059181565667
2025-07-10,-0.9073376784173518,1.5564776529789606
2025-07-11,-0.8929353638905694,1.5619910330809137
2025-07-14,-0.8787125104756308,1.5675466314601156
2025-07-15,-0.864660493641141,1.5731450322656764
2025-07-16,-0.8507709890665102,1.5787868310795334
2025-07-17,-0.8370359481579451,1.584472635206599
2025-07-18,-0.8234475748961285,1.5902030639739697
2025-07-21,-0.8099983038661593,1.5959787490395378
2025-07-22,-0.7966807793325204,1.601800334710345
2025-07-23,-0.7834878352327704,1.6076684782710613
2025-07-24,-0.7704124759736805,1.6135838503229587
2025-07-25,-0.7574478579228472,1.619547135133781
2025-07-28,-0.744587271497855,1.6255590309989318
2025-07-29,-0.7318241237640952,1.6316202506144124
2025-07-30,-0.7191519214619333,1.6377315214619634
2025-07-31,0.5037791781448488,1.8759522853834505
2025-08-01,0.5168436173229489,1.8745811267084347
