date,actual_rv,jump_share_lag1,jump_event_lag1,HAR_forecast,HAR_C_forecast,HAR_RVJ_forecast,HAR_CJ_forecast,HAR_CJ_cluster_forecast
2024-12-19,5.7821044001589625e-05,0.038183421703923796,1.0,4.760704156069995e-05,4.789625023922638e-05,4.703781268993673e-05,4.7106179447385444e-05,4.703276411912767e-05
2024-12-20,5.594508129619926e-05,0.07792539327583813,1.0,5.1320633244462445e-05,5.058102806402738e-05,5.043640526919826e-05,5.0632306187069926e-05,5.0554548851654064e-05
2024-12-23,5.285739165712251e-05,0.14069921926448903,1.0,5.19031733139306e-05,5.050886363365394e-05,5.056349292257259e-05,5.0773048389017534e-05,5.065451564542439e-05
2024-12-24,2.1792110357883385e-05,0.19753811335184704,1.0,5.137785125715116e-05,4.8078282148511467e-05,5.0008115562271686e-05,5.018450076579521e-05,5.0073661295192955e-05
2024-12-25,1.425316062776738e-05,0.0,0.0,3.9265715629691124e-05,3.9299913156063024e-05,4.076791652419e-05,4.038094125456757e-05,4.033820386921039e-05
2024-12-26,1.0292247591247894e-05,0.048971568008431866,1.0,3.215126973062265e-05,3.161541603283603e-05,3.191570680520592e-05,3.1391578353241476e-05,3.1387657023884866e-05
2024-12-27,1.5199396157995226e-05,0.0,0.0,2.5671916474713386e-05,2.569508359391977e-05,2.6567579322210566e-05,2.5925423124945465e-05,2.5949129829219612e-05
2024-12-30,1.902494483575978e-05,0.0,0.0,2.508669477339571e-05,2.559132113443839e-05,2.5920189917608216e-05,2.5363662117280912e-05,2.5395167555293126e-05
2024-12-31,3.28488647307375e-05,0.07426094598558272,1.0,2.2721564035670313e-05,2.3485769331627565e-05,2.244937731872556e-05,2.247401936617521e-05,2.2510790515402764e-05
2025-01-02,4.975914082915267e-05,0.10499532190264961,1.0,2.7954362942220013e-05,2.8076641181390456e-05,2.743243400995022e-05,2.735089966917488e-05,2.7337643273500818e-05
2025-01-03,4.263336030887001e-05,0.09187539551066852,1.0,3.6670513620288295e-05,3.6556305102599096e-05,3.610130141936103e-05,3.588486938408251e-05,3.593946783462885e-05
2025-01-06,2.2848071771137545e-05,0.0,0.0,3.85136028159575e-05,3.968437719726325e-05,3.948648130646906e-05,3.941069999427556e-05,3.943796209935912e-05
2025-01-07,3.8251177719843396e-05,0.0,0.0,3.254047285437098e-05,3.356702320091674e-05,3.317547348097856e-05,3.3042113516400544e-05,3.3062895232705434e-05
2025-01-08,3.4045159627505716e-05,0.08837856513696626,1.0,3.994666911455233e-05,3.992914424640489e-05,3.902985327182228e-05,3.8929159408070334e-05,3.901815753013171e-05
2025-01-09,3.549368973760451e-05,0.0,0.0,3.856246732897177e-05,3.9976214475958584e-05,3.9431637011367275e-05,3.9245619928129245e-05,3.934082609543727e-05
2025-01-10,5.5134193005638616e-05,0.0,0.0,3.7802324081380975e-05,3.9634903137824516e-05,3.8821453276541626e-05,3.874334600895738e-05,3.890095691765438e-05
2025-01-13,0.00015118003223782992,0.39068055790769607,1.0,4.4500855740607286e-05,3.799569697331031e-05,4.2326571155797544e-05,4.126498193372023e-05,4.145556518293432e-05
2025-01-14,5.857680945721605e-05,0.0,0.0,7.711823497462541e-05,7.788516108483157e-05,7.946566295022451e-05,8.028192593334635e-05,8.070304059496771e-05
2025-01-15,4.185401900558859e-05,0.476907820499534,1.0,5.966171806400412e-05,4.776678536611405e-05,5.781671268878377e-05,5.712864541082308e-05,5.758576426905435e-05
2025-01-16,6.160135883116339e-05,0.06651799600831851,1.0,5.4388800907055664e-05,5.1795562642334424e-05,5.4053820897720505e-05,5.4643193629953026e-05,5.500639699496265e-05
2025-01-17,7.159690213113243e-05,0.18000532192947105,1.0,6.321768236059609e-05,5.719817806670529e-05,6.223886286380441e-05,6.360715185953095e-05,6.386795403101161e-05
2025-01-20,2.3515412373595196e-05,0.09217074798295367,1.0,6.7906271254367e-05,6.478257824267095e-05,6.723888310599725e-05,6.819006988630542e-05,6.825837957987377e-05
2025-01-21,3.9749010303392195e-05,0.030582295078611228,1.0,4.066029805089421e-05,3.855751813673323e-05,4.0218579151166844e-05,3.9363412350378204e-05,3.9287818175317934e-05
2025-01-22,2.969005419352364e-05,0.0,0.0,4.596570523132505e-05,4.626666197408352e-05,4.724534045209969e-05,4.672430423936887e-05,4.6443497422871016e-05
2025-02-03,9.257176147840143e-05,0.3880292648396962,1.0,4.099284796059232e-05,3.488298495896653e-05,3.960802450824267e-05,3.9281392559863995e-05,3.908226440091883e-05
2025-02-04,4.763468633600799e-05,0.17263566075389492,1.0,6.134543457670447e-05,5.688526063870663e-05,6.0393473996998975e-05,6.057032080550546e-05,6.0281622784281835e-05
2025-02-05,4.879671329587058e-05,0.0,0.0,4.838125024209442e-05,4.795241088790624e-05,5.033375864692549e-05,5.0203441331739966e-05,5.0061705670085924e-05
2025-02-06,3.106897843451115e-05,0.0,0.0,5.1191593890943935e-05,5.106247060531664e-05,5.350425185751514e-05,5.3602597180825006e-05,5.3470243852944735e-05
2025-02-07,1.4463305131373836e-05,0.0,0.0,4.418446656749564e-05,4.407236486904806e-05,4.615936838052513e-05,4.611216235603035e-05,4.599809997240747e-05
2025-02-10,4.1171723455050454e-05,0.11204659291819868,1.0,3.414684430497046e-05,3.348477216248124e-05,3.4166387099263496e-05,3.378090940241878e-05,3.365195659494162e-05
2025-02-11,2.6029105059823784e-05,0.03969166772495247,1.0,4.219705870220396e-05,4.349398442313344e-05,4.237567028526637e-05,4.2531753998217645e-05,4.2312115699331664e-05
2025-02-12,2.4636386283790896e-05,0.005486508424995432,0.0,3.4811818392839915e-05,3.631799563601208e-05,3.630711199529044e-05,3.645321229020921e-05,3.6194074495937034e-05
