factor,variant,cost_bps,period,start,end,n_months,managed_sharpe,unmanaged_sharpe,sharpe_difference,managed_annual_return,unmanaged_annual_return,managed_annual_volatility,unmanaged_annual_volatility,managed_max_drawdown,unmanaged_max_drawdown,managed_mdd_per_annual_vol,unmanaged_mdd_per_annual_vol
RMW,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,-0.03590822999,0.2578630349,-0.2937712649,-0.0008133154296,0.01860126307,0.02264983347,0.07213621399,-0.06966864035,-0.1637643741,-3.075900776,-2.270210273
RMW,capped_3x,50,in_sample,1963-09,1999-12,436,0.1685353706,0.3967164201,-0.2281810495,0.009209045549,0.0219166923,0.05464161926,0.05524523611,-0.3246776733,-0.2309176851,-5.941948239,-4.179866019
RMW,capped_3x,50,oos_full,2000-01,2026-04,316,-0.1002384464,0.4696635099,-0.5699019563,-0.002343871368,0.04662023138,0.02338295787,0.0992630477,-0.1640278079,-0.2197188378,-7.014844267,-2.213500824
RMW,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,0.03529607263,0.6247470843,-0.5894510117,0.0008488742549,0.07535763478,0.02405010506,0.1206210268,-0.06981379654,-0.2197188378,-2.902847883,-1.821563319
RMW,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,-0.2398258626,0.2578630349,-0.4976888975,-0.005456798351,0.01860126307,0.02275316887,0.07213621399,-0.1012851094,-0.1637643741,-4.451472671,-2.270210273
CMA,uncapped,0,in_sample,1963-09,1999-12,436,0.4686819055,0.5163131147,-0.04763120919,0.03158268168,0.03479353102,0.06738617666,0.06738843161,-0.2012698695,-0.1711052885,-2.986812422,-2.539089936
CMA,uncapped,0,oos_full,2000-01,2026-04,316,0.04615048208,0.3224232917,-0.2762728097,0.001983454435,0.02521674549,0.04297797869,0.07821006154,-0.2410697057,-0.2691843478,-5.609144801,-3.441812249
CMA,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.4398841957,0.7911589016,-0.351274706,0.01939167536,0.06176537598,0.0440835919,0.07806949508,-0.1419466978,-0.1505354944,-3.219944014,-1.92822426
CMA,uncapped,0,oos_2013_latest,2013-01,2026-04,160,-0.361856313,-0.134937286,-0.2269190269,-0.01498956097,-0.01041816923,0.04142406926,0.07720749051,-0.2410697057,-0.2691843478,-5.819556359,-3.486505597
CMA,uncapped,10,in_sample,1963-09,1999-12,436,0.3789164526,0.5163131147,-0.1373966621,0.02552404074,0.03479353102,0.06736060302,0.06738843161,-0.2313140925,-0.1711052885,-3.433967069,-2.539089936
CMA,uncapped,10,oos_full,2000-01,2026-04,316,-0.04956850153,0.3224232917,-0.3719917933,-0.00213272734,0.02521674549,0.04302585864,0.07821006154,-0.2739238012,-0.2691843478,-6.36649238,-3.441812249
CMA,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.332470567,0.7911589016,-0.4586883347,0.01470850669,0.06176537598,0.04424002649,0.07806949508,-0.1531535651,-0.1505354944,-3.46187779,-1.92822426
CMA,uncapped,10,oos_2013_latest,2013-01,2026-04,160,-0.4481622131,-0.134937286,-0.3132249271,-0.01855293052,-0.01041816923,0.0413978019,0.07720749051,-0.2739238012,-0.2691843478,-6.616868253,-3.486505597
CMA,uncapped,25,in_sample,1963-09,1999-12,436,0.2436856693,0.5163131147,-0.2726274454,0.01643607933,0.03479353102,0.06744786995,0.06738843161,-0.2753582797,-0.1711052885,-4.082534851,-2.539089936
CMA,uncapped,25,oos_full,2000-01,2026-04,316,-0.1923456104,0.3224232917,-0.5147689022,-0.008307000001,0.02521674549,0.04318788447,0.07821006154,-0.3317727615,-0.2691843478,-7.682079489,-3.441812249
CMA,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.1723158151,0.7911589016,-0.6188430865,0.007683753679,0.06176537598,0.04459111123,0.07806949508,-0.1860430484,-0.1505354944,-4.172200317,-1.92822426
CMA,uncapped,25,oos_2013_latest,2013-01,2026-04,160,-0.5769770325,-0.134937286,-0.4420397464,-0.02389798484,-0.01041816923,0.04141930007,0.07720749051,-0.3205956218,-0.2691843478,-7.740247209,-3.486505597
CMA,uncapped,50,in_sample,1963-09,1999-12,436,0.01898348075,0.5163131147,-0.497329634,0.001289476982,0.03479353102,0.067926267,0.06738843161,-0.3433470907,-0.1711052885,-5.054702781,-2.539089936
CMA,uncapped,50,oos_full,2000-01,2026-04,316,-0.4256196707,0.3224232917,-0.7480429624,-0.01859745444,0.02521674549,0.04369500688,0.07821006154,-0.4812120709,-0.2691843478,-11.0129762,-3.441812249
CMA,uncapped,50,oos_2000_2012,2000-01,2012-12,156,-0.08848612246,0.7911589016,-0.8796450241,-0.004024168006,0.06176537598,0.04547795625,0.07806949508,-0.257772326,-0.1505354944,-5.668071902,-1.92822426
CMA,uncapped,50,oos_2013_latest,2013-01,2026-04,160,-0.7882932478,-0.134937286,-0.6533559618,-0.03280640871,-0.01041816923,0.04161701093,0.07720749051,-0.392213023,-0.2691843478,-9.424343899,-3.486505597
CMA,capped_3x,0,in_sample,1963-09,1999-12,436,0.4776578848,0.5163131147,-0.03865522993,0.03073071453,0.03479353102,0.06433624464,0.06738843161,-0.2012698695,-0.1711052885,-3.128405623,-2.539089936
CMA,capped_3x,0,oos_full,2000-01,2026-04,316,0.06206832358,0.3224232917,-0.2603549682,0.002635823537,0.02521674549,0.04246648507,0.07821006154,-0.241514155,-0.2691843478,-5.687170827,-3.441812249
CMA,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.4823698132,0.7911589016,-0.3087890884,0.02075898073,0.06176537598,0.04303540594,0.07806949508,-0.1277767918,-0.1505354944,-2.969108552,-1.92822426
CMA,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,-0.363111593,-0.134937286,-0.228174307,-0.01503425472,-0.01041816923,0.04140395133,0.07720749051,-0.241514155,-0.2691843478,-5.833118513,-3.486505597
CMA,capped_3x,10,in_sample,1963-09,1999-12,436,0.3948743146,0.5163131147,-0.1214388001,0.02537599429,0.03479353102,0.06426347157,0.06738843161,-0.2287100083,-0.1711052885,-3.558942627,-2.539089936
CMA,capped_3x,10,oos_full,2000-01,2026-04,316,-0.02958932881,0.3224232917,-0.3520126206,-0.001257109481,0.02521674549,0.04248523137,0.07821006154,-0.2741973008,-0.2691843478,-6.453943923,-3.441812249
CMA,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.3829265931,0.7911589016,-0.4082323086,0.01651183244,0.06176537598,0.04312009859,0.07806949508,-0.1362285554,-0.1505354944,-3.159282094,-1.92822426
CMA,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,-0.4490431832,-0.134937286,-0.3141058972,-0.01858182786,-0.01041816923,0.04138093741,0.07720749051,-0.2741973008,-0.2691843478,-6.626174223,-3.486505597
CMA,capped_3x,25,in_sample,1963-09,1999-12,436,0.270056686,0.5163131147,-0.2462564287,0.01734391393,0.03479353102,0.0642232347,0.06738843161,-0.2724434541,-0.1711052885,-4.242132235,-2.539089936
CMA,capped_3x,25,oos_full,2000-01,2026-04,316,-0.1666667723,0.3224232917,-0.4890900641,-0.007096509007,0.02521674549,0.04257902705,0.07821006154,-0.3206375759,-0.2691843478,-7.530411053,-3.441812249
CMA,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.2341001059,0.7911589016,-0.5570587957,0.01014111002,0.06176537598,0.04331954478,0.07806949508,-0.1590031191,-0.1505354944,-3.670470684,-1.92822426
CMA,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,-0.5772999632,-0.134937286,-0.4423626771,-0.02390318756,-0.01041816923,0.04140514305,0.07720749051,-0.3206375759,-0.2691843478,-7.743906971,-3.486505597
CMA,capped_3x,50,in_sample,1963-09,1999-12,436,0.06150301349,0.5163131147,-0.4548101012,0.003957113326,0.03479353102,0.06434015345,0.06738843161,-0.3400038095,-0.1711052885,-5.28447309,-2.539089936
CMA,capped_3x,50,oos_full,2000-01,2026-04,316,-0.3921989059,0.3224232917,-0.7146221976,-0.01682884155,0.02521674549,0.04290894569,0.07821006154,-0.4559272433,-0.2691843478,-10.625459,-3.441812249
CMA,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,-0.01087457061,0.7911589016,-0.8020334722,-0.0004767606878,0.06176537598,0.04384179429,0.07806949508,-0.2219609373,-0.1505354944,-5.062770376,-1.92822426
CMA,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,-0.7877617185,-0.134937286,-0.6528244325,-0.03277212039,-0.01041816923,0.04160156507,0.07720749051,-0.3919290599,-0.2691843478,-9.421017195,-3.486505597
MOM,uncapped,0,in_sample,1963-09,1999-12,436,1.08291165,0.8794071848,0.2035044648,0.1279500018,0.1039047826,0.1181536849,0.118153211,-0.1872236215,-0.1883313714,-1.584577084,-1.593958978
MOM,uncapped,0,oos_full,2000-01,2026-04,316,0.6147482244,0.2209694835,0.3937787409,0.02699567116,0.03843421043,0.043913378,0.1739344719,-0.08454805736,-0.5618463701,-1.925337134,-3.230218621
MOM,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.6642727614,0.1796468925,0.4846258689,0.03113563972,0.03753431066,0.04687176944,0.2089338153,-0.08454805736,-0.5618463701,-1.803816207,-2.689111713
MOM,uncapped,0,oos_2013_latest,2013-01,2026-04,160,0.5608279147,0.2981893038,0.2626386109,0.0229592018,0.0393116127,0.04093805105,0.1318344159,-0.07248186825,-0.353916802,-1.770525621,-2.684555467
MOM,uncapped,10,in_sample,1963-09,1999-12,436,1.016642246,0.8794071848,0.1372350612,0.1195976507,0.1039047826,0.1176398593,0.118153211,-0.2124994236,-0.1883313714,-1.806355643,-1.593958978
MOM,uncapped,10,oos_full,2000-01,2026-04,316,0.5596097938,0.2209694835,0.3386403103,0.02453638662,0.03843421043,0.04384552754,0.1739344719,-0.09130739479,-0.5618463701,-2.082479102,-3.230218621
MOM,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.6111565811,0.1796468925,0.4315096886,0.02862736337,0.03753431066,0.04684129117,0.2089338153,-0.09130739479,-0.5618463701,-1.949292868,-2.689111713
MOM,uncapped,10,oos_2013_latest,2013-01,2026-04,160,0.5032665854,0.2981893038,0.2050772816,0.0205476843,0.0393116127,0.0408286282,0.1318344159,-0.07572482885,-0.353916802,-1.854699317,-2.684555467
MOM,uncapped,25,in_sample,1963-09,1999-12,436,0.9151349082,0.8794071848,0.03572772341,0.1070691241,0.1039047826,0.1169981859,0.118153211,-0.2490452027,-0.1883313714,-2.128624481,-1.593958978
MOM,uncapped,25,oos_full,2000-01,2026-04,316,0.4760815606,0.2209694835,0.2551120771,0.02084745983,0.03843421043,0.04378968133,0.1739344719,-0.1013714695,-0.5618463701,-2.314962484,-3.230218621
MOM,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.5308045778,0.1796468925,0.3511576853,0.02486494884,0.03753431066,0.04684388545,0.2089338153,-0.1013714695,-0.5618463701,-2.164027781,-2.689111713
MOM,uncapped,25,oos_2013_latest,2013-01,2026-04,160,0.4158989104,0.2981893038,0.1177096066,0.01693040804,0.0393116127,0.04070798846,0.1318344159,-0.08057365262,-0.353916802,-1.979308133,-2.684555467
MOM,uncapped,50,in_sample,1963-09,1999-12,436,0.7412203006,0.8794071848,-0.1381868842,0.08618824639,0.1039047826,0.116278853,0.118153211,-0.3064695361,-0.1883313714,-2.635642923,-1.593958978
MOM,uncapped,50,oos_full,2000-01,2026-04,316,0.3354501286,0.2209694835,0.1144806451,0.0146992485,0.03843421043,0.04381947494,0.1739344719,-0.117946661,-0.5618463701,-2.691649345,-3.230218621
MOM,uncapped,50,oos_2000_2012,2000-01,2012-12,156,0.3958171828,0.1796468925,0.2161702903,0.01859425796,0.03753431066,0.0469768842,0.2089338153,-0.117946661,-0.5618463701,-2.510738271,-2.689111713
MOM,uncapped,50,oos_2013_latest,2013-01,2026-04,160,0.2683544858,0.2981893038,-0.02983481799,0.01090161428,0.0393116127,0.04062393162,0.1318344159,-0.08861350547,-0.353916802,-2.181312885,-2.684555467
MOM,capped_3x,0,in_sample,1963-09,1999-12,436,1.115495511,0.8794071848,0.2360883265,0.1205968294,0.1039047826,0.1081105465,0.118153211,-0.1499270324,-0.1883313714,-1.38679377,-1.593958978
MOM,capped_3x,0,oos_full,2000-01,2026-04,316,0.6178654581,0.2209694835,0.3968959746,0.02711433417,0.03843421043,0.0438838809,0.1739344719,-0.08165802316,-0.5618463701,-1.860774879,-3.230218621
MOM,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.6702301346,0.1796468925,0.4905832421,0.0313760084,0.03753431066,0.04681378347,0.2089338153,-0.08165802316,-0.5618463701,-1.744315821,-2.689111713
MOM,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,0.5608279147,0.2981893038,0.2626386109,0.0229592018,0.0393116127,0.04093805105,0.1318344159,-0.07248186825,-0.353916802,-1.770525621,-2.684555467
MOM,capped_3x,10,in_sample,1963-09,1999-12,436,1.056643794,0.8794071848,0.1772366093,0.1140321015,0.1039047826,0.1079191513,0.118153211,-0.1659701474,-0.1883313714,-1.537911904,-1.593958978
MOM,capped_3x,10,oos_full,2000-01,2026-04,316,0.5656271926,0.2209694835,0.3446577091,0.02475588561,0.03843421043,0.04376714192,0.1739344719,-0.0859670761,-0.5618463701,-1.964192139,-3.230218621
MOM,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.6226769744,0.1796468925,0.4430300819,0.02907198953,0.03753431066,0.04668871778,0.2089338153,-0.0859670761,-0.5618463701,-1.841281581,-2.689111713
MOM,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,0.5032665854,0.2981893038,0.2050772816,0.0205476843,0.0393116127,0.0408286282,0.1318344159,-0.07572482885,-0.353916802,-1.854699317,-2.684555467
MOM,capped_3x,25,in_sample,1963-09,1999-12,436,0.9674505564,0.8794071848,0.08804337157,0.1041850096,0.1039047826,0.107690268,0.118153211,-0.194651072,-0.1883313714,-1.807508475,-1.593958978
MOM,capped_3x,25,oos_full,2000-01,2026-04,316,0.4863546302,0.2209694835,0.2653851467,0.02121821277,0.03843421043,0.04362703973,0.1739344719,-0.09239803739,-0.5618463701,-2.117907563,-3.230218621
MOM,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.5505403531,0.1796468925,0.3708934606,0.02561596122,0.03753431066,0.04652876228,0.2089338153,-0.09239803739,-0.5618463701,-1.985826247,-2.689111713
MOM,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,0.4158989104,0.2981893038,0.1177096066,0.01693040804,0.0393116127,0.04070798846,0.1318344159,-0.08057365262,-0.353916802,-1.979308133,-2.684555467
MOM,capped_3x,50,in_sample,1963-09,1999-12,436,0.8167604158,0.8794071848,-0.06264676899,0.08777318991,0.1039047826,0.107465039,0.118153211,-0.2403958766,-0.1883313714,-2.236968217,-1.593958978
MOM,capped_3x,50,oos_full,2000-01,2026-04,316,0.3523306912,0.2209694835,0.1313612077,0.01532209138,0.03843421043,0.04348781346,0.1739344719,-0.1030298232,-0.5618463701,-2.369165406,-3.230218621
MOM,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,0.4285138739,0.1796468925,0.2488669814,0.01985591404,0.03753431066,0.04633668883,0.2089338153,-0.1030298232,-0.5618463701,-2.223504221,-2.689111713
MOM,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,0.2683544858,0.2981893038,-0.02983481799,0.01090161428,0.0393116127,0.04062393162,0.1318344159,-0.08861350547,-0.353916802,-2.181312885,-2.684555467
QMJ,uncapped,0,in_sample,1963-09,1999-12,436,0.6574080505,0.6599475612,-0.002539510736,0.03983773053,0.04010968782,0.06059817872,0.06077708318,-0.1994071286,-0.2050098745,-3.290645574,-3.373144346
QMJ,uncapped,0,oos_full,2000-01,2026-04,316,0.373901301,0.3757807402,-0.001879439182,0.01005329082,0.0388254519,0.0268875524,0.10331943,-0.1198055271,-0.3056210403,-4.455798926,-2.958020966
QMJ,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.3135127035,0.4775340014,-0.1640212978,0.009606515618,0.05308225301,0.0306415514,0.1111591067,-0.1198055271,-0.2819327885,-3.909904089,-2.536299516
QMJ,uncapped,0,oos_2013_latest,2013-01,2026-04,160,0.4613351011,0.2617163564,0.1996187447,0.01048889665,0.02492507081,0.02273596053,0.09523696246,-0.04394114929,-0.3056210403,-1.932671779,-3.209059092
QMJ,uncapped,10,in_sample,1963-09,1999-12,436,0.5534058179,0.6599475612,-0.1065417433,0.0334267442,0.04010968782,0.06040186627,0.06077708318,-0.2397561952,-0.2050098745,-3.969350783,-3.373144346
QMJ,uncapped,10,oos_full,2000-01,2026-04,316,0.3066870334,0.3757807402,-0.06909370679,0.008256837263,0.0388254519,0.02692268132,0.10331943,-0.1302393458,-0.3056210403,-4.837532499,-2.958020966
QMJ,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.2427577262,0.4775340014,-0.2347762751,0.00746419038,0.05308225301,0.03074748844,0.1111591067,-0.1302393458,-0.2819327885,-4.235771845,-2.536299516
QMJ,uncapped,10,oos_2013_latest,2013-01,2026-04,160,0.3981809494,0.2617163564,0.136464593,0.009029667974,0.02492507081,0.02267729782,0.09523696246,-0.04586988345,-0.3056210403,-2.022722629,-3.209059092
QMJ,uncapped,25,in_sample,1963-09,1999-12,436,0.3952630648,0.6599475612,-0.2646844964,0.02381026471,0.04010968782,0.06023903274,0.06077708318,-0.3114424447,-0.2050098745,-5.170110317,-3.373144346
QMJ,uncapped,25,oos_full,2000-01,2026-04,316,0.2059858356,0.3757807402,-0.1697949046,0.005562156923,0.0388254519,0.02700261844,0.10331943,-0.1456679883,-0.3056210403,-5.394587515,-2.958020966
QMJ,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.1373899555,0.4775340014,-0.3401440459,0.004250702523,0.05308225301,0.03093896136,0.1111591067,-0.1456679883,-0.2819327885,-4.70823783,-2.536299516
QMJ,uncapped,25,oos_2013_latest,2013-01,2026-04,160,0.302587905,0.2617163564,0.04087154864,0.006840824963,0.02492507081,0.0226077277,0.09523696246,-0.04935801087,-0.3056210403,-2.18323626,-3.209059092
QMJ,uncapped,50,in_sample,1963-09,1999-12,436,0.1290229061,0.6599475612,-0.5309246551,0.007782798877,0.04010968782,0.06032106322,0.06077708318,-0.4714854845,-0.2050098745,-7.816266149,-3.373144346
QMJ,uncapped,50,oos_full,2000-01,2026-04,316,0.03936468426,0.3757807402,-0.3364160559,0.001071023023,0.0388254519,0.02720771277,0.10331943,-0.1724262998,-0.3056210403,-6.337405178,-2.958020966
QMJ,uncapped,50,oos_2000_2012,2000-01,2012-12,156,-0.03525852935,0.4775340014,-0.5127925307,-0.001105110572,0.05308225301,0.03134307053,0.1111591067,-0.1724262998,-0.2819327885,-5.501257434,-2.536299516
QMJ,uncapped,50,oos_2013_latest,2013-01,2026-04,160,0.1416396965,0.2617163564,-0.1200766599,0.003192753278,0.02492507081,0.02254137333,0.09523696246,-0.06155400903,-0.3056210403,-2.730712461,-3.209059092
QMJ,capped_3x,0,in_sample,1963-09,1999-12,436,0.6572329805,0.6599475612,-0.002714580739,0.03919927063,0.04010968782,0.05964288433,0.06077708318,-0.207906606,-0.2050098745,-3.485857674,-3.373144346
QMJ,capped_3x,0,oos_full,2000-01,2026-04,316,0.373901301,0.3757807402,-0.001879439182,0.01005329082,0.0388254519,0.0268875524,0.10331943,-0.1198055271,-0.3056210403,-4.455798926,-2.958020966
QMJ,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.3135127035,0.4775340014,-0.1640212978,0.009606515618,0.05308225301,0.0306415514,0.1111591067,-0.1198055271,-0.2819327885,-3.909904089,-2.536299516
QMJ,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,0.4613351011,0.2617163564,0.1996187447,0.01048889665,0.02492507081,0.02273596053,0.09523696246,-0.04394114929,-0.3056210403,-1.932671779,-3.209059092
QMJ,capped_3x,10,in_sample,1963-09,1999-12,436,0.5593863066,0.6599475612,-0.1005612546,0.03326175563,0.04010968782,0.05946115455,0.06077708318,-0.243022017,-0.2050098745,-4.087071952,-3.373144346
QMJ,capped_3x,10,oos_full,2000-01,2026-04,316,0.3066870334,0.3757807402,-0.06909370679,0.008256837263,0.0388254519,0.02692268132,0.10331943,-0.1302393458,-0.3056210403,-4.837532499,-2.958020966
QMJ,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.2427577262,0.4775340014,-0.2347762751,0.00746419038,0.05308225301,0.03074748844,0.1111591067,-0.1302393458,-0.2819327885,-4.235771845,-2.536299516
QMJ,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,0.3981809494,0.2617163564,0.136464593,0.009029667974,0.02492507081,0.02267729782,0.09523696246,-0.04586988345,-0.3056210403,-2.022722629,-3.209059092
QMJ,capped_3x,25,in_sample,1963-09,1999-12,436,0.4108003074,0.6599475612,-0.2491472538,0.02435548313,0.04010968782,0.05928788925,0.06077708318,-0.3017732586,-0.2050098745,-5.089964618,-3.373144346
QMJ,capped_3x,25,oos_full,2000-01,2026-04,316,0.2059858356,0.3757807402,-0.1697949046,0.005562156923,0.0388254519,0.02700261844,0.10331943,-0.1456679883,-0.3056210403,-5.394587515,-2.958020966
QMJ,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.1373899555,0.4775340014,-0.3401440459,0.004250702523,0.05308225301,0.03093896136,0.1111591067,-0.1456679883,-0.2819327885,-4.70823783,-2.536299516
QMJ,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,0.302587905,0.2617163564,0.04087154864,0.006840824963,0.02492507081,0.0226077277,0.09523696246,-0.04935801087,-0.3056210403,-2.18323626,-3.209059092
QMJ,capped_3x,50,in_sample,1963-09,1999-12,436,0.1604912571,0.6599475612,-0.4994563041,0.009511695621,0.04010968782,0.05926612945,0.06077708318,-0.452524019,-0.2050098745,-7.635457609,-3.373144346
QMJ,capped_3x,50,oos_full,2000-01,2026-04,316,0.03936468426,0.3757807402,-0.3364160559,0.001071023023,0.0388254519,0.02720771277,0.10331943,-0.1724262998,-0.3056210403,-6.337405178,-2.958020966
QMJ,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,-0.03525852935,0.4775340014,-0.5127925307,-0.001105110572,0.05308225301,0.03134307053,0.1111591067,-0.1724262998,-0.2819327885,-5.501257434,-2.536299516
QMJ,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,0.1416396965,0.2617163564,-0.1200766599,0.003192753278,0.02492507081,0.02254137333,0.09523696246,-0.06155400903,-0.3056210403,-2.730712461,-3.209059092
