Date,JPM,BAC,WFC,C,GS,MS,USB,PNC,TFC,COF,KBE,KRE,XLF,SPY
2022-10-07,97.4876480102539,27.953824996948242,37.98651123046875,37.0284423828125,274.7476501464844,69.87088775634766,34.112831115722656,130.74948120117188,35.8011474609375,87.87651062011719,40.95835494995117,54.113136291503906,29.00079345703125,345.3082580566406
2022-10-10,96.57697296142578,27.87200927734375,37.67746353149414,36.510623931884766,274.2549133300781,69.41056823730469,33.798851013183594,130.32614135742188,35.62021255493164,87.1088638305664,40.76057434082031,53.99654006958008,28.869356155395508,342.6717834472656
2022-10-11,93.7897720336914,27.06294059753418,36.56850051879883,35.50132369995117,268.4784851074219,68.16239929199219,32.91633224487305,127.58745574951172,34.896461486816406,87.7735366821289,40.52683639526367,53.76337432861328,28.503211975097656,340.5015869140625
2022-10-12,95.30755615234375,27.144756317138672,36.82301330566406,35.84360885620117,269.4822692871094,67.80829620361328,33.1878776550293,126.23970794677734,34.600379943847656,87.520751953125,40.41895294189453,53.646793365478516,28.437490463256836,339.3784484863281
2022-10-13,100.60599517822266,28.808347702026367,38.52281951904297,37.69547653198242,280.21380615234375,70.21611022949219,35.10565948486328,132.15771484375,36.25349807739258,91.57430267333984,42.11806106567383,56.0233154296875,29.611042022705078,348.3351135253906
2022-10-14,102.2801513671875,28.81743812561035,39.24091339111328,37.94121551513672,273.7529602050781,66.65750885009766,36.28519058227539,130.6134033203125,35.36524963378906,89.29945373535156,41.533714294433594,55.162391662597656,29.113454818725586,340.39697265625
2022-10-17,106.57593536376953,30.562847137451172,39.95901870727539,38.257164001464844,279.8852233886719,68.28632354736328,36.1833610534668,135.9792938232422,36.54135513305664,91.24665832519531,42.648468017578125,56.60624313354492,29.845752716064453,349.14410400390625
2022-10-18,109.31714630126953,31.708284378051758,40.604393005371094,38.74866485595703,286.40069580078125,70.32234954833984,36.319129943847656,136.249755859375,35.669551849365234,93.23128509521484,42.765342712402344,56.57037353515625,30.32455825805664,353.2464294433594
2022-10-19,107.1738510131836,30.83556365966797,39.64995574951172,38.03775405883789,284.49359130859375,68.72894287109375,35.0123176574707,132.3583984375,34.90467834472656,89.14967346191406,41.83937072753906,55.39556121826172,29.82697296142578,350.74322509765625
2022-10-20,106.82429504394531,30.635574340820312,39.67722702026367,37.66913604736328,283.626708984375,67.80829620361328,33.951595306396484,129.1126708984375,33.24333953857422,88.91563415527344,40.553802490234375,53.5033073425293,29.348163604736328,347.80206298828125
2022-10-21,112.43550872802734,31.771913528442383,40.749839782714844,38.8452033996582,296.66693115234375,70.1275863647461,34.375885009765625,136.4329833984375,34.139801025390625,90.10454559326172,41.16511917114258,54.20280838012695,30.22128677368164,356.2541809082031
2022-10-24,112.57347869873047,31.880990982055664,41.08616256713867,38.97685623168945,299.9519958496094,70.31350708007812,34.902000427246094,139.9840850830078,35.08562088012695,91.33088684082031,41.85734939575195,55.126522064208984,30.624982833862305,360.6134338378906
2022-10-25,112.86782836914062,32.171897888183594,41.24068069458008,39.775516510009766,303.3283996582031,71.26953125,35.64875411987305,142.4095916748047,36.064334869384766,95.09423828125,42.540584564208984,55.924678802490234,30.991130828857422,366.3719787597656
2022-10-26,114.16487121582031,32.45370101928711,41.540645599365234,39.85450744628906,306.3307189941406,71.62361907958984,35.971221923828125,141.10089111328125,36.36042022705078,95.41252136230469,42.46866989135742,55.86189651489258,31.066247940063477,363.611572265625
