Date,CEW,FXA,FXB,FXE,FXY,UUP
2012-09-25,17.883745193481445,91.23736572265625,145.65826416015625,121.8466567993164,126.19000244140625,18.245149612426758
2012-09-26,17.832035064697266,91.01819610595703,145.4310302734375,121.45698547363281,126.30999755859375,18.278564453125
2012-09-27,17.961315155029297,91.75459289550781,146.09469604492188,121.92267608642578,126.4800033569336,18.22844123840332
2012-09-28,17.909605026245117,91.176025390625,145.2582550048828,121.35245513916016,125.80000305175781,18.311981201171875
2012-10-01,17.94407844543457,91.12240600585938,145.16734313964844,121.68511199951172,125.80999755859375,18.27021026611328
2012-10-02,17.93545913696289,90.19978332519531,145.22183227539062,121.97970581054688,125.63999938964844,18.253503799438477
2012-10-03,17.95269775390625,89.6988754272461,144.6127166748047,121.83714294433594,125.02999877929688,18.303625106811523
2012-10-04,18.02164649963379,90.0416030883789,145.7037353515625,122.9205551147461,125.1500015258789,18.178316116333008
2012-10-05,17.92683982849121,89.400146484375,145.14913940429688,123.02511596679688,124.7699966430664,18.178316116333008
2012-10-08,17.87512969970703,89.6461410522461,144.2127227783203,122.45489501953125,125.30999755859375,18.2200870513916
2012-10-09,17.849273681640625,89.67251586914062,143.91261291503906,121.5140380859375,125.4800033569336,18.33704376220703
2012-10-10,17.81479835510254,90.00647735595703,144.04901123046875,121.79913330078125,125.62999725341797,18.29527473449707
2012-10-11,17.87512969970703,90.26123046875,144.3763427734375,122.05570983886719,125.29000091552734,18.261857986450195
2012-10-12,17.883745193481445,90.00647735595703,144.658203125,122.32183837890625,125.20999908447266,18.23679542541504
2012-10-15,17.90098762512207,90.20856475830078,144.60362243652344,122.29331970214844,124.73999786376953,18.245149612426758
2012-10-16,17.93545913696289,90.40188598632812,144.99456787109375,123.1961669921875,124.4000015258789,18.16996192932129
2012-10-17,17.995790481567383,91.3508529663086,145.27639770507812,123.87096405029297,124.29000091552734,18.07806968688965
2012-10-18,17.987173080444336,91.25422668457031,144.38540649414062,123.3957290649414,123.8499984741211,18.153255462646484
2012-10-19,17.90098762512207,90.85001373291016,144.0126190185547,122.90156555175781,123.76000213623047,18.2200870513916
2012-10-22,17.918224334716797,90.80606079101562,144.0308837890625,123.2627182006836,122.79000091552734,18.2200870513916
2012-10-23,17.81479835510254,90.3227767944336,143.5035400390625,122.51190948486328,122.94999694824219,18.303625106811523
2012-10-24,17.806180953979492,90.97303771972656,144.1763458251953,122.34085845947266,122.94000244140625,18.303625106811523
2012-10-25,17.90098762512207,91.19267272949219,145.12181091308594,122.19824981689453,122.22000122070312,18.32033348083496
2012-10-26,17.86651039123535,91.27178192138672,144.78541564941406,122.09375762939453,123.26000213623047,18.32033348083496
2012-10-31,17.72861099243164,91.36842346191406,145.17640686035156,122.31230926513672,122.94000244140625,18.286916732788086
2012-11-01,17.93545913696289,91.38601684570312,145.0491180419922,122.14128112792969,122.41999816894531,18.311981201171875
2012-11-02,17.82341957092285,90.84122467041016,144.08541870117188,121.09586334228516,122.0,18.437292098999023
2012-11-05,17.840656280517578,91.0872802734375,143.69448852539062,120.71571350097656,122.2300033569336,18.47906494140625
2012-11-06,17.90098762512207,91.72869110107422,143.97630310058594,120.95331573486328,122.13999938964844,18.453998565673828
2012-11-07,17.87512969970703,91.552978515625,143.79446411132812,120.49712371826172,122.70999908447266,18.487415313720703
2012-11-08,17.832035064697266,91.48271942138672,143.6763153076172,120.24053192138672,123.6500015258789,18.487415313720703
2012-11-09,17.806180953979492,91.342041015625,143.0035400390625,119.9649429321289,123.48999786376953,18.529186248779297
2012-11-12,17.806180953979492,91.69354248046875,142.8944091796875,119.9649429321289,123.4800033569336,18.537538528442383
2012-11-13,17.754470825195312,91.72869110107422,142.80345153808594,119.88890838623047,123.62999725341797,18.55424690246582
2012-11-14,17.771705627441406,91.21027374267578,142.48529052734375,120.17401885986328,122.30999755859375,18.545894622802734
2012-11-15,17.763084411621094,90.89393615722656,142.6580810546875,120.5066146850586,120.87999725341797,18.545894622802734
2012-11-16,17.780324935913086,91.0081787109375,142.94891357421875,120.2120132446289,120.76000213623047,18.579307556152344
2012-11-19,17.86651039123535,91.57054138183594,143.06712341308594,120.87725830078125,120.56999969482422,18.495769500732422
2012-11-20,17.857892990112305,91.42112731933594,143.26718139648438,120.98184967041016,120.12999725341797,18.487415313720703
2012-11-21,17.849273681640625,91.21905517578125,143.5035400390625,121.00080108642578,118.88999938964844,18.495769500732422
2012-11-23,17.892366409301758,92.1153564453125,144.34906005859375,122.51190948486328,119.08999633789062,18.32033348083496
2012-11-26,17.87512969970703,92.14175415039062,144.1399383544922,122.36933135986328,119.55999755859375,18.32868766784668
2012-11-27,17.892366409301758,91.86931610107422,143.99447631835938,121.98921203613281,119.38999938964844,18.387165069580078
2012-11-28,17.892366409301758,92.25595092773438,144.0763397216797,122.12223815917969,119.68000030517578,18.3537540435791
2012-11-29,17.95269775390625,91.87808227539062,144.26727294921875,122.44535827636719,119.4800033569336,18.32868766784668
2012-11-30,17.93545913696289,91.86056518554688,144.08541870117188,122.68299865722656,119.01000213623047,18.311981201171875
2012-12-03,17.92683982849121,91.7592544555664,144.69454956054688,123.14866638183594,119.2699966430664,18.253503799438477
2012-12-04,17.95269775390625,92.21707916259766,144.83099365234375,123.53834533691406,119.87999725341797,18.195026397705078
2012-12-05,17.96993637084961,92.05862426757812,144.69454956054688,123.36724090576172,119.0199966430664,18.23679542541504
2012-12-06,17.987173080444336,92.34919738769531,144.3308868408203,122.37889099121094,119.08999633789062,18.33704376220703
2012-12-07,17.995790481567383,92.39321899414062,144.23992919921875,121.98921203613281,118.9800033569336,18.370458602905273
2012-12-10,18.013029098510742,92.39321899414062,144.5581817626953,122.12223815917969,119.08000183105469,18.345396041870117
2012-12-11,18.056119918823242,92.71017456054688,144.8582305908203,122.67347717285156,118.83000183105469,18.278564453125
2012-12-12,18.08197784423828,92.93907165527344,145.12181091308594,123.2627182006836,117.91999816894531,18.245149612426758
2012-12-13,18.03888511657715,92.76297760009766,144.86724853515625,123.3862533569336,117.31999969482422,18.261857986450195
2012-12-14,18.099212646484375,93.05347442626953,145.29458618164062,124.12748718261719,117.44000244140625,18.16996192932129
2012-12-17,18.0733585357666,92.98303985595703,145.71286010742188,124.17505645751953,116.97000122070312,18.16996192932129
2012-12-18,18.116453170776367,92.85096740722656,146.10377502441406,124.74528503417969,116.51000213623047,18.111486434936523
2012-12-19,18.107833862304688,92.48120880126953,146.14012145996094,124.91636657714844,116.19999694824219,18.103130340576172
2012-12-20,18.107833862304688,92.45479583740234,146.3946990966797,124.9353256225586,116.16999816894531,18.0864200592041
2012-12-21,18.03888511657715,91.75048065185547,145.38546752929688,124.37461853027344,116.43000030517578,18.178316116333008
2012-12-24,18.02164649963379,91.4334945678711,145.0491180419922,124.41262817382812,115.66999816894531,18.178316116333008
2012-12-26,18.056119918823242,91.47755432128906,145.10369873046875,124.75479888916016,114.55999755859375,18.178316116333008
2012-12-27,18.107833862304688,91.5392074584961,144.78541564941406,124.88780975341797,113.94000244140625,18.178316116333008
2012-12-28,18.133689880371094,91.46871185302734,145.3491668701172,124.65970611572266,113.93000030517578,18.195026397705078
2012-12-31,18.17678451538086,91.69770050048828,146.11285400390625,124.46015930175781,113.02999877929688,18.2200870513916
2013-01-02,18.254350662231445,92.44600677490234,146.1310577392578,124.37461853027344,112.37999725341797,18.22844123840332
2013-01-03,18.2457332611084,92.1818618774414,144.76730346679688,123.14866638183594,112.37000274658203,18.370458602905273
2013-01-04,18.219873428344727,92.3315658569336,144.5581817626953,123.36724090576172,111.25,18.370458602905273
2013-01-07,18.262969970703125,92.52527618408203,144.90367126464844,123.69036865234375,111.75,18.311981201171875
2013-01-08,18.219873428344727,92.472412109375,144.38540649414062,123.4052505493164,112.6500015258789,18.33704376220703
2013-01-09,18.219873428344727,92.62213897705078,144.1036376953125,123.20564270019531,111.72000122070312,18.39552116394043
2013-01-10,18.262969970703125,93.30885314941406,145.19461059570312,124.97335052490234,111.08000183105469,18.21173095703125
2013-01-11,18.262969970703125,92.79817962646484,144.93096923828125,125.7906723022461,109.91999816894531,18.16160774230957
2013-01-14,18.297443389892578,93.1239242553711,144.6127166748047,126.22787475585938,109.58000183105469,18.136547088623047
2013-01-15,18.28020668029785,93.07118225097656,144.47640991210938,125.57215881347656,110.37000274658203,18.18667221069336
2013-01-16,18.262969970703125,93.16796112060547,143.83993530273438,125.27751159667969,110.93000030517578,18.203380584716797
2013-01-17,18.33191680908203,92.90386199951172,143.83993530273438,126.1233139038086,109.12999725341797,18.16996192932129
2013-01-18,18.271589279174805,92.61328125,142.72166442871094,125.6291275024414,108.87999725341797,18.253503799438477
2013-01-22,18.271589279174805,93.1239242553711,142.34889221191406,125.59107208251953,110.48999786376953,18.23679542541504
