Date,Close,High,Low,Open,Volume
2021-06-17,214.0832061767578,216.82412276953633,211.47416861840503,215.91991204897596,48292500
2021-06-18,209.2230224609375,212.623262060185,208.28112799435556,210.70178929994324,54023700
2021-06-21,213.69703674316406,214.2810067558879,210.30621066760946,211.0314734839139,26736400
2021-06-22,214.66722106933594,215.13816841175185,211.66257472517495,213.1225143610987,21188500
2021-06-23,215.3735809326172,216.5980465496743,214.74251339761759,214.74251339761759,22387500
2021-06-24,218.41592407226562,218.43476598725312,215.4301201083173,216.74876671403987,21732500
2021-06-25,218.78326416015625,219.84760959703365,218.28406120017328,218.7926779316421,27619000
2021-06-28,217.05014038085938,219.07520752244034,215.47717851154366,218.74555311706325,25006000
2021-06-29,216.01405334472656,218.26518033475557,215.477181022437,217.79423314544266,18844300
2021-06-30,216.04232788085938,216.9371391163804,214.5258772240407,215.36416271929022,26039000
2021-07-01,217.94497680664062,218.3782546183401,216.36260087974546,217.39867624935442,18089100
2021-07-02,215.872802734375,218.59487726423384,215.27940460033622,218.51952397958055,21029700
2021-07-06,212.7362823486328,216.12710813816926,210.8619072077267,216.0329129437276,27771300
2021-07-07,210.75828552246094,213.49920167256175,208.91218054904346,212.4348564027182,28521500
2021-07-08,208.81800842285156,211.05972193889457,205.19172320991265,206.5668811357604,42297900
2021-07-09,213.22605895996094,213.29198409446107,210.36269193435348,211.135052241316,23976400
2021-07-12,213.40501403808594,213.70641276257544,211.5023833888992,212.4536915274088,16831000
2021-07-13,209.38314819335938,212.62326754147645,209.30779490943,212.14289215294775,25357500
2021-07-14,206.1524658203125,211.3234723311723,205.85106702283937,210.71124659206785,30594100
2021-07-15,204.98452758789062,206.33142997507295,202.4508287996245,205.17290363455075,45477000
2021-07-16,202.460205078125,207.1037520966915,202.00809977543182,207.0566545007057,36620200
2021-07-19,199.42733764648438,201.98929208272799,196.903067042281,198.39126222011154,58571000
2021-07-20,205.61557006835938,206.52920887355256,198.98462480947623,199.87000792973927,40794600
2021-07-21,209.15708923339844,209.30779580189983,206.61397697165762,206.69874402687614,28278700
2021-07-22,205.83218383789062,209.03461907633888,204.93738702469196,208.6013556970574,32879000
2021-07-23,206.79296875,207.16972085287463,204.30636750338155,207.0943675578654,23660300
2021-07-26,207.39576721191406,209.1476916831495,206.41618881285203,207.58414325106583,22194200
2021-07-27,204.97508239746094,206.35025473084244,202.8652478548525,206.28431521530098,35063600
2021-07-28,207.98916625976562,209.65630930401903,204.76787417644786,206.27491124031383,33043700
2021-07-29,209.5903778076172,211.3988136061643,209.23245328205456,209.84467898635572,22634800
2021-07-30,208.2057647705078,211.03144803532675,207.48050204166384,208.77089280017063,28473000
2021-08-02,207.16973876953125,211.50246018815363,206.87775370872595,209.54331746499577,24192600
2021-08-03,208.02682495117188,208.27171235320193,204.4853067182218,207.80076509164192,27798600
2021-08-04,205.4365997314453,208.34705014207512,205.22938180199895,206.36908041395384,25588500
2021-08-05,209.12879943847656,209.51497956771013,205.9734476464145,206.35962777564805,23915200
2021-08-06,210.40980529785156,212.1240601336805,209.23243720912367,210.74888788229194,24429200
2021-08-09,209.2512969970703,210.22144723527913,208.35650004763704,209.96713168218287,17225600
2021-08-10,209.66571044921875,210.24968040948784,208.33763582457257,209.70337990348793,22681600
2021-08-11,210.69241333007812,210.73008279174542,207.65951145377076,210.06134564890718,25691300
2021-08-12,210.1931610107422,210.8336423140273,208.82741698401045,210.75828903619936,23269500
2021-08-13,208.2811279296875,210.3250371968754,207.87610583565515,210.02362406902165,20813700
2021-08-16,206.3408203125,207.46166261502108,205.00331757028374,207.00014354109138,24074400
2021-08-17,203.82598876953125,204.80556721674168,201.32997379070216,204.07089056741947,35161500
2021-08-18,202.04580688476562,205.37069369624027,201.91394221473044,203.5434302320873,29102300
2021-08-19,199.6251220703125,201.6313619487864,198.43832580544876,200.08664117583112,38119900
2021-08-20,202.9971466064453,203.4680939491101,199.13537264772498,199.77586850727874,31759500
2021-08-23,206.85890197753906,207.16031516934493,204.8055785040067,204.8432479668964,25778800
2021-08-24,208.8933563232422,209.02522097536516,206.92480031220296,207.51819843284096,18677900
2021-08-25,209.6280517578125,210.9561265416988,208.01742010260608,208.88396137638546,21548000
2021-08-26,207.4051513671875,210.19316521389894,206.97188797622334,209.2324288675916,22380300
2021-08-27,213.25433349609375,213.83830347687237,207.7536731608061,207.82901207199043,33998500
2021-08-30,212.37838745117188,214.13974010192658,211.90744015767493,214.04554489435887,20733300
2021-08-31,212.7928009033203,213.44271039927898,211.29519211743164,212.15231955042552,20839800
2021-09-01,214.22447204589844,214.9779904663974,211.80379645552293,213.64991586713694,20451500
