converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
True,,,87,2.919314056800821e-06,3.470998975402235e-05,CH,0.0005926094044685286,-5.645683522894632e-08,0.0002264274635510961,77046.94787672746,4.0,0.0003523132441568119
True,,,88,7.215500931150747e-05,3.6028808893673238e-06,CH,0.00022007469247339805,1.9974601155703227e-07,2.053845848865139e-05,77520.45323300005,19.0,0.0003523132441568119
True,,,89,9.403051701636171e-05,3.581007535752146e-05,CH,0.0002832207755793161,1.3498858329463987e-07,0.00026044902189843196,77691.99529202476,14.0,0.0003523132441568119
True,,,90,2.5089271924175136e-05,1.0113814978847465e-05,CH,0.00029475758841736657,8.37579403995597e-08,0.00030387784391101586,77658.26564786385,14.0,0.0003523132441568119
True,,,91,0.00016266959663909186,5.808081226529151e-06,CH,5.808081226529151e-06,1.9552659999483046e-07,0.00016266959663909186,74495.21115219104,0.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,92,8.820745077614727e-06,4.185185500842688e-05,CH,,,,,,
True,,,93,1.7369619378402427e-05,0.0004568871728161092,CH,0.0003441313641650732,2.0409752347784305e-07,0.00041624910705687833,77792.93435212265,27.0,0.0003523132441568119
True,,,94,8.887438012222839e-05,4.4347040140980115e-06,CH,0.0002641399391698982,1.1616359058983983e-07,0.0003708481663632046,77627.79373157324,40.0,0.0003523132441568119
True,,,95,4.077561620074374e-06,2.8931761219032152e-05,CH,0.0006058856944223078,-5.024439137115804e-08,0.00023510562369869284,77310.99391181752,5.0,0.0003523132441568119
True,,,96,3.0188021034573273e-05,9.289777646360182e-05,CH,0.0006414727062233688,-1.8910218883141457e-08,0.00024983650368651434,76833.24763939324,3.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,97,2.5238659584134518e-05,6.60455706229298e-05,CH,,,,,,
True,,,98,1.5662615690206837e-06,0.0003522881213297286,CH,0.00034015924228103045,1.1144602110885301e-07,0.0002441077204874221,77689.17964961205,3.0,0.0003523132441568119
True,,,99,2.4079408804083464e-05,2.3214621752418283e-05,CH,0.0002652495640845425,1.0046242705364726e-07,0.00012069098104297045,77541.98662678163,6.0,0.0003523132441568119
