date,actual_rv,position,HAR_RV_forecast,HAR_RV_resid_var,HAR_MedRV_input_forecast,HAR_MedRV_input_resid_var,HAR_RK_input_forecast,HAR_RK_input_resid_var,HAR_TSRV_input_forecast,HAR_TSRV_input_resid_var
2020-03-24,0.00035099818518391404,643,0.0005510757276186734,0.29313785503362244,0.0005111554948286214,0.30206387303305476,0.0005107295142258726,0.29931854053146933,0.0004925074587983894,0.30289828022081616
2020-03-25,0.00043874783867415965,644,0.0004473457608599221,0.2928178636018959,0.00037402678053155715,0.301667245615153,0.0004945946841399911,0.2989265680387255,0.0004657830785472737,0.30247729089128855
2020-03-26,0.0005521984607238417,645,0.00045551053287414125,0.29238497860734275,0.0004429650064354403,0.3013394678708426,0.00048590330724647846,0.2984615319091856,0.000448609418200543,0.30201784968661466
2020-03-27,0.0003404706197187252,646,0.00045456850082400437,0.2921005072020273,0.0004252426100860492,0.30107571134769867,0.0004429560274291384,0.2981111329616485,0.000400598219978351,0.3017394691837908
2020-03-30,0.00045754085164956634,647,0.00034842110735030954,0.29167675098136486,0.00033230542604333134,0.3006151763932016,0.0003366583663531843,0.2976669222848638,0.00031256697907251676,0.30127040745397904
2020-03-31,0.00023671599081939626,648,0.0003657900074885681,0.2914852422381547,0.00033904981318748806,0.30047866498611436,0.00032947437565517023,0.29751422934348914,0.0003056450998329116,0.3012242915695177
2020-04-01,9.984646530745747e-05,649,0.0002940852966843751,0.29115827619476037,0.00027236145602968997,0.3000780451682533,0.00029894254573290294,0.2971022697117497,0.00028804786225051067,0.30077369353876193
2020-04-06,0.00022425677199863338,650,0.00020384946022708968,0.292009181408592,0.00020652029708655397,0.30069873942263964,0.00020187991839935325,0.29798026900250957,0.00019270560867300197,0.30153845759178405
2020-04-07,0.00011583500515833535,651,0.000231376416019662,0.29164401179922683,0.00021965367930873125,0.30031441147749544,0.00023966135511033706,0.2976151424823411,0.00022971577644263555,0.30120745653638276
2020-04-08,0.00012694818941145616,652,0.00017247314617197307,0.29163687230801427,0.00017082221644130395,0.3002073137900284,0.00017760026054925576,0.29765011875350894,0.0001771097756810954,0.30116466377084805
2020-04-09,0.00012001546189687277,653,0.0001476201934429601,0.2912257003604565,0.00015596373862587342,0.2997766422775317,0.00016920182502314616,0.29724306298811976,0.0001701016388489076,0.300749764954739
2020-04-10,3.5749051578051074e-05,654,0.00013393374136221712,0.2907832124811148,0.00014029072339902428,0.29933397808019785,0.00016247698178735966,0.2968416636313832,0.00016484814477656375,0.30034506692016577
2020-04-13,7.145104803724506e-05,655,8.656091227565279e-05,0.29236301775072654,9.86403165586198e-05,0.30105480144125474,0.00011566236870623348,0.29912343107323414,0.00011953714903812886,0.30267351331091064
2020-04-14,7.364880027788097e-05,656,9.005517404355672e-05,0.2919176403387949,0.00010163201409851162,0.3006363349523148,9.404720010487028e-05,0.29882562802964385,0.0001009036850404632,0.3024022256255193
2020-04-16,6.309268293280435e-05,657,8.611978447801267e-05,0.2914750268768896,9.037649887262088e-05,0.30021905559208845,0.00011399359674908761,0.29838114838920077,0.00012247508076996397,0.3019781795650457
