DATE,VALUE,RELEASE_DATE
2019-12-01,-2.2991807373363926,2020-01-31
2020-01-01,-2.290379015513233,2020-02-29
2020-02-01,-1.4232217750208775,2020-03-31
2020-03-01,-5.315054964389065,2020-04-30
2020-04-01,-17.318282261376304,2020-05-31
2020-05-01,-16.047738104539413,2020-06-30
2020-06-01,-10.586064673581452,2020-07-31
2020-07-01,-6.783544959427434,2020-08-31
2020-08-01,-6.512241935326724,2020-09-30
2020-09-01,-6.183101854793705,2020-10-31
2020-10-01,-4.622683457542831,2020-11-30
2020-11-01,-4.763324870606622,2020-12-31
2020-12-01,-3.28150457766595,2021-01-31
2021-01-01,-2.1295843569181794,2021-02-28
2021-02-01,-5.680577271180343,2021-03-31
2021-03-01,1.0038210492383515,2021-04-30
2021-04-01,16.55213518144698,2021-05-31
2021-05-01,15.673379835366053,2021-06-30
2021-06-01,8.958396565691418,2021-07-31
2021-07-01,5.4998863464161385,2021-08-31
2021-08-01,4.261168528131454,2021-09-30
2021-09-01,3.0124970172007215,2021-10-31
2021-10-01,3.5628709708763973,2021-11-30
2021-11-01,3.897545981936834,2021-12-31
2021-12-01,2.2463731281071153,2022-01-31
2022-01-01,1.3181341030033655,2022-02-28
2022-02-01,5.429593086433182,2022-03-31
2022-03-01,3.0544104015221674,2022-04-30
2022-04-01,2.923435475508507,2022-05-31
2022-05-01,1.9110298059100916,2022-06-30
2022-06-01,1.2217594016755706,2022-07-31
2022-07-01,0.968659945597028,2022-08-31
2022-08-01,1.0521402147261716,2022-09-30
2022-09-01,2.462018715752601,2022-10-31
2022-10-01,1.0648183730078253,2022-11-30
2022-11-01,0.08902953837490735,2022-12-31
2022-12-01,-0.8016099812473643,2023-01-31
2023-01-01,0.3188082918103907,2023-02-28
2023-02-01,-0.1634816837026265,2023-03-31
2023-03-01,-0.36512224493961964,2023-04-30
2023-04-01,-0.1843454258675048,2023-05-31
2023-05-01,-0.39957171123073953,2023-06-30
2023-06-01,-0.8893464531073647,2023-07-31
2023-07-01,-0.31247838929887584,2023-08-31
2023-08-01,-0.25421306219911566,2023-09-30
2023-09-01,-0.2672476942852109,2023-10-31
2023-10-01,-0.7742988102069082,2023-11-30
2023-11-01,-0.09043615385835313,2023-12-31
2023-12-01,0.8386591076755323,2024-01-31
2024-01-01,-1.2762549126908995,2024-02-29
2024-02-01,-0.3543266402759926,2024-03-31
2024-03-01,-0.557312624665296,2024-04-30
2024-04-01,-0.9971062585799939,2024-05-31
2024-05-01,-0.06499644303002983,2024-06-30
2024-06-01,0.7734749239909133,2024-07-31
2024-07-01,-0.9226344732312097,2024-08-31
2024-08-01,-0.4050008280501727,2024-09-30
2024-09-01,-1.2004422838397089,2024-10-31
2024-10-01,-0.9947356843759692,2024-11-30
2024-11-01,-1.5579409481489392,2024-12-31
2024-12-01,-0.2741466217243804,2025-01-31
2025-01-01,0.849002693950851,2025-02-28
2025-02-01,0.8119858403550007,2025-03-31
2025-03-01,0.5802453773984029,2025-04-30
2025-04-01,0.8823523543694645,2025-05-31
2025-05-01,0.10162299356553106,2025-06-30
2025-06-01,0.5793208714095943,2025-07-31
2025-07-01,1.9187662602012212,2025-08-31
2025-08-01,1.1886779865559305,2025-09-30
2025-09-01,1.8631698334008018,2025-10-31
2025-10-01,1.7472692634425524,2025-11-30
2025-11-01,2.08273535261978,2025-12-31
2025-12-01,1.3463932548767987,2026-01-31
2026-01-01,2.330092430197661,2026-02-28
2026-02-01,1.435914986552822,2026-03-31
