date,post_widening,stock_count,event_count,control_count,event_rate,upper_event_count,lower_event_count,touch_count,near_close_count,event_next_abs_mean,control_next_abs_mean,diff_next_abs,event_side_adj_next_ret_mean,event_continuation_share
2015-12-30,1,869,6,863,0.006904487917146145,5,1,5,4,0.03718075725083999,0.010101581275932922,0.02707917597490707,0.028184709011624388,0.8333333333333334
2015-12-31,1,867,6,861,0.006920415224913495,4,2,4,5,0.05520708263487947,0.02003634730192045,0.03517073533295902,0.03438669276030073,0.8333333333333334
2016-01-04,1,862,9,853,0.010440835266821345,6,3,6,9,0.023208308570842304,0.011981320039032569,0.011226988531809735,0.0006375033879962098,0.5555555555555556
2016-01-05,1,861,4,857,0.004645760743321719,2,2,4,2,,,,,
2016-01-06,1,864,12,852,0.013888888888888888,3,9,8,7,0.061784385410138275,0.025526937206359363,0.03625744820377891,0.03694433009547842,0.75
2016-01-07,1,870,30,840,0.034482758620689655,1,29,26,16,0.04604675059271532,0.01621482019003218,0.02983193040268314,-0.034319527983633025,0.1
2016-01-08,1,867,12,855,0.01384083044982699,10,2,12,8,0.02395027923884209,0.021667752561308772,0.0022825266775333176,-0.023032840368529577,0.16666666666666666
2016-01-11,1,867,10,857,0.011534025374855825,2,8,10,6,0.06204457755908951,0.018588254883572245,0.04345632267551726,0.04178939784821795,0.6
2016-01-12,1,871,18,853,0.02066590126291619,7,11,17,11,0.03616985243760518,0.011456402764606601,0.024713449672998575,-0.0030248239176100386,0.3333333333333333
2016-01-13,1,868,12,856,0.013824884792626729,7,5,12,7,0.040543583224692564,0.017875295122197824,0.02266828810249474,-0.0012092491136235135,0.5
2016-01-14,1,867,11,856,0.012687427912341407,2,9,9,7,0.03893523114033481,0.011915027943001984,0.027020203197332823,0.0003567573994495863,0.45454545454545453
2016-01-15,1,866,7,859,0.008083140877598153,7,0,7,4,0.05196222118699217,0.02315817917705283,0.028804042009939336,0.04551319511931466,0.7142857142857143
2016-01-18,1,867,36,831,0.04152249134948097,35,1,29,33,0.032382778653540584,0.01342743853555306,0.018955340117987524,0.02052853420291539,0.5555555555555556
2016-01-19,1,866,10,856,0.011547344110854504,10,0,9,6,0.044148898950634556,0.021040785129988224,0.02310811382064633,-0.024326538271129475,0.3
2016-01-20,1,865,4,861,0.004624277456647399,3,1,4,2,,,,,
2016-01-21,1,863,7,856,0.008111239860950173,5,2,6,5,0.02857327538237882,0.010263710916272688,0.018309564466106133,0.02059347937690536,0.5714285714285714
2016-01-22,1,862,6,856,0.0069605568445475635,6,0,5,5,0.02564104897984873,0.01603003747928549,0.00961101150056324,7.740752813564789e-05,0.3333333333333333
2016-01-25,1,861,12,849,0.013937282229965157,11,1,10,10,0.03551544132776124,0.010954534849607902,0.024560906478153337,-0.0159511786715697,0.16666666666666666
2016-01-26,1,858,2,856,0.002331002331002331,2,0,2,2,,,,,
2016-01-27,1,859,10,849,0.011641443538998836,9,1,10,6,0.03580175278086834,0.011395274939888705,0.024406477840979636,-0.003600163274275024,0.3
2016-01-28,1,864,15,849,0.017361111111111112,13,2,12,12,0.02324267582263919,0.014892891839843748,0.008349783982795442,0.009153081880733509,0.6
2016-01-29,1,869,15,854,0.01726121979286536,10,5,11,13,0.04153725546782993,0.016376898482689178,0.025160356985140752,-0.001102975550766268,0.4666666666666667
2016-02-01,1,870,21,849,0.02413793103448276,19,2,21,9,0.03280373687282967,0.009848116382070438,0.02295562049075923,-9.676821405347729e-05,0.47619047619047616
2016-02-02,1,868,9,859,0.010368663594470046,7,2,6,7,0.038958302873320444,0.012274222707726046,0.026684080165594398,-0.028030576165934733,0.2222222222222222
2016-02-15,1,873,24,849,0.027491408934707903,20,4,19,21,0.029698154684172296,0.01836485536079786,0.011333299323374436,0.01566467510467415,0.5
2016-02-16,1,874,23,851,0.02631578947368421,18,5,20,15,0.03144937870325674,0.010982695999562682,0.020466682703694054,0.015266878643246553,0.5217391304347826
2016-02-17,1,872,12,860,0.013761467889908258,10,2,11,7,0.044020016940933576,0.011536082613361408,0.03248393432757217,0.027832081785957686,0.6666666666666666
2016-02-18,1,873,12,861,0.013745704467353952,12,0,10,11,0.02399058444061526,0.010583285428281342,0.013407299012333916,0.01017708940366164,0.3333333333333333
2016-02-19,1,867,10,857,0.011534025374855825,9,1,10,9,0.028931317672522994,0.018178339183822022,0.010752978488700972,0.00737590868673863,0.6
2016-02-23,1,872,33,839,0.03784403669724771,29,4,32,21,0.024296399496872102,0.013030080610205526,0.011266318886666576,-0.012509515717606652,0.24242424242424243
2016-02-24,1,870,11,859,0.01264367816091954,8,3,11,10,0.05076436836856801,0.010492178330359791,0.040272190038208214,0.04188384322520872,0.7272727272727273
2016-02-25,1,870,12,858,0.013793103448275862,11,1,10,10,0.04795384718519586,0.011211400335532735,0.03674244684966312,-0.011609783732195967,0.3333333333333333
2016-02-26,1,869,8,861,0.009205983889528193,6,2,8,4,0.03370305222521894,0.01398303089624342,0.019720021328975518,0.033412185409394425,0.875
2016-03-01,1,870,14,856,0.016091954022988506,14,0,11,13,0.022722396481571348,0.01175602120770803,0.010966375273863318,0.013690303400866995,0.5714285714285714
2016-03-02,1,871,11,860,0.012629161882893225,10,1,11,10,0.0459581758867144,0.01372425132249883,0.032233924564215574,0.011925851537321243,0.5454545454545454
2016-03-03,1,868,12,856,0.013824884792626729,10,2,11,10,0.04707506885344767,0.013485402875046612,0.03358966597840106,0.028610379278236706,0.6666666666666666
2016-03-04,1,872,23,849,0.026376146788990827,21,2,19,17,0.051982684860132404,0.0145906741676991,0.0373920106924333,0.02324800464285177,0.5652173913043478
2016-03-07,1,875,21,854,0.024,20,1,18,19,0.046255007909122396,0.013438877560601513,0.032816130348520885,0.009226857094082734,0.5238095238095238
2016-03-08,1,869,21,848,0.024165707710011506,20,1,18,17,0.0320971834660678,0.01378098373056815,0.018316199735499646,0.0015828379369811597,0.3333333333333333
2016-03-09,1,868,15,853,0.01728110599078341,11,4,13,13,0.0368295814242308,0.012032723177364065,0.02479685824686674,0.01641507888393816,0.4666666666666667
2016-03-10,1,865,16,849,0.018497109826589597,16,0,13,16,0.0532806881938361,0.011337272948293977,0.041943415245542126,0.00721550302947457,0.5
2016-03-11,1,872,11,861,0.01261467889908257,10,1,8,10,0.07228298239920826,0.012172071949837009,0.06011091044937125,0.045210831981211556,0.7272727272727273
2016-03-14,1,871,23,848,0.02640642939150402,22,1,18,23,0.0448309380716563,0.02353503216446195,0.02129590590719435,0.004721479426029935,0.6521739130434783
2016-03-15,1,876,16,860,0.0182648401826484,9,7,13,9,0.028909090416983176,0.015364405052669585,0.01354468536431359,-0.0037273047453130863,0.4375
2016-03-16,1,874,18,856,0.020594965675057208,15,3,17,14,0.036930629851736924,0.012962231782862653,0.02396839806887427,0.013424833434684348,0.5555555555555556
