target_date,origin_date,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32
2022-05-20,2022-05-19,-8.822480293848646,-8.829246377889863,-8.876194557049544,-8.935101961456928,-8.948492341362591,-9.000237511602375,-9.039318940007348,-9.028103137067374,-8.996380227106414,-9.014210985728807,-9.089542784207804,-9.121253193774775,-9.13889497172174,-9.175382498146908,-9.12058238611528,-9.09722322291052,-9.144296757144762,-9.207396288062395,-9.206160715411519,-9.225415395317825,-9.237965931337401,-9.234231052384834,-9.217153477613788,-9.207734290288645,-9.221234364662916,-9.230780662735931,-9.23982834958801,-9.26737521500627,-9.230897098990061,-9.22146021447792,-9.267851283381868,-9.31374605855365
2022-05-23,2022-05-20,-8.181065357642757,-8.37889844118711,-8.491491546612675,-8.536993006053022,-8.628099778252501,-8.703963285303766,-8.671962474711517,-8.684909521786821,-8.754683550634393,-8.815069522057788,-8.863071585728356,-8.893893767125162,-8.924517143597432,-8.884405953996136,-8.89211144635895,-8.961962270143612,-9.017613801903662,-9.01633690062221,-9.029200370502872,-9.040566657028629,-9.013742899053597,-9.034263396414973,-9.026514737808773,-9.021565809250303,-9.042325239893403,-9.073839211560651,-9.094465399102234,-9.031442754406452,-9.034080134164,-9.114746186048208,-9.134722265943894,-9.1253852167484
2022-05-24,2022-05-23,-8.813801350896394,-8.83752039430644,-8.826491669390148,-8.871561370637737,-8.923789010130397,-8.912441900256628,-8.879865169702915,-8.92281894641952,-8.96801060337874,-8.9910952792459,-9.012552630666622,-9.024925412098924,-8.996840976002934,-8.99525859004583,-9.047154490218617,-9.10717916958537,-9.095062099462682,-9.106599279362108,-9.112275095355061,-9.09530897852203,-9.108445149009054,-9.105546263156763,-9.113366125565538,-9.119160505686018,-9.14023524402535,-9.165274673520699,-9.10950925852073,-9.09571851230222,-9.154437714422114,-9.193432593938875,-9.164502098925702,-9.184911026911214
2022-05-25,2022-05-24,-8.645060474285163,-8.664665678371982,-8.725513538258316,-8.798769599698659,-8.78394432785775,-8.765701813846823,-8.80047391517429,-8.853831779338906,-8.882803236663108,-8.89647651095255,-8.948365315314534,-8.900609331284246,-8.875700604617787,-8.931989318260355,-8.991774610219489,-8.99494784433023,-9.008866538354152,-9.028962934828733,-9.004756940079584,-8.999846004374604,-9.000303245973672,-9.011269068386435,-9.007182974504042,-9.039032555237268,-9.083716522269054,-9.029219577381099,-8.999126402938586,-9.057721299780662,-9.088523064592588,-9.076093970245536,-9.081128004028441,-9.119375790879433
2022-05-26,2022-05-25,-8.91217038328411,-8.938868279972588,-8.970891049934957,-8.944400189904023,-8.933060367984119,-8.989007951371848,-9.033749148948672,-9.05089126449456,-9.070531514689497,-9.087929195498884,-9.054658095622065,-9.047410829394686,-9.111683070245661,-9.163765571391943,-9.157945158546948,-9.196129656875227,-9.19161572399639,-9.161816982823375,-9.16977827269296,-9.176830160364952,-9.194685737716798,-9.194490991227191,-9.230396962650019,-9.257768781918472,-9.207771746696778,-9.189955006275603,-9.24057167664977,-9.263737659992112,-9.243368708182977,-9.268364381497816,-9.284723437772474,-9.255800248163084
2022-05-27,2022-05-26,-9.016830118034056,-9.061321351749635,-9.036586551205959,-9.006108437266626,-9.055750813431844,-9.125556020105437,-9.132509742718833,-9.13734379125777,-9.178808264174508,-9.147140749455128,-9.138461102883731,-9.18605020287957,-9.256240587664944,-9.246578322360742,-9.251005270939874,-9.268900735948954,-9.252676530802479,-9.25016198241423,-9.243712251518419,-9.257013894906507,-9.262761072730504,-9.295929250366957,-9.329916897598025,-9.293988112881706,-9.275512983621953,-9.335461579377121,-9.353753323946659,-9.309761725683993,-9.306341706605027,-9.349815611995094,-9.317539695730677,-9.280992110643972
2022-05-31,2022-05-27,-9.43090199552459,-9.3028040280557,-9.252745321886675,-9.277084879831907,-9.308175150449852,-9.321891743829452,-9.336369117427843,-9.35215850322811,-9.294202575249635,-9.280421705424956,-9.339364821253353,-9.395080767806478,-9.390035874713902,-9.419932710877829,-9.41530719524658,-9.390383810487094,-9.394917301918285,-9.391409985688949,-9.403039385914285,-9.410191352198236,-9.464089364191613,-9.494058941622074,-9.460950250133724,-9.46069511128288,-9.507974721733934,-9.521891801424193,-9.503074784318319,-9.51897136777453,-9.53864111905177,-9.509087933564697,-9.471882584605503,-9.520299466649547
2022-06-01,2022-05-31,-9.074567422318758,-9.033463680331327,-9.0889113354676,-9.178572459165501,-9.211645631048901,-9.227479274163132,-9.25988070763972,-9.200854383359811,-9.166360988655232,-9.22362700409695,-9.306967475606465,-9.310371638947199,-9.315856518679654,-9.325706784413438,-9.296832645234765,-9.291901433128265,-9.29678675224673,-9.328583564933005,-9.340389096853848,-9.374298392594312,-9.413017737330446,-9.37032488913707,-9.343621706161205,-9.414056689921772,-9.460934022812948,-9.439922905677852,-9.434400847705472,-9.468361518291655,-9.438468315825814,-9.392635909345234,-9.451892647348382,-9.486063104411269
2022-06-02,2022-06-01,-8.867882031864333,-8.944910186638113,-9.016342512836353,-9.053014487786538,-9.113098733986503,-9.149155502030231,-9.071221248739416,-9.055551732511804,-9.132205119816318,-9.192038653193716,-9.189521744142242,-9.227767658024556,-9.23909005455939,-9.193445121871086,-9.197717865068368,-9.204114102949744,-9.235527863728734,-9.238216042780243,-9.293157193017748,-9.327046910038012,-9.275679349866994,-9.26078202631826,-9.332667929517418,-9.362405580435743,-9.339135658902508,-9.36090320337298,-9.383165066557606,-9.329296851801017,-9.31151960279564,-9.38299379655757,-9.401623455086543,-9.397641040574614
2022-06-03,2022-06-02,-8.9191606391739,-8.97742295365819,-9.014941459451485,-9.037751505510174,-9.08475240014517,-9.031893961030825,-8.992601918980018,-9.029121436940942,-9.093220091804904,-9.09283066900416,-9.113223870372561,-9.114101762366568,-9.09527893239364,-9.08061936184567,-9.041521185849069,-9.06105185234549,-9.093331466162352,-9.128243135714417,-9.160198559276392,-9.12983745858461,-9.100024001317754,-9.15113835039939,-9.178721643587748,-9.173528118522256,-9.18559487148626,-9.216385689812723,-9.188486800722172,-9.136062517309886,-9.193230812963577,-9.221484817889612,-9.230738047474652,-9.263374890492415
2022-06-06,2022-06-03,-9.37780825524885,-9.288501913667606,-9.303495039607645,-9.310810994755677,-9.19032979895885,-9.15958744553383,-9.244992897655674,-9.294531425503244,-9.263650798617007,-9.30175707674028,-9.306726891199165,-9.2103190134286,-9.196034301242749,-9.237161252232768,-9.25994960618387,-9.245635379693255,-9.313031541159877,-9.351628855604165,-9.260556727407629,-9.233231693747022,-9.340938408131569,-9.375808608271232,-9.34150080003904,-9.39251222553005,-9.414414516379438,-9.324133568782191,-9.292238044275356,-9.388433404963651,-9.422345693336068,-9.416479601994585,-9.467739116701292,-9.520886067675619
2022-06-07,2022-06-06,-9.268137410526954,-9.242987906017811,-9.246728177471585,-9.190507488141046,-9.185659561218667,-9.24545340304226,-9.297984533364598,-9.28555541234242,-9.288454954445404,-9.279401833371292,-9.254762407440909,-9.248129275829129,-9.240640292570031,-9.256378523754227,-9.257227834129095,-9.271068885293309,-9.311131435949966,-9.27979107425034,-9.265537149222734,-9.337206636015516,-9.362610546787675,-9.335359394742213,-9.33957978152674,-9.376661551696731,-9.348551101527066,-9.314405307644257,-9.37633589479937,-9.393992336546164,-9.40379017797217,-9.43330200784443,-9.469508056372824,-9.430554040388058
2022-06-08,2022-06-07,-9.312118556217145,-9.318337135559691,-9.25849191080552,-9.233952522113622,-9.287432838098507,-9.354554651697207,-9.338686124127568,-9.331573629270704,-9.32599422304314,-9.308354014045706,-9.310011875895407,-9.28480670235497,-9.311522074220907,-9.307857378712052,-9.326599973505948,-9.380244874988087,-9.327118656555532,-9.31053210368942,-9.380854627743277,-9.412403856003221,-9.387159151048555,-9.3864431620061,-9.42029188277868,-9.398032958156689,-9.36497697213838,-9.418298881603723,-9.445505973707407,-9.426946922637839,-9.449950203427237,-9.50080382194334,-9.456832355825165,-9.414594935543262
2022-06-09,2022-06-08,-9.381807651031648,-9.269597526644306,-9.230560990598876,-9.282175081628035,-9.323663675856409,-9.299107998444121,-9.304147724142162,-9.296786285255905,-9.25351132586019,-9.256006972757039,-9.263438743191339,-9.258876247228967,-9.236440413212314,-9.2623107009672,-9.306043657719178,-9.242260734864225,-9.226326146998042,-9.300330447786143,-9.329273704775849,-9.288549141386238,-9.303607111783856,-9.338321416227144,-9.309453474358246,-9.288564443060363,-9.359300292217137,-9.367706386222668,-9.341156437410206,-9.366591399555352,-9.42238460239977,-9.375791496027405,-9.33745301112497,-9.368186283222634
2022-06-10,2022-06-09,-8.999717897919105,-9.004734052524807,-9.079428242014052,-9.164909287758546,-9.172552560749526,-9.180739961365871,-9.178181157326332,-9.167249457807712,-9.147564184102302,-9.14618624232483,-9.192940987766939,-9.183190290930417,-9.189344128638236,-9.235838114080266,-9.187939928314714,-9.151462595250482,-9.236434337537634,-9.286403367730301,-9.261863984136525,-9.260866229596646,-9.29880947758862,-9.277727235191355,-9.240514662837725,-9.29476439771665,-9.357756192339709,-9.34291196945966,-9.345246522707532,-9.382867225885192,-9.354456251369417,-9.31896129685152,-9.343623688393636,-9.412890784052502
2022-06-13,2022-06-10,-9.359309988916966,-9.347844232761604,-9.37611905915608,-9.348204132740493,-9.348129358359394,-9.340481518913357,-9.319278874546482,-9.304111821632038,-9.288191478262368,-9.294697481314206,-9.290822623738146,-9.322146278982261,-9.364380113219632,-9.311534706038598,-9.29688391230183,-9.351582249709717,-9.38966087509992,-9.360006408716144,-9.374253631427035,-9.403605208909342,-9.385405405392463,-9.363012970732523,-9.397801382932975,-9.44541686628892,-9.433018712217125,-9.4519675584427,-9.486437494969286,-9.437867181382579,-9.40765931436798,-9.43262447921255,-9.490211810842307,-9.504143296096103
