date,actual_var,baseline_har_vix,plus_oil_volshock,plus_oil_ovx
2022-08-05,0.0002691486313894341,0.00010517433327908903,0.00010264909530744087,0.00011555166748155048
2022-08-08,2.243120636135718e-06,9.40310223168166e-05,9.433258508867964e-05,8.512200871753783e-05
2022-08-09,0.00016776453012214552,8.919756289206154e-05,9.423596149297041e-05,8.985039964729945e-05
2022-08-10,6.942002012381595e-06,9.482918897565915e-05,0.00010193982536267342,9.973994221553398e-05
2022-08-11,0.0005805477659331698,8.059692355900271e-05,9.059213545232224e-05,9.239918414529692e-05
2022-08-12,2.0727466218490147e-06,8.500016039955653e-05,9.641366346905731e-05,9.354835298112875e-05
2022-08-15,0.00036867936389690643,7.7050101955297e-05,8.798022402779482e-05,8.461361775880271e-05
2022-08-16,6.522377353555339e-06,8.402441374881751e-05,9.685088894875031e-05,0.00010080209627815147
2022-08-17,6.746205298642483e-05,7.924241832258877e-05,9.020859894868752e-05,9.739937082444767e-05
2022-08-18,0.00030209932472985245,8.130968590271973e-05,9.138855005956094e-05,9.49483571682182e-05
2022-08-19,7.054768129721781e-05,7.58963996290355e-05,8.371865137160059e-05,7.806788219523449e-05
2022-08-22,2.522295684575609e-05,8.007526137215128e-05,8.688966941198186e-05,9.221912856295422e-05
2022-08-23,0.0010192674017978549,9.101622805601015e-05,9.74556560302298e-05,9.797226019207431e-05
2022-08-24,5.4471485558190966e-05,0.0001056150738582613,0.00011179884721112768,0.00010311948978483786
2022-08-25,7.611737334978169e-05,9.372846528153141e-05,9.858375522875359e-05,9.927631852783782e-05
2022-08-26,5.442397794595806e-05,8.783478457304167e-05,9.01610530105286e-05,9.130704105671055e-05
2022-08-29,5.5322931322473287e-05,0.00010547694470013393,0.00010749414018296631,0.00010145842001706397
2022-08-30,0.0006080688677796753,0.00010870565189183928,0.00011123521537614562,0.00010735342387332404
2022-08-31,0.00025813873731926076,7.123781587999934e-05,7.299770121522028e-05,7.372221034223373e-05
2022-09-01,0.0002582951719806092,6.957426631271986e-05,7.105633527429378e-05,7.323841522477511e-05
2022-09-02,0.00021732834590093453,7.036349364530344e-05,7.141809603334592e-05,7.357369672370138e-05
2022-09-06,2.148576266269531e-05,6.80074438090864e-05,6.866765942239471e-05,6.910796054110725e-05
2022-09-07,0.0001657748343180851,6.601252889629594e-05,6.665633923592277e-05,6.250356250663588e-05
2022-09-08,2.9168967886507997e-05,5.7754715865970495e-05,5.813855495153806e-05,6.215124083141751e-05
2022-09-09,0.0006477516558849605,5.3313717400208435e-05,5.2566981157102855e-05,5.201298470001983e-05
2022-09-12,0.0002462314110527819,5.643709982306608e-05,5.4851936129412534e-05,5.2855194870451753e-05
2022-09-13,0.000368582964895539,6.097119971515264e-05,5.8685456908644435e-05,5.2420444711748745e-05
2022-09-14,0.000572441530905233,7.166805149369794e-05,6.873839816433335e-05,6.558149884170275e-05
2022-09-15,0.00026777927529892835,7.329241822140372e-05,7.147772669722755e-05,7.116604383917387e-05
2022-09-16,0.0006919559791170201,7.304977853849284e-05,7.16899536774732e-05,7.099186729297204e-05
2022-09-19,8.251004393587885e-06,7.833471515800729e-05,7.748638494743533e-05,7.821271379702941e-05
2022-09-20,1.5675774092904954e-05,7.318686434446974e-05,7.263852879988233e-05,7.205332771421566e-05
2022-09-21,6.658148155435797e-05,7.554053692873589e-05,7.552257907411464e-05,7.73087591409146e-05
2022-09-22,6.000515442103879e-07,7.713981042151075e-05,7.704920645131256e-05,7.694731301486908e-05
2022-09-23,0.004565560951209967,7.111877311280726e-05,6.30417043011889e-05,6.410079938020066e-05
2022-09-26,0.0007112943398641146,0.00012096044284285126,0.00010925360443689376,0.0001108726285134032
2022-09-27,1.810830888246186e-07,0.0001368061950253175,0.00012522604189671256,0.00013286662243638017
2022-09-28,0.0011020312024171972,0.00013036547646855812,0.00012037088769595265,0.0001167619821808107
2022-09-29,4.833436282149372e-05,0.0001332891259394946,0.00012197943806600784,0.00011604253809522231
2022-09-30,5.8173245126224244e-05,0.0001391664599353704,0.00012801240743525323,0.00012113258069723545
2022-10-03,0.002979361797914361,0.00012430255008039786,0.00011527072886815028,0.00011478286263528438
2022-10-04,0.0014552655416954145,0.00014205080906489395,0.00013021109806395795,0.00012728876562941664
2022-10-05,3.241240252239272e-05,0.00014428038906106943,0.00013370450351968288,0.00013801318040442781
2022-10-06,0.00032638334424653674,0.00013476191431545566,0.00012686061976303412,0.00011581911725570582
2022-10-07,7.479534922561622e-05,0.00015027105278370273,0.00014258697970319958,0.0001341267271875597
2022-10-10,0.0003321179228244857,0.00015295215077036083,0.0001460844010546429,0.00013784025728926327
2022-10-11,3.64474004585493e-08,0.0001544590215634303,0.00015012308000146864,0.000135497009161425
2022-10-12,8.913837456190978e-06,0.00013840595231250162,0.00013687320300612228,0.0001300300582226895
2022-10-13,0.00223987659738458,0.00014097897488020178,0.0001359677703408254,0.0001264492949151474
2022-10-14,0.0009981055898385153,0.0001588446377498753,0.0001528145477252494,0.00013916736058032126
2022-10-17,5.299519557696866e-05,0.00016337517439270018,0.00015658137945907293,0.000144425684085165
2022-10-18,7.573825269176837e-05,0.0001541867360830694,0.00014524478688431657,0.00013619167074615363
2022-10-19,0.0010197234238873273,0.00014622381976085237,0.00013297787607891517,0.00012227867817539504
2022-10-20,3.2468657169643954e-05,0.0001577079470905935,0.00014067400014270494,0.0001263503582740323
2022-10-21,0.0006114273846419215,0.00014293347838551852,0.00012134913322555839,0.00011506551729544342
2022-10-24,1.2001365779378984e-07,0.00014447944769789363,0.00012027750017742776,0.00011368678046013483
2022-10-25,0.00010697710721866686,0.00013722004654274437,0.00011448090219536929,0.00011187193899504897
2022-10-26,0.00015060723527464328,0.00011483217855291986,9.600810605848641e-05,9.404737164494206e-05
2022-10-27,2.082681176957388e-05,0.00010188213297564053,9.365303378389851e-05,9.40333742046055e-05
2022-10-28,0.00013512105404159722,0.00010095779745101812,9.524848722364546e-05,9.41832511454406e-05
2022-10-31,2.59957904342661e-05,8.586926271809477e-05,8.31354511489316e-05,7.950299493919552e-05
2022-11-01,5.286076320604776e-05,8.558936901681379e-05,8.357028144478978e-05,8.020610983015379e-05
2022-11-02,0.0004254354540960515,8.479560811703533e-05,8.218722241138237e-05,7.795571624563897e-05
2022-11-03,0.0002139327620877577,7.717565551023903e-05,7.5241593018155e-05,7.47753556734653e-05
2022-11-04,0.00015783736333549757,6.943114700818342e-05,6.765793260111494e-05,6.447672499912212e-05
2022-11-07,0.0001408763669734834,6.710548978170132e-05,6.389080814130529e-05,6.243118227294924e-05
2022-11-08,2.1189618438133987e-06,6.57488097491969e-05,6.255606563800958e-05,5.6500932859590225e-05
