comparison,month,ticker,sector,actual_rv,pred_har,pred_har_gcpu_proxy,train_n,loss_har,loss_har_gcpu_proxy,loss_diff_challenger_minus_har
har_gcpu_proxy,2017-12-01,CORN,agriculture,0.005167836387860452,0.021582489376042218,0.01925062728597819,78,0.6688739994279078,0.5835398245422463,-0.08533417488566153
har_gcpu_proxy,2017-12-01,DBA,agriculture,0.006820161983493283,0.0075826154991410375,0.007840389367014493,119,0.0054221309541762075,0.009280693181986654,0.003858562227810447
har_gcpu_proxy,2017-12-01,GLD,metal,0.006863090242473969,0.014494167433700583,0.014434428258131907,131,0.2210955443172491,0.21892511019153016,-0.002170434125718934
har_gcpu_proxy,2017-12-01,UNG,energy,0.1801443202243235,0.14154261198703724,0.14044541576721048,115,0.03156397100852404,0.03372489991538141,0.0021609289068573734
har_gcpu_proxy,2017-12-01,USO,energy,0.03789849819922158,0.05445167486306024,0.05393565290079351,128,0.058404555855027684,0.0555415782064661,-0.002862977648561582
har_gcpu_proxy,2018-01-01,CORN,agriculture,0.005392770522438725,0.013175184717539111,0.01319647467396715,79,0.30258855722559685,0.303542819568013,0.0009542623424161345
har_gcpu_proxy,2018-01-01,DBA,agriculture,0.0065033476487059245,0.008981146357865484,0.009370535419900912,120,0.04692155041052537,0.05927409315806731,0.01235254274754194
har_gcpu_proxy,2018-01-01,GLD,metal,0.009255429902516965,0.01130850981460162,0.011492039979480872,132,0.018793362825584525,0.021821678446013237,0.003028315620428712
har_gcpu_proxy,2018-01-01,UNG,energy,0.24487428295471544,0.17273363282266826,0.17120561383541172,116,0.06864678252098622,0.0724138431425232,0.0037670606215369773
har_gcpu_proxy,2018-01-01,USO,energy,0.029855954275433534,0.050174516824190024,0.05182396950767779,129,0.11416515971416663,0.12757167327116337,0.013406513556996735
har_gcpu_proxy,2018-02-01,CORN,agriculture,0.007153248718030418,0.011881382820933874,0.012099346855043847,80,0.10946132085525084,0.11679434540642575,0.007333024551174905
har_gcpu_proxy,2018-02-01,DBA,agriculture,0.005850810179437892,0.00865537986812529,0.008426558705290613,121,0.06757475225128284,0.05913804870984385,-0.008436703541438995
har_gcpu_proxy,2018-02-01,GLD,metal,0.013690053120139404,0.013005332708013663,0.012787987990272335,133,0.0013391659422172797,0.0023768082884572106,0.001037642346239931
har_gcpu_proxy,2018-02-01,UNG,energy,0.07059839136056142,0.20949522412673044,0.21267153006561287,117,0.42468642748623364,0.4347012701079085,0.010014842621674847
har_gcpu_proxy,2018-02-01,USO,energy,0.0688388292924071,0.04208711226568286,0.039261867316962615,130,0.1436008948223111,0.19181118745496795,0.04821029263265686
har_gcpu_proxy,2018-03-01,CORN,agriculture,0.027039657100216746,0.01219486087537495,0.011037893176394606,81,0.42100940402854015,0.553741411737894,0.1327320077093539
har_gcpu_proxy,2018-03-01,DBA,agriculture,0.012298055903304581,0.00827500686350938,0.008318092696626162,122,0.08996722245742061,0.08746244059554353,-0.002504781861877081
har_gcpu_proxy,2018-03-01,GLD,metal,0.012173503671364907,0.015905068087890536,0.015590660842732203,134,0.03276124339921971,0.02823055974055766,-0.004530683658662049
har_gcpu_proxy,2018-03-01,UNG,energy,0.037158181197851824,0.10182104057644012,0.10192185712402,118,0.37296897673196416,0.37359764303123066,0.0006286662992665004
har_gcpu_proxy,2018-03-01,USO,energy,0.052709418513884984,0.07096772926542994,0.06716698993967804,131,0.04015485443542821,0.02713958031707353,-0.01301527411835468
har_gcpu_proxy,2018-04-01,CORN,agriculture,0.02004029224860245,0.025841280751640182,0.021873992547230846,82,0.02974305045461456,0.0037233566629253367,-0.026019693791689225
har_gcpu_proxy,2018-04-01,DBA,agriculture,0.012910740487779874,0.01242363635415423,0.01341045271403012,123,0.0007491099579850502,0.0007120051124818172,-3.710484550323301e-05
har_gcpu_proxy,2018-04-01,GLD,metal,0.00933453719102167,0.01669111935101083,0.017124220146891807,135,0.14040732376577214,0.1518799335800285,0.011472609814256352
har_gcpu_proxy,2018-04-01,UNG,energy,0.03546463385263177,0.06588678627188788,0.06529657802259074,119,0.15766819649236963,0.15353524457778844,-0.004132951914581184
har_gcpu_proxy,2018-04-01,USO,energy,0.06444906472138885,0.0633964350788709,0.06726378051453527,132,0.00013633806509405488,0.0009007595297019222,0.0007644214646078673
har_gcpu_proxy,2018-05-01,CORN,agriculture,0.015373357546469991,0.022970617499298702,0.022346370813365792,83,0.07084174931659315,0.061985632025589155,-0.008856117291003995
har_gcpu_proxy,2018-05-01,DBA,agriculture,0.013005633920529601,0.013147925246456353,0.013253039299417742,124,5.898750325172841e-05,0.00017644311236830745,0.00011745560911657904
