date,news_count,gdelt_total,news_share,log_news_share,news_z
2025-05-05,1753,168173,0.010423789787896987,-4.563664605527842,-1.3920627463830895
2025-05-06,2096,181052,0.011576784570178734,-4.45875351636403,-0.9319339093115593
2025-05-07,3222,243794,0.013216075867330616,-4.326321321653208,-0.35671031433877676
2025-05-08,2763,184921,0.014941515566106608,-4.203611660908012,0.17086478070283925
2025-05-09,2078,170563,0.012183181580999396,-4.407698837263956,-0.7029516101339444
2025-05-10,1407,153500,0.00916612377850163,-4.692240788895,-1.919363142395972
2025-05-11,1000,114321,0.00874729927134997,-4.739010280959141,-2.0997205179848266
2025-05-12,1505,120174,0.012523507580674689,-4.380147794346311,-0.5585880002261722
2025-05-13,2213,176961,0.012505580325608468,-4.381580308243666,-0.5626035305880397
2025-05-14,2290,189461,0.01208692026327318,-4.415631381026289,-0.7022840574517232
2025-05-15,2191,186698,0.01173553010744625,-4.445134277504179,-0.8229243187865976
2025-05-16,1474,139790,0.010544388010587309,-4.552161502715892,-1.2690756501751495
2025-05-17,961,97351,0.009871495927109121,-4.618103873990957,-1.5363008314830164
2025-05-18,1066,109054,0.00977497386615805,-4.6279298466531,-1.5641346265199638
2025-05-19,1395,131172,0.010634891592717959,-4.54361502382637,-1.1988728551304464
2025-05-20,2680,203626,0.013161384106155402,-4.3304681833757215,-0.3015686328365248
2025-05-21,2466,193050,0.012773892773892775,-4.360351817968093,-0.4230416399303107
2025-05-22,2114,163960,0.012893388631373506,-4.351040608188091,-0.3807381349963517
2025-05-23,2603,193113,0.013479154691812566,-4.306610883786735,-0.19198025255489956
2025-05-24,1566,135120,0.011589698046181172,-4.457638674930934,-0.8185436890721248
2025-05-25,1217,120721,0.01008109608104638,-4.5970932840514385,-1.394759014250661
2025-05-26,1177,115182,0.010218610546786824,-4.583544657775349,-1.3263402389009025
2025-05-27,1636,144106,0.011352754222586152,-4.478294901709655,-0.8790764576411656
2025-05-28,3059,198963,0.015374717912375668,-4.175030812620425,0.384392131386751
2025-05-29,2541,186412,0.013631096710512198,-4.295401573523713,-0.11358960507052036
2025-05-30,2561,173524,0.014758765358106083,-4.215918111133276,0.2188028362720151
2025-05-31,1072,88577,0.012102464522392947,-4.414346167582695,-0.6022898208058468
2025-06-01,1365,137294,0.0099421679024575,-4.610970183254966,-1.4145025417811206
2025-06-02,2298,198616,0.011570064848753373,-4.459334132887041,-0.7729882680995055
2025-06-03,2553,192617,0.01325428181313176,-4.323434623045408,-0.20101351133331322
2025-06-04,2437,192077,0.012687620069034814,-4.367128558655664,-0.377738582448937
2025-06-05,3380,225902,0.014962240263477084,-4.2022255674148274,0.31859928908342394
2025-06-06,2487,199034,0.01249535255283017,-4.382398499580653,-0.43365917434462703
2025-06-07,1739,150814,0.011530759743790364,-4.462737054088797,-0.7672724194429136
2025-06-08,1202,113396,0.010600021164767716,-4.546899281189909,-1.115920931105168
2025-06-09,1484,132479,0.011201775375719926,-4.4916829975540935,-0.8743737456111396
2025-06-10,2353,191463,0.012289580754506093,-4.399003468719481,-0.4756322226252768
2025-06-11,2140,174563,0.012259184363238487,-4.401479878971149,-0.48097804502822566
2025-06-12,1631,115094,0.014171025422697969,-4.256555862146378,0.14262239893294507
2025-06-13,1895,166299,0.0113951376737082,-4.474568534417309,-0.7855140655663724
2025-06-14,1198,107034,0.011192705121737019,-4.492493041303928,-0.8558284902866996
2025-07-02,2394,155637,0.015381946452321748,-4.174560765544223,0.5022698526905827
2025-07-03,2895,176232,0.016427209587362112,-4.108816197792461,0.7794502622959054
2025-07-04,2377,163782,0.014513194368123481,-4.232697086892662,0.2504669742078572
2025-07-05,1760,124725,0.0141110442974544,-4.260797504697041,0.13486010488163147
2025-07-06,1877,117366,0.01599270657601009,-4.135622499667906,0.6762573736836731
2025-07-07,2908,181127,0.016055033208743037,-4.131732883006609,0.6988031262973787
2025-07-08,3329,215932,0.015416890502565622,-4.172291584711876,0.5278764869861576
2025-07-09,2731,153602,0.017779716409942577,-4.029696998970567,1.1406391941679042
2025-07-10,2540,179256,0.014169679118132727,-4.25665087069243,0.15755549843626906
2025-07-11,2225,192489,0.011559102078560334,-4.460282093619777,-0.7163254283904151
2025-07-12,1545,134530,0.011484427265293987,-4.466763312147743,-0.738407482672194
2025-07-13,1215,111148,0.010931370784899414,-4.516118569753601,-0.944429151091805
2025-07-14,1826,151275,0.012070732110394977,-4.416971590335608,-0.511220420522145
2025-07-15,2532,197512,0.01281947425979181,-4.356789837707135,-0.24902285572322666
2025-07-16,2258,179820,0.012557001445890335,-4.377476884829156,-0.33889532324426586
2025-07-17,1994,172175,0.011581240017424133,-4.458368729891116,-0.6846130176382685
2025-07-18,2625,192508,0.013635796953892824,-4.295056815262282,0.02101763797972066
2025-07-19,1280,139422,0.009180760568633357,-4.690645227168005,-1.6762030520751139
2025-07-20,1292,112395,0.01149517327283242,-4.465828047123973,-0.6982843901975361
2025-07-21,1980,150488,0.013157195258093668,-4.330786502084275,-0.11276730971452804
2025-07-22,3020,219541,0.013755972688472768,-4.28628217184061,0.08341562414185785
2025-07-23,2968,186053,0.01595244365852741,-4.138143254055158,0.7205674325226421
2025-07-24,2170,147475,0.014714358365824716,-4.218931502336771,0.3687838892208215
