ticker,event_date,label_source,label_status
CDT,2023-09-27,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CETX,2023-02-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CETX,2023-02-02,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CETX,2023-02-09,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CFFE,2023-09-20,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CFFE,2023-09-29,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CFFE,2023-10-02,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CJET,2023-06-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CJJD,2022-12-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CLBR,2023-07-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CLOV,2021-06-14,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CMA,2023-05-04,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CMMB,2021-06-10,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CMMB,2021-08-27,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CMMB,2021-11-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CMMB,2021-12-21,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
COHN,2021-06-14,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
COHN,2021-07-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
COHN,2021-07-09,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
COHN,2021-07-16,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
COHN,2021-08-16,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
COSM,2023-01-24,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-07-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-07-02,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-07-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-07-13,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-07-15,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-07-21,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPOP,2021-10-29,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CPTN,2022-02-23,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CVNA,2022-02-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CWD,2023-05-18,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-13,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-14,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-18,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-20,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-04-26,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-05-26,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-05-30,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-06-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-06-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-06-06,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CXAI,2023-06-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DATS,2021-09-29,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DATS,2021-10-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DBGI,2023-09-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DBGI,2023-09-06,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DBGI,2023-09-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DDL,2021-06-30,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DFLI,2022-12-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DHHC,2023-03-23,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DJT,2023-09-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DKDCA,2023-10-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DLPN,2021-06-09,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DLPN,2021-07-26,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DOCU,2021-12-03,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DOGZ,2022-01-06,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DOGZ,2024-01-02,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DPSI,2022-05-09,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DQ,2021-07-23,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DRTS,2022-03-24,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DRTS,2022-04-21,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DRTS,2022-07-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DTOC,2023-09-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DTOC,2023-09-20,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DUOL,2021-07-28,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DUOL,2021-09-03,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-10-26,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-10-27,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-10-28,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-10-29,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-11-04,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-11-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-11-16,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-11-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-11-24,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-12-02,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-12-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-12-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2021-12-13,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-10,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-12,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-13,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-14,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-18,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-20,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
DWAC,2022-01-24,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
