proxy,anchor_date,year,horizon,underlying_log_rv_ratio
AAXJ,2020-09-09,2020,5,-0.119306170048023
AAXJ,2020-09-09,2020,22,-0.46150160966360415
AAXJ,2020-09-10,2020,5,-0.5087526064896396
AAXJ,2020-09-10,2020,22,-0.5449218403015893
AAXJ,2020-09-11,2020,5,-0.7092361388253298
AAXJ,2020-09-11,2020,22,-0.5830906097854704
AAXJ,2020-09-14,2020,5,-1.2283627869093392
AAXJ,2020-09-14,2020,22,-0.6602548591622199
AAXJ,2020-09-15,2020,5,-1.5702120214098911
AAXJ,2020-09-15,2020,22,-0.698739641856196
AAXJ,2020-09-16,2020,5,-1.0211301173267984
AAXJ,2020-09-16,2020,22,-0.7356829853608143
AAXJ,2020-09-17,2020,5,-0.8527551595573309
AAXJ,2020-09-17,2020,22,-0.7602825292591093
AAXJ,2020-09-18,2020,5,-0.8896773598378827
AAXJ,2020-09-18,2020,22,-0.718467459104398
AAXJ,2020-09-21,2020,5,-0.5171344497195186
AAXJ,2020-09-21,2020,22,-0.7749902583757641
AAXJ,2020-09-22,2020,5,-0.6647577569946665
AAXJ,2020-09-22,2020,22,-0.814671618595527
AAXJ,2020-09-23,2020,5,-0.475476355478851
AAXJ,2020-09-23,2020,22,-0.9070869767012085
AAXJ,2020-09-24,2020,5,-0.42896482842084865
AAXJ,2020-09-24,2020,22,-0.9034628866078293
AAXJ,2020-09-25,2020,5,-0.2706036076668596
AAXJ,2020-09-25,2020,22,-0.9013868458832289
AAXJ,2020-09-28,2020,5,-0.40579094656283704
AAXJ,2020-09-28,2020,22,-0.7715617932940037
AAXJ,2020-09-29,2020,5,-0.35343585014793333
AAXJ,2020-09-29,2020,22,-0.6573010676537113
AAXJ,2020-09-30,2020,5,-0.15487234448622547
AAXJ,2020-09-30,2020,22,-0.41089505513990165
AAXJ,2020-10-01,2020,5,-0.30637869358907766
AAXJ,2020-10-01,2020,22,-0.31625474743488013
AAXJ,2020-10-02,2020,5,-0.4109180491380659
AAXJ,2020-10-02,2020,22,-0.2722865636582924
AAXJ,2020-10-05,2020,5,-0.47977631286612005
AAXJ,2020-10-05,2020,22,0.12396479096491035
AAXJ,2020-10-06,2020,5,-0.4547546595850357
AAXJ,2020-10-06,2020,22,0.18622599136746304
AAXJ,2020-10-07,2020,5,-0.9686267657194068
AAXJ,2020-10-07,2020,22,0.11062343044128989
AAXJ,2020-10-08,2020,5,-0.6988010181292025
AAXJ,2020-10-08,2020,22,0.0875570181788105
AAXJ,2020-10-09,2020,5,-0.7704301829872389
AAXJ,2020-10-09,2020,22,0.11073571993575165
AAXJ,2020-10-12,2020,5,-1.141281150834991
AAXJ,2020-10-12,2020,22,0.1483262485086728
AAXJ,2020-10-13,2020,5,-0.8681498467556251
AAXJ,2020-10-13,2020,22,0.12499683454361495
AAXJ,2020-10-14,2020,5,-1.0256938879657942
AAXJ,2020-10-14,2020,22,0.18447924451536463
AAXJ,2020-10-15,2020,5,-1.6555900712347842
AAXJ,2020-10-15,2020,22,0.16473017090354403
AAXJ,2020-10-16,2020,5,-1.5350347260693942
AAXJ,2020-10-16,2020,22,0.14986321329067917
AAXJ,2020-10-19,2020,5,-0.885818624377737
AAXJ,2020-10-19,2020,22,0.13378054508682574
AAXJ,2020-10-20,2020,5,-1.0136289820372444
AAXJ,2020-10-20,2020,22,0.09095603844379582
AAXJ,2020-10-21,2020,5,0.09539606159606964
AAXJ,2020-10-21,2020,22,0.13605468080298017
AAXJ,2020-10-22,2020,5,0.2429715275897987
AAXJ,2020-10-22,2020,22,0.11322595004808947
AAXJ,2020-10-23,2020,5,0.45091681322907395
AAXJ,2020-10-23,2020,22,0.1952426414782806
AAXJ,2020-10-26,2020,5,0.5422083947258337
AAXJ,2020-10-26,2020,22,0.18152124865046718
AAXJ,2020-10-27,2020,5,0.4840841977158894
AAXJ,2020-10-27,2020,22,0.19195722698093107
AAXJ,2020-10-28,2020,5,0.988510139550489
AAXJ,2020-10-28,2020,22,0.2827446751879623
AAXJ,2020-10-29,2020,5,1.052279845863007
AAXJ,2020-10-29,2020,22,0.33824779242125413
AAXJ,2020-10-30,2020,5,0.9407526172881896
AAXJ,2020-10-30,2020,22,0.2885153202607628
AAXJ,2020-11-02,2020,5,0.8046038522036101
AAXJ,2020-11-02,2020,22,0.2540992173299586
AAXJ,2020-11-03,2020,5,0.984891045851375
AAXJ,2020-11-03,2020,22,0.358615754944216
AAXJ,2020-11-04,2020,5,-0.32658050610981837
AAXJ,2020-11-04,2020,22,-0.038540960621308226
AAXJ,2020-11-05,2020,5,-0.8138921883363334
AAXJ,2020-11-05,2020,22,-0.12084470995932847
AAXJ,2020-11-06,2020,5,-0.2615120290039929
AAXJ,2020-11-06,2020,22,-0.049769465465287106
AAXJ,2020-11-09,2020,5,-0.011836988082858171
AAXJ,2020-11-09,2020,22,-0.01957168426847543
AAXJ,2020-11-10,2020,5,-0.36417384766628264
AAXJ,2020-11-10,2020,22,-0.08835500719691573
AAXJ,2020-11-11,2020,5,-0.4287354346064168
AAXJ,2020-11-11,2020,22,-0.0698277589360636
AAXJ,2020-11-12,2020,5,-0.5966663702380277
AAXJ,2020-11-12,2020,22,-0.130964968241717
AAXJ,2020-11-13,2020,5,-0.9745508475238773
AAXJ,2020-11-13,2020,22,-0.2029412866813306
AAXJ,2020-11-16,2020,5,-2.0135358996755692
AAXJ,2020-11-16,2020,22,-0.27840598856448495
AAXJ,2020-11-17,2020,5,-0.9259499322536368
AAXJ,2020-11-17,2020,22,-0.3024218939373742
AAXJ,2020-11-18,2020,5,-0.685894527771892
AAXJ,2020-11-18,2020,22,-0.22042663327113152
AAXJ,2020-11-19,2020,5,-0.48009782714581245
AAXJ,2020-11-19,2020,22,-0.3415407059577594
AAXJ,2020-11-20,2020,5,0.45409607530062995
AAXJ,2020-11-20,2020,22,-0.3425950393414795
AAXJ,2020-11-23,2020,5,0.6409742412670626
AAXJ,2020-11-23,2020,22,-0.32322091520820534
AAXJ,2020-11-24,2020,5,0.5261374801800738
AAXJ,2020-11-24,2020,22,-0.38202687110928685
AAXJ,2020-11-25,2020,5,0.5940873328282056
AAXJ,2020-11-25,2020,22,-0.2833208288087759
AAXJ,2020-11-27,2020,5,0.6093689731865624
AAXJ,2020-11-27,2020,22,-0.16597250457261092
AAXJ,2020-11-30,2020,5,-0.40555419580749497
AAXJ,2020-11-30,2020,22,-0.5492559131109165
AAXJ,2020-12-01,2020,5,-1.060910065477103
AAXJ,2020-12-01,2020,22,-0.5816055122579967
AAXJ,2020-12-02,2020,5,-0.8333536550174777
AAXJ,2020-12-02,2020,22,-0.26467202933480743
AAXJ,2020-12-03,2020,5,-0.795068671194242
AAXJ,2020-12-03,2020,22,-0.19917712333213286
AAXJ,2020-12-04,2020,5,-0.9920524465955453
AAXJ,2020-12-04,2020,22,-0.17048229985390478
AAXJ,2020-12-07,2020,5,-0.8853875327360392
AAXJ,2020-12-07,2020,22,0.18773166471792876
AAXJ,2020-12-08,2020,5,-0.5773178670621653
AAXJ,2020-12-08,2020,22,0.245216653765642
AAXJ,2020-12-09,2020,5,-0.7257405230932655
AAXJ,2020-12-09,2020,22,0.2790553943665335
AAXJ,2020-12-10,2020,5,-0.9756507143169725
AAXJ,2020-12-10,2020,22,0.24816527503882285
AAXJ,2020-12-11,2020,5,-1.224632035985935
AAXJ,2020-12-11,2020,22,0.24331461883479857
AAXJ,2020-12-14,2020,5,-0.7379533654702003
AAXJ,2020-12-14,2020,22,0.26523273168796796
AAXJ,2020-12-15,2020,5,-0.9343337987513872
AAXJ,2020-12-15,2020,22,0.23157604787566552
AAXJ,2020-12-16,2020,5,-0.5912763992547153
AAXJ,2020-12-16,2020,22,0.32056943983755876
AAXJ,2020-12-17,2020,5,-0.6357249096278937
AAXJ,2020-12-17,2020,22,0.32647492335166856
AAXJ,2020-12-18,2020,5,-0.6333760849047035
AAXJ,2020-12-18,2020,22,0.35227599201832627
AAXJ,2020-12-21,2020,5,-0.4218800042438797
AAXJ,2020-12-21,2020,22,0.35045475479520294
AAXJ,2020-12-22,2020,5,0.05435723158264355
AAXJ,2020-12-22,2020,22,0.3619107083392334
AAXJ,2020-12-23,2020,5,-0.10766820150205464
AAXJ,2020-12-23,2020,22,0.5811644797696253
AAXJ,2020-12-24,2020,5,-0.007031593282010787
AAXJ,2020-12-24,2020,22,0.5740129016925157
AAXJ,2020-12-28,2020,5,0.7164078531579816
AAXJ,2020-12-28,2020,22,0.7288410671051425
AAXJ,2020-12-29,2020,5,0.6680675887372962
AAXJ,2020-12-29,2020,22,0.8623839612422983
AAXJ,2020-12-30,2020,5,0.4847843936958626
AAXJ,2020-12-30,2020,22,0.8569589440476982
AAXJ,2020-12-31,2020,5,1.1068250924246472
AAXJ,2020-12-31,2020,22,0.8725559509300315
AAXJ,2021-01-04,2021,5,1.139547776293693
AAXJ,2021-01-04,2021,22,0.8567481630094332
AAXJ,2021-01-05,2021,5,0.7885260331234322
AAXJ,2021-01-05,2021,22,0.7870753360955817
AAXJ,2021-01-06,2021,5,0.6976100925013708
AAXJ,2021-01-06,2021,22,0.7677391839936442
AAXJ,2021-01-07,2021,5,0.6491121667427162
AAXJ,2021-01-07,2021,22,0.7552073599358217
AAXJ,2021-01-08,2021,5,-0.27632493547949516
AAXJ,2021-01-08,2021,22,0.6017293082716616
AAXJ,2021-01-11,2021,5,0.15495094989481004
AAXJ,2021-01-11,2021,22,0.589349970091077
AAXJ,2021-01-12,2021,5,0.6220879598494808
AAXJ,2021-01-12,2021,22,0.5837682573532486
AAXJ,2021-01-13,2021,5,0.6419967302663367
AAXJ,2021-01-13,2021,22,0.5973956515030697
AAXJ,2021-01-14,2021,5,0.6208385085881696
AAXJ,2021-01-14,2021,22,0.551314147614168
AAXJ,2021-01-15,2021,5,0.5482729002886123
AAXJ,2021-01-15,2021,22,0.5305043402602383
AAXJ,2021-01-19,2021,5,0.2522926043813105
AAXJ,2021-01-19,2021,22,0.4687751529846039
AAXJ,2021-01-20,2021,5,0.7217856200577855
AAXJ,2021-01-20,2021,22,0.5574356273507937
AAXJ,2021-01-21,2021,5,0.6391061201059055
AAXJ,2021-01-21,2021,22,0.46151336015986794
AAXJ,2021-01-22,2021,5,1.0021018120838765
AAXJ,2021-01-22,2021,22,0.4591132104381277
AAXJ,2021-01-25,2021,5,1.3551906366249642
AAXJ,2021-01-25,2021,22,0.5041575378825774
AAXJ,2021-01-26,2021,5,1.2720060709436007
AAXJ,2021-01-26,2021,22,0.4186411632111658
AAXJ,2021-01-27,2021,5,0.9180284571301378
AAXJ,2021-01-27,2021,22,0.44444451789878764
AAXJ,2021-01-28,2021,5,0.9091382738010212
AAXJ,2021-01-28,2021,22,0.493118347496026
AAXJ,2021-01-29,2021,5,0.5148635342839981
AAXJ,2021-01-29,2021,22,0.381390779159863
AAXJ,2021-02-01,2021,5,-0.8962692771801216
AAXJ,2021-02-01,2021,22,0.33255668290735835
AAXJ,2021-02-02,2021,5,-1.1049463094507967
AAXJ,2021-02-02,2021,22,0.3054954064036714
AAXJ,2021-02-03,2021,5,-1.1431732837548032
AAXJ,2021-02-03,2021,22,0.6254921423002452
AAXJ,2021-02-04,2021,5,-0.5377685392368269
AAXJ,2021-02-04,2021,22,0.6925565391905071
AAXJ,2021-02-05,2021,5,-0.7085028565400213
AAXJ,2021-02-05,2021,22,0.6871984907975739
AAXJ,2021-02-08,2021,5,-0.7406330733127277
AAXJ,2021-02-08,2021,22,0.8378922681587465
AAXJ,2021-02-09,2021,5,-1.189602151563432
AAXJ,2021-02-09,2021,22,0.894295924538015
AAXJ,2021-02-10,2021,5,-0.3270479547246561
AAXJ,2021-02-10,2021,22,0.8841965445973616
AAXJ,2021-02-11,2021,5,-0.7396257118046955
AAXJ,2021-02-11,2021,22,0.7341205241694225
AAXJ,2021-02-12,2021,5,0.5347799506455372
AAXJ,2021-02-12,2021,22,0.7519401697204735
AAXJ,2021-02-16,2021,5,0.4832941434473477
AAXJ,2021-02-16,2021,22,0.7183648260981931
AAXJ,2021-02-17,2021,5,0.4702937517924658
AAXJ,2021-02-17,2021,22,0.6219114078467083
AAXJ,2021-02-18,2021,5,0.4761407044816668
AAXJ,2021-02-18,2021,22,0.5631791050969136
AAXJ,2021-02-19,2021,5,0.5667258463949116
AAXJ,2021-02-19,2021,22,0.6027057688492031
AAXJ,2021-02-22,2021,5,0.5329539120490514
AAXJ,2021-02-22,2021,22,0.5925067917900834
AAXJ,2021-02-23,2021,5,0.6522418255714918
AAXJ,2021-02-23,2021,22,0.5862114919511507
AAXJ,2021-04-26,2021,5,-1.3548688058235228
AAXJ,2021-04-26,2021,22,-0.6453838408746049
AAXJ,2021-04-27,2021,5,-1.0105962947704799
AAXJ,2021-04-27,2021,22,-0.6495889966150253
AAXJ,2021-04-28,2021,5,-1.0026165172063983
AAXJ,2021-04-28,2021,22,-0.5917915198813146
AAXJ,2021-04-29,2021,5,-0.7562500523205882
AAXJ,2021-04-29,2021,22,-0.3903192532826499
AAXJ,2021-04-30,2021,5,-1.3247192593720791
AAXJ,2021-04-30,2021,22,-0.4705932286003327
AAXJ,2021-05-03,2021,5,-0.4886397552739802
AAXJ,2021-05-03,2021,22,-0.41999638943372397
AAXJ,2021-05-04,2021,5,-0.6110235944652117
AAXJ,2021-05-04,2021,22,-0.4370563159186546
AAXJ,2021-05-05,2021,5,0.23678524542933582
AAXJ,2021-05-05,2021,22,-0.4241005984536984
AAXJ,2021-05-06,2021,5,0.17622062155434612
AAXJ,2021-05-06,2021,22,-0.4418124113970994
AAXJ,2021-05-07,2021,5,0.35453521730341137
AAXJ,2021-05-07,2021,22,-0.44714821569102803
AAXJ,2021-05-10,2021,5,0.050620374448919786
AAXJ,2021-05-10,2021,22,-0.5686790143383416
AAXJ,2021-05-11,2021,5,0.19184021537542054
AAXJ,2021-05-11,2021,22,-0.572760856340474
AAXJ,2021-05-12,2021,5,-0.7283688361472039
AAXJ,2021-05-12,2021,22,-0.9153146447747771
AAXJ,2021-05-13,2021,5,-0.6594398286912088
AAXJ,2021-05-13,2021,22,-0.8638864654821712
AAXJ,2021-05-14,2021,5,-0.940200284016766
AAXJ,2021-05-14,2021,22,-0.9175919550142878
AAXJ,2021-07-15,2021,5,-0.07754585384830819
AAXJ,2021-07-15,2021,22,0.5026624092880422
AAXJ,2021-07-16,2021,5,0.3191689237145137
AAXJ,2021-07-16,2021,22,0.6401717595259958
AAXJ,2021-07-19,2021,5,0.7709128346778472
AAXJ,2021-07-19,2021,22,0.5530377225925688
AAXJ,2021-07-20,2021,5,1.2822719513795664
AAXJ,2021-07-20,2021,22,0.6291367885082969
AAXJ,2021-07-21,2021,5,1.6827228290620755
AAXJ,2021-07-21,2021,22,0.6240871665338464
AAXJ,2021-07-22,2021,5,1.686466763372714
AAXJ,2021-07-22,2021,22,0.6807725925397105
AAXJ,2021-07-23,2021,5,1.4792746544330986
AAXJ,2021-07-23,2021,22,0.6360515001936353
AAXJ,2021-07-26,2021,5,1.078141320779107
AAXJ,2021-07-26,2021,22,0.4044790949564424
AAXJ,2021-07-27,2021,5,0.5441569001693792
AAXJ,2021-07-27,2021,22,0.22811332380326207
AAXJ,2021-07-28,2021,5,-1.1811374297071804
