date,btc_usd_adj_close,spy_adj_close,vix_adj_close,btc_usd_close,spy_close,vix_close,btc_usd_high,spy_high,vix_high,btc_usd_low,spy_low,vix_low,btc_usd_open,spy_open,vix_open,btc_usd_volume,spy_volume,vix_volume
2015-03-09,289.60699462890625,172.55145263671875,15.0600004196167,289.60699462890625,208.36000061035156,15.0600004196167,292.70098876953125,208.7899932861328,15.760000228881836,273.89300537109375,207.5500030517578,14.710000038146973,274.81201171875,207.74000549316406,15.720000267028809,59178200,89818900.0,0.0
2015-03-10,291.760009765625,169.75230407714844,16.690000534057617,291.760009765625,204.97999572753906,16.690000534057617,300.04400634765625,206.80999755859375,16.90999984741211,289.7430114746094,204.92999267578125,16.030000686645508,289.86199951171875,206.7100067138672,16.469999313354492,67770800,157121300.0,0.0
2015-03-11,296.3789978027344,169.35487365722656,16.8700008392334,296.3789978027344,204.5,16.8700008392334,297.3909912109375,205.5,17.190000534057617,290.50799560546875,204.39999389648438,16.290000915527344,291.5249938964844,205.2899932861328,16.440000534057617,33963900,110145700.0,0.0
2015-03-12,294.35400390625,171.50799560546875,15.420000076293945,294.35400390625,207.10000610351562,15.420000076293945,297.0880126953125,207.17999267578125,16.450000762939453,292.4129943847656,205.1999969482422,15.300000190734863,296.12701416015625,205.25999450683594,16.450000762939453,32585200,93993500.0,0.0
2015-03-13,285.3370056152344,170.45620727539062,16.0,285.3370056152344,205.8300018310547,16.0,294.49798583984375,207.92999267578125,16.739999771118164,285.3370056152344,204.5800018310547,15.319999694824219,294.1180114746094,206.77000427246094,15.470000267028809,31421500,162410900.0,0.0
2015-03-14,281.885009765625,,,281.885009765625,,,286.3420104980469,,,280.97601318359375,,,284.4419860839844,,,22612300,,
2015-03-15,286.39300537109375,,,286.39300537109375,,,286.52899169921875,,,280.9960021972656,,,281.42498779296875,,,11970100,,
2015-03-16,290.5929870605469,172.73367309570312,15.609999656677246,290.5929870605469,208.5800018310547,15.609999656677246,294.11199951171875,208.69000244140625,15.890000343322754,285.68499755859375,205.86000061035156,15.359999656677246,285.68499755859375,206.7100067138672,15.779999732971191,21516100,136099200.0,0.0
2015-03-17,285.5050048828125,172.22018432617188,15.65999984741211,285.5050048828125,207.9600067138672,15.65999984741211,292.364990234375,208.4199981689453,16.3700008392334,284.3739929199219,206.97999572753906,15.65999984741211,290.5950012207031,207.69000244140625,16.309999465942383,21497200,94510400.0,0.0
2015-03-18,256.29901123046875,174.29055786132812,13.970000267028809,256.29901123046875,210.4600067138672,13.970000267028809,285.33599853515625,211.27000427246094,16.290000915527344,249.8699951171875,206.6199951171875,13.380000114440918,285.0669860839844,207.38999938964844,14.600000381469727,57008000,228808500.0,0.0
