Price,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII
Date,,,,,
2010-12-15,8756.669921875,8756.669921875,8698.370383756741,8755.28027979151,3622600
2010-12-16,8782.16015625,8797.940357743415,8767.400457916472,8770.700247559782,3719600
2010-12-17,8817.8603515625,8860.33965086519,8817.469728336195,8828.00971953999,4232000
2010-12-20,8768.6796875,8861.049382914081,8740.25989539389,8861.049382914081,3183800
2010-12-21,8827.75,8827.75,8772.550055051868,8802.820425570351,2753200
2010-12-22,8860.4501953125,8865.379860536072,8834.280391694967,8847.22955192963,3464800
2010-12-23,8898.8291015625,8914.298756823757,8874.829212180475,8891.369175008575,4002600
2010-12-24,8861.0595703125,8911.36988985825,8860.96972696846,8910.570088784683,3616800
2010-12-27,8892.2685546875,8908.37883194128,8828.629199786785,8866.629024512438,3458600
2010-12-28,8870.7197265625,8919.219507652893,8839.79017866674,8919.219507652893,3177200
2010-12-29,8866.3095703125,8893.09948839533,8844.629980714613,8878.059517251319,4915200
2010-12-30,8907.869140625,8920.748964133305,8871.029466500557,8883.1690590422,3983000
2010-12-31,8972.458984375,8990.338785453918,8932.598815024507,8936.069502284023,4857800
2011-01-03,9025.2587890625,9041.279224069536,8994.459124345225,9039.588802064221,5067400
2011-01-04,8997.1494140625,9046.138448546946,8988.539101752136,9045.069117484243,5270400
2011-01-05,8846.26953125,9027.119298644146,8812.320466156718,9014.279513008243,5796600
2011-01-06,8883.1689453125,8883.1689453125,8813.589188453168,8866.189531522841,4362200
2011-01-07,8782.6796875,8907.069745422355,8738.889848069524,8905.209402340912,4500800
2011-01-10,8817.83984375,8817.83984375,8762.460212399146,8798.009855666796,2885200
2011-01-11,8931.3193359375,8935.228497672813,8794.729142893148,8810.729069416098,3573400
2011-01-12,8964.958984375,9000.739094114755,8955.428754539298,8991.968626428063,3922200
2011-01-13,8975.5390625,9034.128638512535,8948.189578104257,9034.128638512535,3951000
2011-01-14,8972.46875,8998.098515651784,8937.459144413546,8985.298769475448,2756200
2011-01-17,8925.048828125,9006.318962455469,8921.149431982421,8998.8482936624,3579600
2011-01-18,8987.958984375,9003.409109182447,8886.989718575343,8889.799276066717,3723200
2011-01-19,9085.9775390625,9092.238252315188,9005.727909948017,9023.258102367143,3935000
2011-01-20,9022.12890625,9063.478327645824,9017.75880892946,9059.758617993548,3066400
2011-01-21,8954.3388671875,8980.498903610647,8892.228800122075,8935.249110878716,3170400
2011-01-24,8947.7490234375,8993.518344885311,8927.449311801935,8983.548664022876,2580000
2011-01-25,8991.3486328125,9032.258602444446,8991.3486328125,9001.699171534188,2925600
2011-01-26,9055.5478515625,9072.717693817884,9009.137910523657,9010.368373567782,3204800
2011-01-27,9102.2880859375,9126.887581826019,9092.92777755753,9093.498087426482,3296800
2011-01-28,9145.3076171875,9154.887651324194,9095.668196677581,9122.118270540208,3372600
2011-02-08,9111.41796875,9220.647934087117,9085.368284118813,9220.647934087117,3854200
2011-02-09,9006.779296875,9129.83830679382,8992.598697388985,9107.918484738651,3537600
2011-02-10,8836.51953125,8979.308923320958,8836.51953125,8962.029704739647,3685600
2011-02-11,8609.8203125,8842.369035744157,8574.610515301953,8842.369035744157,4563000
2011-02-14,8685.4296875,8715.929546898346,8626.620388293166,8666.57039943965,3074000
2011-02-15,8721.8896484375,8753.009622764375,8565.010485800885,8679.080274647458,3209400
2011-02-16,8712.919921875,8767.04955594198,8702.769577894553,8740.280147707228,2959800
2011-02-17,8683.83984375,8745.610066755104,8669.729557246581,8738.66966906808,3118400
2011-02-18,8843.7998046875,8874.459822128574,8763.650753488582,8763.650753488582,3326600
2011-02-21,8839.1796875,8867.11999062558,8797.210151048002,8867.11999062558,2736800
2011-02-22,8673.6298828125,8744.769202857882,8613.300083180893,8744.769202857882,3728400
2011-02-23,8528.900390625,8673.159479023348,8521.20999704018,8604.279919567067,3337800
2011-02-24,8541.599609375,8633.199765933396,8541.599609375,8561.120025684831,2738400
2011-02-25,8599.6103515625,8634.99983522954,8470.0504079077,8597.830086413764,3641600
2011-03-01,8727.51953125,8734.200164663895,8611.750531111069,8611.750531111069,2811800
2011-03-02,8619.8603515625,8709.529856924612,8619.8603515625,8675.329820470532,2677400
2011-03-03,8738.330078125,8758.84951535486,8661.590195372442,8661.590195372442,3099000
2011-03-04,8784.3603515625,8829.1902253532,8771.849666398628,8815.479350347287,3112800
2011-03-07,8713.75,8769.829820442206,8706.339877798984,8769.829820442206,2288200
2011-03-08,8747.7099609375,8768.269437147412,8692.059825028224,8692.059825028224,2487400
2011-03-09,8749.9794921875,8824.36977678473,8730.7002835323,8810.309294249142,2811200
2011-03-10,8642.8603515625,8754.369600607848,8635.709994062368,8754.369600607848,2763000
2011-03-11,8567.7802734375,8593.669800887723,8513.46998036607,8566.870121440834,2422200
2011-03-14,8519.9794921875,8616.249547585441,8395.070899499411,8616.249547585441,3309000
2011-03-15,8234.740234375,8519.858965254449,8070.480779133239,8493.78877951325,4871800
2011-03-16,8324.5400390625,8371.979264016083,8257.040363719923,8317.339878381064,3250800
2011-03-17,8282.650390625,8282.650390625,8150.690579311617,8190.460406592014,3048000
2011-03-18,8394.7099609375,8399.129861731522,8312.840234232472,8343.750243055369,3085400
2011-03-21,8467.669921875,8508.159964794337,8394.180034994199,8421.62033493126,2464000
2011-03-22,8508.0,8552.780062700343,8508.0,8523.229420517106,2781400
2011-03-23,8545.0400390625,8551.080049823628,8481.92021763236,8529.889719426588,2474600
2011-03-24,8576.3603515625,8603.389522250794,8550.55969076386,8589.669859739057,2431800
2011-03-25,8610.349609375,8658.00954400112,8587.799909546058,8645.329915462771,2449400
2011-03-28,8553.01953125,8604.199955722703,8549.21974435036,8587.950031793116,1942800
2011-03-29,8596.5302734375,8596.5302734375,8522.530618097117,8538.400661368556,2214000
2011-03-30,8646.26953125,8671.549687620394,8605.790226513678,8605.790226513678,2544000
2011-03-31,8683.259765625,8685.400380754487,8608.01011260593,8683.650388823811,2411400
2011-04-01,8705.08984375,8705.08984375,8654.360584891736,8697.799838217881,1912600
2011-04-06,8851.9404296875,8859.979455825409,8767.170305306896,8772.090204928227,2992600
2011-04-07,8901.6787109375,8901.6787109375,8828.87924168288,8884.798905900863,2638400
2011-04-08,8894.4990234375,8929.018395506684,8862.449366542103,8904.39936840857,3122600
2011-04-11,8880.228515625,8922.708788168908,8836.33906990222,8922.708788168908,2322000
2011-04-12,8732.5498046875,8839.1791986003,8708.820421300097,8839.1791986003,2297200
2011-04-13,8780.16015625,8780.16015625,8700.04040442255,8727.910394518032,2134800
2011-04-14,8802.6904296875,8835.349460825304,8772.259904038334,8787.710029075895,2277200
2011-04-15,8718.080078125,8834.029740921653,8716.66016277117,8828.589336220011,2372400
2011-04-18,8714.4404296875,8764.610121054595,8703.070364740503,8752.519356293898,2042400
2011-04-19,8638.509765625,8658.929592855118,8592.19064437432,8643.36032908038,2233000
2011-04-20,8813.240234375,8813.240234375,8698.930206817098,8704.440923969089,2643200
2011-04-21,8957.609375,8992.038904852057,8892.018855017204,8893.02959257668,3689400
2011-04-22,8969.388671875,8992.628799976494,8956.029357965073,8980.388621573933,2776600
2011-04-25,8950.708984375,9037.048432484115,8950.708984375,9015.868842037224,2696800
2011-04-26,8948.0986328125,8966.819250127335,8866.699591860834,8893.96899811537,2392200
2011-04-27,9049.208984375,9060.4589333845,9012.239425377375,9012.239425377375,3110000
2011-04-28,9040.728515625,9099.70871679592,9021.31942399191,9088.928492265723,3087000
2011-04-29,9007.8291015625,9058.739026002777,8943.94950961491,9050.449024687396,3385400
2011-05-03,8946.0390625,9018.658846741733,8895.20921741868,9014.288749590169,2675400
2011-05-04,8947.30859375,8947.30859375,8864.509168625822,8937.2588351319,2336800
2011-05-05,9018.5693359375,9029.539012610918,8907.929214118612,8930.199620647349,2702600
2011-05-06,8977.189453125,9018.359186900778,8954.768657125236,8997.689359463562,2796600
2011-05-09,9035.439453125,9081.218542189637,8984.388903614717,9001.758941952376,2852600
2011-05-10,9023.2392578125,9055.868992304766,9007.888741651606,9048.208870874265,2172800
2011-05-11,9020.359375,9081.968469863097,9014.319363401466,9073.838624017053,2358800
2011-05-12,9033.638671875,9052.939365493643,8963.199538566321,8977.728769473939,2339800
2011-05-13,9006.5693359375,9059.418704638187,8986.138764915158,9039.50863905798,2471800
2011-05-16,8911.6689453125,8996.658788524906,8911.6689453125,8996.658788524906,1993800
2011-05-17,8884.048828125,8928.949011456105,8854.098771085075,8917.208831282836,2180000
2011-05-18,8944.798828125,8946.94920888961,8885.359647553378,8885.359647553378,2060600
2011-05-19,8892.8388671875,9026.138057071374,8888.168966851053,8952.208710548917,2573200
2011-05-20,8836.990234375,8944.339357367406,8822.71002563896,8944.339357367406,2277600
2011-05-23,8747.4697265625,8776.419789364296,8695.300043479432,8767.259675042122,2123800
2011-05-24,8756.5703125,8756.860350236315,8673.340224316202,8730.190550307892,2153400
2011-05-25,8727.0498046875,8763.599441687955,8682.45039993129,8732.259741722193,2107400
2011-05-26,8788.3603515625,8807.039953959735,8751.479660212963,8797.249959499663,1908000
