symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates
BOOT,0.0292408801039,23193806,2557,21
BOSC,0.0464174198268,5780488,1709,21
BOTJ,0.491499866811,199716,247,21
BOX,0.0206692070084,31306825,5398,21
BOXC,0.465527294537,1681450,487,21
BPFH,0.0153365866994,5108258,1508,21
BPI,0.0297070186497,7575403,1657,21
BPMC,0.141700463035,46929723,2567,21
BPMX,0.0471043189325,302760,117,2
BPOP,0.0399680027627,583491,266,2
BPT,0.0748524311712,34745928,3453,21
BPTH,0.0188426895779,636427,162,2
BRC,0.045588144685,10369425,2586,21
BREW,0.0778730687862,14353033,3536,21
BRID,0.812625407772,1032011,560,21
BRKL,0.0267566069371,4928267,1683,21
BRKR,0.0290194216061,1074458,277,2
BRKS,0.0271974887083,10205306,2191,21
BRN,0.0909862956811,9632,8,2
BRO,0.014460473818,594912,278,2
BRS,0.0238512247197,1973717,479,2
BRSS,0.07417470195,2943298,1619,21
BSET,0.145408647346,17160860,1597,21
BSF,0.109911244701,2677590,930,21
BSFT,0.0725207149826,28420410,2975,21
BSM,0.0522850176628,1789634,257,2
BSPM,0.0488141594486,1113525,239,2
BSQR,0.0432653295995,10206568,1805,21
BSRR,0.0912842667967,4171401,1041,21
BSTC,0.412273421404,22599843,1975,21
BSTG,0.0386832719547,600100,194,2
BTN,0.0741950317359,4973387,1318,21
BTX,0.0224116293569,26348697,3610,21
BUFF,0.0217446273076,34492334,484,2
BUR,0.0535677717163,11915,15,2
BURL,0.0505841694946,9256647,580,2
BUSE,0.0446340779427,2136467,1250,21
BV,0.0126816846324,22030729,2728,21
BVSN,0.219012180377,1224059,658,21
BVX,0.044725880326,8287782,2321,21
BW,0.0211038813817,13505809,2385,21
BWEN,0.0608607324193,8795044,1669,21
BWFG,0.228488988879,741405,539,21
BWINA,1.04065409216,115819,170,21
BWINB,0.111787245191,6223817,1175,21
BWL A,0.325259543568,31812,112,20
BWLD,0.206660899255,62009885,3464,21
BWP,0.0358852238494,497924,249,2
BWXT,0.0183058468256,583975,259,2
BXE,0.017200162503,3777776,272,2
BXS,0.0116937785457,17189325,1996,21
BYBK,0.0706442412607,5873447,715,21
BYD,0.0179139231974,703179,286,2
BYFC,0.0727962499464,93252,62,2
BZH,0.0168457901798,23459624,4004,21
CAA,0.0206521392571,373611,220,2
CAAS,0.0526158258518,2047934,967,21
CAB,0.0439048166187,443693,283,2
CABO,3.48281651641,3252723,182,2
CAC,0.266051306919,10097375,1569,21
CACB,0.0419150322812,22265117,1184,21
CACC,0.767075240871,4400482,259,2
CACI,0.268414506306,13683759,2336,21
CACQ,0.0578612791738,8111720,1691,21
CADC,0.108794097214,6457408,1199,21
CAE,0.0151423463006,342991,124,2
CAFD,0.0327265586234,14365722,3419,21
CAI,0.0542177383226,2685299,1349,21
CAKE,0.0305231185877,24211293,3243,21
CAL,0.0285870776342,6597894,2190,21
CALA,0.0343566029469,8392321,2390,21
CALD,0.0198471849428,18846544,2945,21
CALI,0.126722148811,157408,90,2
CALL,0.0254662090652,9385387,1931,21
CALM,0.0513997652734,44390787,4823,21
CALX,0.019908508966,4052255,1675,21
CAMP,0.0208491529471,30054617,3300,21
CAMT,0.034726354632,4572312,1141,21
CAPL,0.123492118132,14693598,2001,21
CAPN,0.0336144822913,284803,77,2
CAPR,0.120820796344,7431465,1452,21
CARA,0.0233460439602,41325772,5901,21
CARB,0.0302282726976,12892873,2637,21
CARO,0.19917686252,11265864,1344,21
CART,0.120090907055,44661,35,16
CARV,0.527568346813,15455,120,19
CAS,0.0177679353748,116549,81,2
CASC,0.0157012035565,2894837,295,2
CASH,0.222467435768,10693515,1702,21
CASM,0.0633829718355,9267,34,2
CASS,0.377027976007,13447852,1404,21
CASY,0.156135307597,1968177,304,2
CATB,0.0481682076441,59750171,2466,21
CATM,0.039208367519,7603831,2272,21
CATO,0.0606387077929,10768692,2056,21
CATY,0.0298411000269,5241999,2014,21
CAVM,0.0343159219055,15631678,446,2
CAW,0.0408499343168,576251,418,21
CBAK,0.0414726008482,5848119,1359,21
CBAN,0.140098370214,374221,336,21
CBAY,0.0436636144135,5880672,203,2
CBB,0.0117443524937,20016879,2232,21
CBF,0.0827766931026,6249695,1475,21
CBFV,0.537699276132,691424,255,20
CBI,0.0138436927313,5791778,534,2
CBIO,0.0363320936611,48131,77,2
CBK,0.0194512930742,913714,263,2
CBLI,0.0615127590732,245394,139,2
CBM,0.0684781492559,28175727,3447,21
CBMG,0.191010395414,9534483,1235,21
CBMX,0.0584934431304,9575667,1888,21
CBNK,0.230944302149,1214063,494,21
CBPO,0.293577409616,47767377,2571,21
CBPX,0.0281701665156,9787613,2181,21
CBR,0.0497963959302,274412,170,2
CBRL,0.157023849878,5322958,334,2
CBSH,0.0321358043251,816865,241,2
CBT,0.0378077781974,1631252,253,2
CBU,0.0994661626818,3030911,1857,21
CBZ,0.0183977959552,2654574,1566,21
CCBG,0.156226920339,9151445,1241,21
CCC,0.0329527896471,8427679,2354,21
CCF,0.459934570222,15127658,1708,21
CCJ,0.0146773397229,3396353,481,2
CCLP,0.134849574194,9907913,1660,21
CCMP,0.119801574153,11286132,1920,21
CCN,0.059000215368,7722597,925,21
CCNE,0.236107548558,11377590,1189,21
CCO,0.0221271060341,17746377,2194,21
CCOI,0.0453612645167,8977438,2409,21
CCRN,0.0315499739589,9306459,2070,21
CCS,0.0601538349726,6788849,1772,21
CCUR,0.0962625611527,5700488,1483,21
CCXI,0.0269745340211,22929796,2593,21
CDI,0.0319564451474,5229764,1826,21
CDNA,0.0930988851438,7832490,1069,21
CDTX,0.178091023524,21761668,1759,21
CDXS,0.0296237909851,3071302,1158,21
CDZI,0.0804821565406,4000648,1022,21
CEB,0.0854898877107,7596361,2140,21
CECE,0.03329221657,11074629,2187,21
CECO,0.0221575517406,3530451,1535,21
CEF,0.0153962732264,16039826,3503,21
CEL,0.0524785310634,1184013,785,21
CELP,0.093090033029,5403738,1425,21
CEMI,0.0607904111391,27524166,1852,21
CEMP,0.0506095117905,30510428,5065,21
CENT,0.0482397997199,10210602,2369,21
CEQP,0.0639618322123,14524976,2989,21
CERC,0.0854673969954,7312826,1440,21
CERS,0.0112239698372,1481562,298,2
CERU,0.0112677558176,4158744,241,2
CETV,0.0208356599699,2675622,1013,21
CETX,0.0400154908718,9993821,2573,21
CEVA,0.0929056900266,8573879,2517,21
CFBK,0.0286714436932,512034,107,2
CFCB,0.651412250979,2581859,580,21
CFFI,0.986104139458,1205979,561,21
CFFN,0.0170793206744,3869720,1703,21
CFI,0.0918081151044,11061090,1876,21
CFMS,0.0329336658742,12512546,2673,21
CFNB,0.487994206975,241411,206,21
CFNL,0.0402755310443,16159999,2298,21
CFR,0.0648463245599,1651843,371,2
CFRX,0.0397617956332,13757019,1870,21
CFX,0.0152650867394,1645561,335,2
CG,0.0264055930542,11698510,3561,21
CGA,0.0211319257121,778216,171,2
CGEN,0.0273315630104,7930248,2154,21
CGI,0.038653581152,6910807,2762,21
CGIX,0.0276479608987,9646014,2260,21
CGNT,0.0287415825196,499027,112,2
CGNX,0.0556600612885,551490,258,2
CHCI,0.0927291976205,921534,129,2
CHCO,0.190928287892,6673721,1559,21
CHDN,0.472093598125,12720196,1881,21
CHE,0.586329160778,14133992,2369,21
CHEF,0.0442238203996,8299315,2051,21
CHEK,0.0602809377006,141751,119,2
CHFC,0.032454118901,24599450,2794,21
CHFN,0.11327698879,8220524,1120,21
CHGG,0.014499313999,16753473,2572,21
CHH,0.0514361644332,10810934,1992,21
CHKE,0.0940829697277,18611417,1954,21
CHKR,0.0284179172973,8380572,2492,21
CHMA,0.0438098407309,8582767,2243,21
CHMG,0.661174492558,1984166,819,21
CHMT,0.0208506847742,41540919,3149,21
CHNR,0.0599772222023,5460484,211,2
CHRS,0.105523388203,39479139,2862,21
CHUY,0.0459346380639,14668086,2566,21
CIA,0.0572353455318,6719483,1787,21
CIFC,0.0625314721815,1043010,624,21
CIGI,0.161745206281,8439398,1153,21
CINR,0.341405596694,39697113,2052,21
CIR,0.239266412429,10943027,1547,21
CIVB,0.132147353765,2712042,1011,21
CIVI,0.0613858393051,7367541,1608,21
CIX,0.238172919691,2411361,805,21
CIZN,1.35313917836,143615,219,21
CJJD,0.0774988343863,74553,64,2
CKEC,0.0623111329081,5530846,1730,21
CKH,0.198014793392,13308976,1989,21
CKX,0.519226591102,54082,59,13
CLAC,0.106691456052,150235,19,13
CLB,0.221859506898,1759959,314,2
CLBH,0.288682680383,608316,227,21
CLC,0.0659835423521,290564,219,2
CLCD,0.113459154801,114270245,5821,21
CLCT,0.135657954305,2058577,1206,21
CLD,0.0104690840171,6004053,419,2
CLDC,0.126784138095,1331637,138,2
CLFD,0.0710790359797,3065309,1131,21
CLGX,0.0369791272862,1969993,359,2
CLH,0.0524651373987,10476952,2688,21
CLIR,0.0651573815377,12467592,1540,21
CLMS,0.0357407127356,2828314,1861,21
CLMT,0.0218370348072,48534658,4516,21
CLNE,0.0119931292552,8914885,730,2
CLNT,0.0229303840151,671432,184,2
CLRO,0.245219969841,667797,489,21
CLS,0.0127534838117,2256049,1138,21
CLSN,0.0399263647022,244797,119,2
CLUB,0.0604063353157,3183251,1246,21
CLVS,0.0539366088993,6267151,670,2
CLW,0.232904628637,7028764,1724,21
CLWT,0.153769623137,9852775,1270,21
CMC,0.0105864656975,1007418,268,2
CMCO,0.0755411876457,5816499,1249,21
CMCT,0.573504686398,5704915,936,21
CMFN,0.0762926803685,6023295,1549,21
CMN,0.189375003976,326976,214,2
CMP,0.0929333376198,19619694,3290,21
CMPR,0.209189245076,1657492,233,2
CMRE,0.0332214103942,13343617,3101,21
CMT,0.110329916877,41086244,2526,21
CMTL,0.0259748000312,10511267,2385,21
CNAT,0.0292301868752,560588,223,2
CNBKA,0.511117293267,393552,404,21
CNCE,0.0554307486401,12815383,1884,21
CNFR,0.328646441255,9738714,991,21
CNIT,0.018989752828,1124642,137,2
CNK,0.0237147784595,1785362,312,2
CNMD,0.0746163540367,9408833,1787,21
CNNX,0.0839054547055,71141567,2628,21
CNO,0.00999276197675,2468616,299,2
CNOB,0.0794986148031,1786172,1047,21
CNS,0.0933980353663,10821254,1909,21
CNSL,0.0464486520577,4957371,2186,21
CNTY,0.041599178539,3524574,1043,21
CNV,0.019260893707,1089216,696,21
CNXC,0.161620525614,20818500,2131,21
CNXN,0.123697868061,2141759,755,16
CNXR,0.0305721474718,116090,106,2
CO,0.0337104140898,2382551,718,21
COB,0.158184384328,2111635,637,21
COBZ,0.0485110434117,10829081,1386,21
CODI,0.038365508439,11435403,2477,21
COGT,0.0638519191348,2421117,533,5
COHR,0.216723444059,5996628,2172,21
COHU,0.049413491074,6869038,1409,21
COKE,0.693297599132,35305444,2467,21
COLB,0.0320571539229,24588041,2420,21
COLL,0.0682014939856,29470364,3330,21
COLM,0.0815414438168,10749314,342,2
CONE,0.0259817214196,1189890,352,2
CONN,0.0251165086714,49861293,5198,21
CORE,0.0445912130311,20551114,2700,21
CORI,0.0894308688914,4980979,1261,21
CORR,0.0796667487294,13865819,2668,21
CORT,0.0212358902622,9587361,2275,21
COT,0.0131772099333,12465874,2581,21
COTY,0.0227513647208,6489606,484,2
COVS,0.0627402838218,1650613,975,21
COWN,0.0131869109499,8806827,2008,21
COYN,0.0440942838036,4845005,246,2
CPA,0.0951991600882,2982694,303,2
CPAH,0.166447072858,240576,240,21
CPF,0.0401363146017,3490483,1348,21
CPHC,0.377587910161,273155,263,21
CPHD,0.0138441959885,116127526,4240,21
CPHR,0.254720784839,3958241,887,21
CPIX,0.361253194199,420935,289,21
CPK,0.191864445407,8445207,2095,21
CPLA,0.238045777591,7267036,1486,21
CPLP,0.0399616340965,20949044,3620,21
CPPL,0.0227015323634,34795598,3261,21
