n_fcm,hhi_seg,cr4_seg,total_seg,hhi_total,cr4_total,asof_file,year,month,era,month_end,avail_date
54,0.07729346085323253,0.47698616256494414,293788457513.0,0.08989592316624641,0.5115607405678089,2024-09-30,2024,9,A,2024-09-30,2024-11-14
54,0.07695828349108447,0.47496497295728185,287600597803.0,0.08932571364611493,0.5096296681667127,2024-10-31,2024,10,A,2024-10-31,2024-12-15
54,0.07740070372539941,0.4796401928928158,302550233240.0,0.0886267631152046,0.5108175394448798,2024-11-30,2024,11,A,2024-11-30,2025-01-14
53,0.07741280170869023,0.47876851916125074,295186441073.0,0.08867804411785593,0.5059661312254355,2024-12-31,2024,12,A,2024-12-31,2025-02-14
53,0.07789849987798585,0.47712812785597913,304625948485.0,0.08817272521460226,0.5032932039054098,2025-01-31,2025,1,A,2025-01-31,2025-03-17
53,0.08194858755574122,0.48826563697702563,311114137457.0,0.09014408160732346,0.5108620984505172,2025-02-28,2025,2,A,2025-02-28,2025-04-14
53,0.08399220063836202,0.4966316290601622,312621543710.0,0.09148407855816171,0.514084093938697,2025-03-31,2025,3,A,2025-03-31,2025-05-15
53,0.08652411313070511,0.502364842736479,347200308644.0,0.0921135853209248,0.5185632875350294,2025-04-30,2025,4,A,2025-04-30,2025-06-14
53,0.08780333670157257,0.5057306934690925,346876920694.0,0.09307171935427913,0.521545708175986,2025-05-31,2025,5,A,2025-05-31,2025-07-15
53,0.08744861209955698,0.5101955946338765,351216244426.0,0.0927277313143979,0.520538243506203,2025-06-30,2025,6,A,2025-06-30,2025-08-14
53,0.08463606999441722,0.49512735833340843,354666414801.0,0.09064891760112198,0.5099089286476233,2025-07-31,2025,7,A,2025-07-31,2025-09-14
53,0.08788729356131261,0.5026492167261715,358195858091.0,0.09246339678846865,0.5165948020917908,2025-08-31,2025,8,A,2025-08-31,2025-10-15
53,0.08711881279132959,0.4985502143166767,364136908698.0,0.0919167670157765,0.5130283077115345,2025-09-30,2025,9,A,2025-09-30,2025-11-14
53,0.08607521525029112,0.4952950550436742,361951520859.0,0.09153344450700351,0.5101749516072218,2025-10-31,2025,10,A,2025-10-31,2025-12-15
53,0.08646493348181383,0.4963266472609517,358974141520.0,0.09239357387941548,0.5129994700632103,2025-11-30,2025,11,A,2025-11-30,2026-01-14
54,0.08554206660241935,0.4897662101611704,351052131525.0,0.09189522322312263,0.5081877137875292,2025-12-31,2025,12,A,2025-12-31,2026-02-14
54,0.08337347908252944,0.47434376920130505,367551463989.0,0.08932406582615114,0.4968377072955263,2026-01-31,2026,1,A,2026-01-31,2026-03-17
55,0.08540875375351524,0.494879541658393,391453846956.0,0.09070949930217857,0.5073391872746963,2026-02-28,2026,2,A,2026-02-28,2026-04-14
55,0.08249276991177691,0.4874800899010213,403293865897.0,0.0890765141012958,0.5018984452698876,2026-03-31,2026,3,A,2026-03-31,2026-05-15
56,0.07927966532563478,0.477029328139043,402413435530.0,0.08679006387525451,0.4902742004027635,2026-04-30,2026,4,A,2026-04-30,2026-06-14
56,0.07983685700250352,0.48006672871461387,400810469597.0,0.08730710323413893,0.4928119226613352,2026-05-31,2026,5,A,2026-05-31,2026-07-15
