Date,ticker,ret,log_rv_1d,log_range_var,log_forward5_rv,left_tail5,har_d_l1,har_w_l1,har_m_l1,range_l1,forecast_revision_shock_raw,growth_revision_raw,inflation_revision_raw,labor_revision_raw,speech_count_raw,chair_weighted_shock_raw,forecast_revision_shock_z_l1,chair_weighted_shock_z_l1,growth_revision_z_l1,inflation_revision_z_l1,labor_revision_z_l1,speech_count_z_l1
2025-07-29,SPY,-0.00264104930436293,-11.873157954035754,-11.000643504034208,-7.555215759837158,0.0,-16.57931437934336,-14.15781873762615,-12.203129171880619,-12.100077200717925,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
2025-07-30,SPY,-0.0012602604375215876,-13.352873765863626,-10.296132810623762,-7.519816334310504,0.0,-11.873157954035754,-12.991901629538654,-12.30150154456784,-11.000643504034208,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
2025-07-31,SPY,-0.003758217413957432,-11.167621052060182,-9.515834819631959,-7.420471812027697,0.0,-13.352873765863626,-13.754056915754187,-12.425983820574181,-10.296132810623762,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
2025-08-01,SPY,-0.01652622653760183,-8.20561334569176,-9.982190055675419,-7.443139362068598,0.0,-11.167621052060182,-12.782193886859883,-12.447650693582796,-9.515834819631959,28.25,-14.75,3.5,-8.0,2.0,32.599999999999994,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
2025-08-04,SPY,0.015085405109180883,-8.388055103263756,-10.446370126589906,-7.894849909828233,0.0,-8.20561334569176,-12.235716099398937,-12.090078105384492,-9.982190055675419,0.0,0.0,0.0,0.0,0.0,0.0,3.8651120987191323,4.070769298196885,-5.971763185704846,0.9609225151245321,-4.212868395881676,1.8256592138103787
2025-08-05,SPY,-0.005082723754089358,-10.56381597803159,-10.475859615281417,-8.811522270051109,0.0,-8.388055103263756,-10.597464244183017,-11.980573775205226,-10.446370126589906,0.0,0.0,0.0,0.0,0.0,0.0,-0.40265731312659947,-0.40205107419055036,-0.07239365871612306,-0.33795905597250975,-0.204676720372601,-0.6117609802904955
2025-08-06,SPY,0.007630375917781151,-9.751236333027894,-10.574517041384624,-8.354580440427661,0.0,-10.56381597803159,-10.335595848982184,-12.020094718375558,-10.475859615281417,0.0,0.0,0.0,0.0,0.0,0.0,-0.40265731312659947,-0.40205107419055036,-0.07239365871612306,-0.33795905597250975,-0.204676720372601,-0.6117609802904955
2025-08-07,SPY,-0.0008378898389995726,-14.169247846329016,-9.794723762480604,-8.574977239262152,0.0,-9.751236333027894,-9.615268362415037,-12.018284934071385,-10.574517041384624,0.0,0.0,0.0,0.0,0.0,0.0,-0.3949484406265764,-0.39381245281144567,-0.07942553306246264,-0.33297844348572936,-0.21864921638464346,-0.6020791024268269
2025-08-08,SPY,0.007767213410993179,-9.715687626582152,-11.202120704159196,-8.578657286788506,0.0,-14.169247846329016,-10.215593721268803,-11.97966488200962,-9.794723762480604,0.0,0.0,0.0,0.0,0.0,0.0,-0.3814920741725565,-0.38045019624938464,-0.06673322312033388,-0.3302263922598519,-0.2070663377384934,-0.5899936045039906
2025-08-11,SPY,-0.001979362140500207,-12.44996127488016,-11.020109149143181,-8.923341618628346,0.0,-9.715687626582152,-10.517608577446882,-11.955873942433355,-11.202120704159196,15.32677848467322,-7.301908617698091,-2.0242914979757085,-6.000578368999421,1.0,18.39213418160786,-0.3814920741725565,-0.38045019624938464,-0.06673322312033388,-0.3302263922598519,-0.2070663377384934,-0.5899936045039906
