date,exchange,asset,quote,open,high,low,close,volume
2024-10-26,kraken,BTC,USD,66606.8,67348.4,66364.0,67026.0,551.1168065
2024-10-27,kraken,BTC,USD,67026.1,68196.0,66850.4,67941.2,669.93058797
2024-10-28,kraken,BTC,USD,67941.3,70200.0,67535.0,69911.9,2663.61172521
2024-10-29,kraken,BTC,USD,69912.0,73574.9,69720.1,72661.0,3112.48180118
2024-10-30,kraken,BTC,USD,72661.0,72887.9,71400.0,72331.1,1750.94496989
2024-10-31,kraken,BTC,USD,72331.1,72662.0,69602.0,70250.1,1855.72917608
2024-11-01,kraken,BTC,USD,70250.1,71576.0,68810.0,69490.1,2425.4916887
2024-11-02,kraken,BTC,USD,69490.1,69858.8,69060.0,69300.0,803.13883973
2024-11-03,kraken,BTC,USD,69300.9,69363.3,67483.7,68748.7,2115.26348924
2024-11-04,kraken,BTC,USD,68748.7,69430.6,66836.0,67783.3,1544.56123278
2024-11-05,kraken,BTC,USD,67787.8,70482.0,67481.4,69382.7,2008.23627213
2024-11-06,kraken,BTC,USD,69382.7,76457.6,69341.0,75642.0,8946.48732813
2024-11-07,kraken,BTC,USD,75642.1,76937.5,74500.0,75949.2,3152.67539089
2024-11-08,kraken,BTC,USD,75949.3,77242.0,75713.0,76550.4,2322.42184749
2024-11-09,kraken,BTC,USD,76550.5,76911.0,75785.2,76728.3,1025.99230375
2024-11-10,kraken,BTC,USD,76728.3,81480.7,76569.9,80423.3,4998.42665424
2024-11-11,kraken,BTC,USD,80423.3,89600.0,80299.9,88737.6,7092.85736454
2024-11-12,kraken,BTC,USD,88737.5,89920.0,85136.0,88087.3,6817.99545766
2024-11-13,kraken,BTC,USD,88087.3,93435.0,86258.0,90490.9,7626.54566803
2024-11-14,kraken,BTC,USD,90496.8,91780.0,86621.9,87313.2,6252.08697742
2024-11-15,kraken,BTC,USD,87314.4,91850.0,87135.0,91062.0,3879.47146166
2024-11-16,kraken,BTC,USD,91062.0,91750.0,90149.0,90555.1,1466.32281088
2024-11-17,kraken,BTC,USD,90567.7,91399.0,88728.6,89850.0,1823.63907979
2024-11-18,kraken,BTC,USD,89850.0,92607.2,89400.0,90507.9,3681.7495448
2024-11-19,kraken,BTC,USD,90508.0,94000.0,90424.6,92376.1,4118.94491548
2024-11-20,kraken,BTC,USD,92376.1,94925.0,91636.1,94364.5,3479.27477537
2024-11-21,kraken,BTC,USD,94356.8,98999.0,94135.0,98496.0,4985.84908294
2024-11-22,kraken,BTC,USD,98496.0,99650.0,97218.3,99000.0,3342.09282648
2024-11-23,kraken,BTC,USD,99000.0,99000.0,97219.2,97759.1,1822.84995162
2024-11-24,kraken,BTC,USD,97759.1,98607.4,95751.2,97994.1,1713.90019572
2024-11-25,kraken,BTC,USD,97994.1,98880.0,92550.0,93000.0,4287.35322125
2024-11-26,kraken,BTC,USD,93000.1,94995.0,90736.0,91914.5,3988.70968177
2024-11-27,kraken,BTC,USD,91914.6,97387.9,91818.3,95952.9,3676.00390362
2024-11-28,kraken,BTC,USD,95946.8,96652.0,94653.6,95637.8,1141.15914588
2024-11-29,kraken,BTC,USD,95637.8,98670.1,95385.7,97478.7,2810.05076582
2024-11-30,kraken,BTC,USD,97478.7,97491.2,96185.0,96456.2,724.351026
2024-12-01,kraken,BTC,USD,96456.3,97850.0,95754.4,97244.6,790.57085383
2024-12-02,kraken,BTC,USD,97245.0,98135.3,94450.0,95853.3,2076.03930234
2024-12-03,kraken,BTC,USD,95853.3,96267.2,93565.1,95917.5,1750.12703242
2024-12-04,kraken,BTC,USD,95917.5,99213.9,94656.9,98757.1,4007.40945935
2024-12-05,kraken,BTC,USD,98757.1,104015.5,91800.0,97087.3,8398.16065969
2024-12-06,kraken,BTC,USD,97087.3,101995.0,96510.3,99872.9,2727.15514037
2024-12-07,kraken,BTC,USD,99873.0,100501.4,99000.0,99899.9,829.88174542
2024-12-08,kraken,BTC,USD,99900.0,101400.0,98699.7,101170.0,1101.24140085
2024-12-09,kraken,BTC,USD,101170.0,101214.3,94140.9,97399.9,2874.85666097
2024-12-10,kraken,BTC,USD,97337.0,98267.9,94314.1,96655.1,2459.10248253
2024-12-11,kraken,BTC,USD,96655.1,101900.0,95754.0,101177.0,2523.39702118
2024-12-12,kraken,BTC,USD,101177.1,102500.0,99296.6,100050.1,1955.43808408
2024-12-13,kraken,BTC,USD,100050.1,101905.2,99250.0,101483.1,1358.12451422
2024-12-14,kraken,BTC,USD,101483.1,102637.2,100666.0,101400.1,926.63654907
2024-12-15,kraken,BTC,USD,101400.1,105000.0,101222.5,104355.2,2036.39517524
2024-12-16,kraken,BTC,USD,104355.3,107777.0,103319.4,106067.2,4525.54878744
2024-12-17,kraken,BTC,USD,106070.2,108297.6,105124.0,106151.9,4684.88958375
2024-12-18,kraken,BTC,USD,106152.0,106489.3,100027.8,100166.1,3014.79303894
2024-12-19,kraken,BTC,USD,100166.1,102750.0,95586.4,97431.4,3582.99338433
2024-12-20,kraken,BTC,USD,97431.5,98064.7,92159.0,97781.8,3145.57762405
2024-12-21,kraken,BTC,USD,97781.8,99575.4,96359.8,97232.6,1158.06359574
2024-12-22,kraken,BTC,USD,97232.7,97321.3,94201.1,95101.9,843.50640738
2024-12-23,kraken,BTC,USD,95101.9,96403.0,92417.0,94699.4,1608.13292536
2024-12-24,kraken,BTC,USD,94699.4,99400.0,93500.0,98647.2,1533.79982235
2024-12-25,kraken,BTC,USD,98647.2,99411.6,97600.0,99310.8,681.61047112
2024-12-26,kraken,BTC,USD,99328.2,99821.8,95139.1,95645.0,1286.63045412
2024-12-27,kraken,BTC,USD,95660.9,97308.6,93300.0,94148.9,1781.17817466
2024-12-28,kraken,BTC,USD,94147.6,95497.0,94033.5,95204.1,447.87195123
2024-12-29,kraken,BTC,USD,95204.1,95204.1,92860.7,93551.0,698.54712674
2024-12-30,kraken,BTC,USD,93551.0,94858.7,91256.6,92611.3,2168.29172819
2024-12-31,kraken,BTC,USD,92611.3,96040.0,91934.1,93370.9,1697.95041413
2025-01-01,kraken,BTC,USD,93370.8,94888.0,92588.1,94380.8,576.16221881
2025-01-02,kraken,BTC,USD,94380.9,97719.9,94167.2,96805.2,1727.87834504
2025-01-03,kraken,BTC,USD,96805.3,98888.0,96034.1,98111.1,1520.22829624
2025-01-04,kraken,BTC,USD,98111.1,98714.8,97548.4,98208.9,630.75266227
2025-01-05,kraken,BTC,USD,98208.9,98750.0,97250.0,98306.2,437.30434173
2025-01-06,kraken,BTC,USD,98306.3,102479.6,97974.0,102222.0,2276.11065977
2025-01-07,kraken,BTC,USD,102222.0,102759.3,96100.0,96932.2,2322.87122789
2025-01-08,kraken,BTC,USD,96932.2,97232.8,92501.0,95060.4,2675.62697608
2025-01-09,kraken,BTC,USD,95060.1,95251.1,91168.5,92531.7,2567.92194993
2025-01-10,kraken,BTC,USD,92523.5,95771.2,92200.0,94698.8,2409.34482421
2025-01-11,kraken,BTC,USD,94698.9,94986.6,93865.0,94562.1,315.42363614
2025-01-12,kraken,BTC,USD,94562.1,95300.0,93652.2,94449.9,432.7113658
2025-01-13,kraken,BTC,USD,94450.0,95808.2,89005.8,94487.1,3303.02566784
2025-01-14,kraken,BTC,USD,94487.1,97302.9,94313.0,96560.1,1407.26000359
2025-01-15,kraken,BTC,USD,96560.1,100731.7,96500.0,100496.4,2160.29010015
2025-01-16,kraken,BTC,USD,100496.5,100700.0,97333.0,99976.7,1764.68463636
2025-01-17,kraken,BTC,USD,99976.7,105883.0,99952.8,104089.8,3507.92883752
2025-01-18,kraken,BTC,USD,104089.8,104907.3,102222.0,104382.0,1776.25333653
2025-01-19,kraken,BTC,USD,104382.0,106246.6,99538.2,101191.1,4231.21213917
2025-01-20,kraken,BTC,USD,101191.0,109112.0,99500.0,102162.8,6144.71011387
2025-01-21,kraken,BTC,USD,102142.1,107200.0,100114.2,106162.8,2766.17867975
2025-01-22,kraken,BTC,USD,106162.8,106293.4,103271.3,103648.5,1391.42072629
2025-01-23,kraken,BTC,USD,103648.6,106833.2,101281.7,103920.2,4692.19078465
2025-01-24,kraken,BTC,USD,103920.2,107080.6,102800.0,104840.4,1795.72253619
2025-01-25,kraken,BTC,USD,104840.4,105194.1,104250.0,104705.2,643.54540419
2025-01-26,kraken,BTC,USD,104705.3,105380.0,102544.1,102596.5,949.0648101
2025-01-27,kraken,BTC,USD,102596.5,103200.0,97688.7,102133.3,3883.43048284
2025-01-28,kraken,BTC,USD,102133.3,103728.0,100200.0,101299.8,1817.06633
2025-01-29,kraken,BTC,USD,101299.9,104749.1,101277.6,103708.0,2068.76411452
2025-01-30,kraken,BTC,USD,103708.1,106414.4,103252.5,104750.1,2010.23973624
2025-01-31,kraken,BTC,USD,104750.1,106000.0,101500.0,102406.0,1755.91946054
2025-02-01,kraken,BTC,USD,102406.0,102748.6,100147.0,100624.2,1188.3889118
