date,added,removed,reason
2019-06-07,BMS,MAT,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[92]
2019-06-11,AMCR,BMS,BMS changed to AMCR post merger with Amcor;[91] subsequently renamed to Amcor[92]
2019-07-01,MKTX,LLL,L3 purchased by Harris Corporation[90]
2019-07-15,TMUS,RHT,S&P 500 & 100 constituent IBM acquired Red Hat.[89]
2019-08-09,IEX,FL,Market capitalization change.[88]
2019-08-09,LDOS,APC,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[88]
2019-09-23,CDW,TSS,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[87]
2019-09-26,NVR,JEF,JEF spun off SPB.[86]
2019-10-03,LVS,NKTR,Market capitalization change.[85]
2019-11-21,NOW,CELG,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[84]
2019-12-05,WRB,VIAB,CBS acquired Viacom to form ViacomCBS.[83]
2019-12-09,ODFL,STI,BB&T acquired SunTrust to form Truist Financial.[82]
2019-12-23,ZBRA,TRIP,Market capitalization change.[81]
2019-12-23,LYV,AMG,Market capitalization change.[81]
2019-12-23,STE,MAC,Market capitalization change.[81]
2020-01-28,PAYC,WCG,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[80]
2020-03-02,IR,XEC,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[78][79]"
2020-04-01,HWM,ARNC,Arconic separated into 2 companies - Howmet remained on the index.[77]
2020-04-03,CARR,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[76]
2020-04-03,OTIS,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[76]
2020-04-06,,RTN,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[76]
2020-04-06,,M,Market capitalization change.[76]
2020-05-12,DPZ,CPRI,Market capitalization change.[75]
2020-05-12,DXCM,AGN,Allergan acquired by AbbVie.[75]
2020-05-22,WST,HP,Market capitalization change.[74]
2020-06-22,TDY,HOG,Market capitalization change.[73]
2020-06-22,BIO,ADS,Market capitalization change.[73]
2020-06-22,TYL,JWN,Market capitalization change.[73]
2020-09-21,CTLT,KSS,Market capitalization change.[72]
2020-09-21,TER,COTY,Market capitalization change.[72]
2020-09-21,ETSY,HRB,Market capitalization change.[72]
2020-10-07,POOL,ETFC,Morgan Stanley acquired E*Trade.[71]
2020-10-09,VNT,,S&P 500 constituent Fortive spun off Vontier.[70]
2020-10-12,,NBL,Chevron acquired Noble Energy.[70]
2020-12-21,TSLA,AIV,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[69]
2021-01-07,ENPH,TIF,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[68]
2021-01-21,TRMB,CXO,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[67]
2021-02-12,MPWR,FTI,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[66]
2021-03-22,CZR,VNT,Market capitalization change.[65]
2021-03-22,GNRC,XRX,Market capitalization change.[65]
2021-03-22,PENN,SLG,Market capitalization change.[65]
2021-03-22,NXPI,FLS,Market capitalization change.[65]
2021-04-20,PTC,VAR,Siemens Healthineers acquired Varian Medical Systems.[64]
2021-05-14,CRL,FLIR,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[63]
2021-06-03,OGN,,S&P 500/100 constituent Merck & Co. spun off Organon.[57]
2021-06-04,,HFC,Market capitalization change.[57]
2021-07-21,MRNA,ALXN,AstraZeneca acquired Alexion Pharmaceuticals.[62]
2021-08-30,TECH,MXIM,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[61]
2021-09-20,CDAY,UNM,Market capitalization change.[60]
2021-09-20,BRO,NOV,Market capitalization change.[60]
2021-09-20,MTCH,PRGO,Market capitalization change.[60]
2021-12-14,EPAM,KSU,Canadian Pacific acquired Kansas City Southern.[59]
2021-12-20,SEDG,HBI,Market capitalization change.[58]
2021-12-20,SBNY,LEG,Market capitalization change.[58]
2021-12-20,FDS,WU,Market capitalization change.[58]
2022-02-02,CEG,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[57]
2022-02-03,,GPS,Market capitalization change.[57]
2022-02-15,NDSN,XLNX,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[56]
2022-03-02,MOH,INFO,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[55]
2022-04-04,CPT,PBCT,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[54]
2022-04-11,,DISCK,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[53]
2022-04-11,WBD,DISCA,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[53]
2022-06-08,VICI,CERN,S&P 500 constituent Oracle Corp. acquired Cerner.[52]
2022-06-21,KDP,UAA,Market capitalization change.[52]
2022-06-21,,UA,Market capitalization change.[52]
2022-06-21,ON,IPGP,Market capitalization change.[52]
2022-09-19,INVH,PENN,Market capitalization change.[51]
2022-09-19,CSGP,PVH,Market capitalization change.[51]
2022-10-03,EQT,DRE,S&P 500 constituent Prologis Inc. acquired Duke Realty.[50]
2022-10-03,PCG,CTXS,Vista Equity Partners acquired Citrix Systems.[50]
2022-10-12,TRGP,NLSN,Elliot Management Corp acquired Nielsen Holdings.[49]
2022-11-01,ACGL,TWTR,Elon Musk acquired Twitter.[48]
2022-12-15,MBC,,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[47]
2022-12-19,FSLR,FBHS,Market capitalization change.[47]
2022-12-19,,MBC,Market capitalization change.[47]
2022-12-22,STLD,ABMD,S&P 500 constituent Johnson & Johnson acquired Abiomed.[46]
2023-01-04,GEHC,,S&P 500 constituent General Electric spun off GE HealthCare.[45]
2023-01-05,,VNO,Market capitalization change.[45]
2023-03-15,PODD,SIVB,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[44]"
2023-03-15,BG,SBNY,The FDIC placed Signature Bank into FDIC Receivership.[43]
2023-03-20,FICO,LUMN,Market capitalization change.[42]
2023-05-04,AXON,FRC,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[41]
2023-06-20,PANW,DISH,Market capitalization change.[40]
2023-07-10,EG,RE,Everest Re Group renamed to Everest Group and changed its ticker symbol from RE to EG
2023-08-25,KVUE,AAP,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[39]
2023-09-18,BX,LNC,Market capitalization change.[38]
2023-09-18,ABNB,NWL,Market capitalization change.[38]
2023-10-02,VLTO,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[37]
2023-10-03,,DXC,Market capitalization change.[37]
2023-10-18,LULU,ATVI,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[36]
2023-10-18,HUBB,OGN,Market capitalization change.[36]
2023-12-18,BLDR,SEDG,Market capitalization change.[35]
2023-12-18,JBL,ALK,Market capitalization change.[35]
2023-12-18,UBER,SEE,Market capitalization change.[35]
2024-03-18,DECK,ZION,Market capitalization change.[34]
2024-03-18,SMCI,WHR,Market capitalization change.[34]
2024-04-01,SOLV,,S&P 500 and 100 constituent 3M Co. spun off Solventum.[33]
2024-04-02,GEV,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[33]
2024-04-03,,VFC,Market capitalization change.[33]
2024-04-03,,XRAY,Market capitalization change.[33]
2024-05-08,VST,PXD,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[32]
2024-06-24,CRWD,CMA,Market capitalization change.[31]
2024-06-24,KKR,RHI,Market capitalization change.[31]
2024-06-24,GDDY,ILMN,Market capitalization change.[31]
2024-09-23,ERIE,BIO,Market capitalization change.[30]
2024-09-23,DELL,ETSY,Market capitalization change.[30]
2024-09-23,PLTR,AAL,Market capitalization change.[30]
2024-09-30,AMTM,,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[29]"
2024-10-01,,BBWI,Market capitalization change.[29]
2024-11-26,TPL,MRO,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[28]
2024-12-23,APO,QRVO,Market capitalization change.[26]
2024-12-23,LII,CTLT,Novo Holdings A/S acquired Catalent.[27]
2024-12-23,WDAY,AMTM,Market capitalization change.[26]
2025-03-24,EXE,FMC,Market capitalization change.[25]
2025-03-24,WSM,CE,Market capitalization change.[25]
2025-03-24,TKO,TFX,Market capitalization change.[25]
2025-03-24,DASH,BWA,Market capitalization change.[25]
2025-05-19,COIN,DFS,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[24]
2025-07-09,DDOG,JNPR,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[23]
2025-07-18,TTD,ANSS,S&P 500 constituent Synopsys Inc. acquired Ansys.[22]
2025-07-23,XYZ,HES,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[21]
2025-08-28,IBKR,WBA,Sycamore Partners acquired Walgreen Boots Alliance.[20]
2025-09-22,EME,ENPH,Market capitalization change.[19]
2025-09-22,HOOD,CZR,Market capitalization change.[19]
2025-09-22,APP,MKTX,Market capitalization change.[19]
2025-10-30,SOLS,,S&P 500 and S&P 100 constituent Honeywell International Inc. spun off Solstice Advanced Materials.[18]
2025-10-31,,KMX,Market capitalization change.[18]
2025-11-03,Q,,"S&P 500 constituent Dupont de Nemours, Inc. spun off Qnity Electronics.[18]"
2025-11-04,,EMN,Market capitalization change.[18]
2025-11-28,SNDK,IPG,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.[16][17]
2025-12-11,ARES,K,Mars Inc. acquired Kellanova.[15]
2025-12-22,FIX,MHK,Market capitalization change.[14]
2025-12-22,CVNA,SOLS,Market capitalization change.[14]
2025-12-22,CRH,LKQ,Market capitalization change.[14]
2026-02-09,CIEN,DAY,Thoma Bravo L.P. acquired Dayforce.[13]
2026-03-23,VRT,MTCH,Market capitalization change.[12]
2026-03-23,COHR,LW,Market capitalization change.[12]
2026-03-23,SATS,PAYC,Market capitalization change.[12]
2026-03-23,LITE,MOH,Market capitalization change.[12]
2026-04-09,CASY,HOLX,Blackstone Inc. and TPG Inc. acquired Hologic.[11]
2026-05-07,VEEV,CTRA,S&P 500 constituent Devon Energy Corp. acquired Coterra Energy. [9][10]
2026-06-01,FDXF,,S&P 500 & 100 constituent FedEx Corp. spun off FedEx Freight Holding.[8]
2026-06-02,,EPAM,Market capitalization change.[8]
2026-06-22,FLEX,CPB,Market capitalization change.[7]
2026-06-22,MRVL,POOL,Market capitalization change.[7]
2026-06-29,HONA,,S&P 500 constituent Honeywell spun off Honeywell Aerospace.[6]
2026-06-30,,CAG,Market capitalization change.[6]
