week_end,obs_date,release_date,value
1990-08-24,1990-08-23,1990-08-24,45.2
1990-08-31,1990-08-30,1990-08-31,87.69
1990-09-07,1990-09-06,1990-09-07,152.36
1990-09-14,1990-09-13,1990-09-14,132.19
1990-09-21,1990-09-20,1990-09-21,202.23
1990-09-28,1990-09-27,1990-09-28,104.54
1990-10-05,1990-10-04,1990-10-05,109.06
1990-10-12,1990-10-11,1990-10-12,135.03
1990-10-19,1990-10-18,1990-10-19,65.13
1990-10-26,1990-10-25,1990-10-26,116.94
1990-11-02,1990-11-01,1990-11-02,293.25
1990-11-09,1990-11-08,1990-11-09,104.98
1990-11-16,1990-11-15,1990-11-16,124.54
1990-11-23,1990-11-22,1990-11-23,69.12
1990-11-30,1990-11-29,1990-11-30,468.59
1990-12-07,1990-12-06,1990-12-07,51.04
1990-12-14,1990-12-13,1990-12-14,76.06
1990-12-21,1990-12-20,1990-12-21,116.51
1990-12-28,1990-12-27,1990-12-28,83.2
1991-01-04,1991-01-03,1991-01-04,216.38
1991-01-11,1991-01-10,1991-01-11,108.74
1991-01-18,1991-01-17,1991-01-18,123.07
1991-01-25,1991-01-24,1991-01-25,49.07
1991-02-01,1991-01-31,1991-02-01,100.44
1991-02-08,1991-02-07,1991-02-08,81.16
1991-02-15,1991-02-14,1991-02-15,82.61
1991-02-22,1991-02-21,1991-02-22,165.69
1991-03-01,1991-02-28,1991-03-01,175.69
1991-03-08,1991-03-07,1991-03-08,395.19
1991-03-15,1991-03-14,1991-03-15,104.1
1991-03-22,1991-03-21,1991-03-22,71.39
1991-03-29,1991-03-28,1991-03-29,40.39
1991-04-05,1991-04-04,1991-04-05,40.82
1991-04-12,1991-04-11,1991-04-12,111.64
1991-04-19,1991-04-18,1991-04-19,144.11
1991-04-26,1991-04-25,1991-04-26,185.09
1991-05-03,1991-05-02,1991-05-03,65.08
1991-05-10,1991-05-09,1991-05-10,32.11
1991-05-17,1991-05-16,1991-05-17,64.01
1991-05-24,1991-05-23,1991-05-24,64.22
1991-05-31,1991-05-30,1991-05-31,80.02
1991-06-07,1991-06-06,1991-06-07,56.77
1991-06-14,1991-06-13,1991-06-14,41.32
1991-06-21,1991-06-20,1991-06-21,75.33
1991-06-28,1991-06-27,1991-06-28,57.81
1991-07-05,1991-07-04,1991-07-05,62.92
1991-07-12,1991-07-11,1991-07-12,159.4
1991-07-19,1991-07-18,1991-07-19,154.59
1991-07-26,1991-07-25,1991-07-26,202.59
1991-08-02,1991-08-01,1991-08-02,50.63
1991-08-09,1991-08-08,1991-08-09,57.83
1991-08-16,1991-08-15,1991-08-16,16.61
1991-08-23,1991-08-22,1991-08-23,107.38
1991-08-30,1991-08-29,1991-08-30,54.62
1991-09-06,1991-09-05,1991-09-06,155.83
1991-09-13,1991-09-12,1991-09-13,70.5
