date,DAI_mcap_usd
2022-02-18,11825534731.0
2022-02-19,11988173926.0
2022-02-20,12082690829.0
2022-02-21,12107265357.0
2022-02-22,12193932335.0
2022-02-23,12291312976.0
2022-02-24,12385951900.0
2022-02-25,12522155720.0
2022-02-26,12629481080.0
2022-02-27,12741783438.0
2022-02-28,12919428691.0
2022-03-01,12970007341.0
2022-03-02,13085772887.0
2022-03-03,13255975399.0
2022-03-04,13395833258.0
2022-03-05,13551723467.0
2022-03-06,13642580597.0
2022-03-07,13772528974.0
2022-03-08,13813811998.0
2022-03-09,14024290626.0
2022-03-10,14160305401.0
2022-03-11,14378525487.0
2022-03-12,14507539195.0
2022-03-13,14633641674.0
2022-03-14,14674878018.0
2022-03-15,14724985965.0
2022-03-16,14907156510.0
2022-03-17,15025682902.0
2022-03-18,15190441408.0
2022-03-19,15283977585.0
2022-03-20,15354115218.0
2022-03-21,15446967744.0
2022-03-22,15560151434.0
2022-03-23,15658940461.0
2022-03-24,15759818427.0
2022-03-25,15833425773.0
2022-03-26,15972075119.0
2022-03-27,16108377390.0
2022-03-28,16147426864.0
2022-03-29,16186187489.0
2022-03-30,16267850191.0
2022-03-31,16354574235.0
2022-04-01,16344087749.0
2022-04-02,16463503677.0
2022-04-03,16506118560.0
2022-04-04,16563471036.0
2022-04-05,16609804958.0
2022-04-06,16701994851.0
2022-04-07,16725027770.0
2022-04-08,16735196025.0
2022-04-09,16792352852.0
2022-04-10,16743735854.0
2022-04-11,16775472783.0
2022-04-12,16799425054.0
2022-04-13,16912080909.0
2022-04-14,17001148334.0
2022-04-15,17142009545.0
2022-04-16,17272985891.0
2022-04-17,17383771190.0
2022-04-18,17495158922.0
2022-04-19,17620196918.0
2022-04-20,17748931479.0
2022-04-21,17878851831.0
2022-04-22,17968821314.0
2022-04-23,18060423363.0
2022-04-24,18143289450.0
2022-04-25,18201040121.0
2022-04-26,18270487016.0
2022-04-27,18396147415.0
2022-04-28,18440419646.0
2022-04-29,18460844478.0
2022-04-30,18465813710.0
2022-05-01,18561479012.0
2022-05-02,18554496743.0
2022-05-03,18617900170.0
2022-05-04,18676405777.0
2022-05-05,18700360530.0
2022-05-06,18674018450.0
2022-05-07,18770471902.0
2022-05-08,18708520935.0
2022-05-09,18635285318.0
2022-05-10,15682326993.0
2022-05-11,13692512964.0
2022-06-22,0.0
