date,rv_aligned,active_delivery,n_returns,anchor_ok,rolled
2022-09-27,0.0001677330924005747,202210,230,True,False
2022-09-28,0.00019471055000117997,202210,229,True,False
2022-09-29,0.000194886244801847,202210,229,True,False
2022-09-30,0.00026757449595547864,202210,229,True,False
2022-10-03,0.0002010982913673653,202210,229,True,False
2022-10-04,0.00015441324429617427,202210,230,True,False
2022-10-05,0.00013931531107621371,202210,229,True,False
2022-10-06,0.0002049788536532314,202210,230,True,False
2022-10-07,0.00012959601517447978,202210,230,True,False
2022-10-11,0.00033541334126696186,202210,229,True,False
2022-10-12,0.0002909795104392659,202210,229,True,False
2022-10-13,0.00018475043798559844,202210,229,True,False
2022-10-14,0.0004488215112978391,202210,230,True,False
2022-10-17,0.00040334709180856756,202210,229,True,False
2022-10-18,0.000187068513780468,202210,229,True,False
2022-10-19,0.00019608653477477776,202210,228,True,False
2022-10-20,0.0003392583079895433,202211,229,True,True
2022-10-21,0.00026468360139305936,202211,229,True,False
2022-10-24,0.0002611931362063751,202211,229,True,False
2022-10-25,0.00025767174661703947,202211,230,True,False
2022-10-26,0.00028419327517011583,202211,229,True,False
2022-10-27,0.00017944127163817736,202211,229,True,False
2022-10-28,0.00015209794270024736,202211,229,True,False
2022-10-31,0.00012933944936341545,202211,230,True,False
2022-11-01,0.0001032935680303577,202211,229,True,False
2022-11-02,7.060546797318159e-05,202211,229,True,False
2022-11-03,0.00021815325323197953,202211,229,True,False
2022-11-04,0.00010347201739586821,202211,229,True,False
2022-11-07,0.00011600822685207195,202211,229,True,False
2022-11-08,5.984401953221447e-05,202211,229,True,False
2022-11-09,7.300114355553344e-05,202211,229,True,False
2022-11-10,8.76441011631743e-05,202211,229,True,False
2022-11-11,0.00029130330717082987,202211,229,True,False
2022-11-14,0.00015444350326850308,202211,230,True,False
2022-11-15,0.00021196980513566187,202211,229,True,False
2022-11-16,0.0003275130428887609,202211,228,True,False
2022-11-17,0.00011132310937926228,202212,229,True,True
2022-11-18,0.00021492762528752722,202212,229,True,False
2022-11-21,0.00012145554281434349,202212,229,True,False
2022-11-22,7.270205595765642e-05,202212,229,True,False
2022-11-23,5.602448908236374e-05,202212,229,True,False
