market,ticker,converged,theta0,alpha,gamma,beta,persistence,theta_eav_noVIX,theta_eav_noVIX_se,theta_eav_noVIX_t,loglik_noVIX,theta_vix_full,theta_eav,theta_eav_full_se,theta_eav_full_t,loglik_full,LR_stat,LR_p,n_obs,n_events,sigma2_sample,analyst_count,market_cap,median_daily_turnover
US,UNH,True,0.0004010622839466429,0.03725569952723732,0.048382045690991124,0.928715416580615,0.9901621389533478,0.00017199724726806194,0.00011564131411387093,1.4873339047210918,8304.4048937834,6.955000267737632e-07,0.0001242839155152,8.320717070290828e-05,1.4936683276856006,8336.77768655018,64.7455855335611,8.881784197001252e-16,3016,48,0.00031967194858607465,26.0,282804584448.0,845752939.3066406
US,V,True,0.0001915781142760323,0.006881725476506587,0.15888540369834203,0.8727207685979635,0.9590451959236411,0.0011016826991874327,0.00024967071408269777,4.412542749497344,8882.235227702775,4.6552011552958516e-07,0.0010341991043689,0.0002652758759789,3.8985795468671016,8962.305015245576,160.1395750856027,0.0,3016,48,0.00022846550594987842,35.0,592332324864.0,1131777220.8251953
US,JPM,True,0.00025822896672138095,0.027071303073500128,0.15062416931194925,0.845159258486508,0.9475426462159827,0.00022750813604229832,9.716534040823697e-05,2.341453599466954,8546.073013314846,6.043388866929982e-07,0.0001704273670659,6.753554554371766e-05,2.523520994668878,8633.549331101614,174.9526355735361,0.0,3016,48,0.00027795867217297063,23.0,839289536512.0,1207532505.8128357
US,WMT,True,0.0001772005147507575,0.017401542926173186,0.12088873347916405,0.8166218693082842,0.8944677789740394,5.057687655001923e-06,3.710374403782945e-05,0.13631205653654016,8956.252323014533,3.022223573484794e-07,1.337931656903908e-05,3.3427003764502724e-05,0.4002547360600424,9039.560377967871,166.6161099066776,0.0,3016,48,0.00017388347716050485,41.0,994078883840.0,723304290.7722473
US,MA,True,0.0002719118044949593,0.05560274438724953,0.1442612936871022,0.8322297223546702,0.9599631135854708,0.00016761701428260882,8.702201399401917e-05,1.9261449671129052,8580.28374403476,6.379302762307702e-07,5.567609619871822e-05,4.664831161807872e-05,1.1935286458929577,8659.796094290987,159.02470051245473,0.0,3016,48,0.0002715093940053405,35.0,449056800768.0,798959021.496582
US,JNJ,True,0.00011741548318275662,0.03786181165756587,0.05859618970802428,0.8510022326399909,0.9181621391515689,-4.901851836427849e-05,1.3583550540897688e-05,-3.6086675730835123,9488.775401002928,1.0837939036704261e-07,-5.587656055476958e-05,1.319538507203017e-05,-4.234553235828586,9516.034186891366,54.51757177687614,1.5409895581797173e-13,3016,48,0.00012785087651674167,24.0,567989108736.0,802777240.6768799
US,XOM,True,0.0002567732496161241,0.052732437410946506,0.03302473783084984,0.9236763884466971,0.9929211947730685,0.00029861154141050394,0.00011102698876035032,2.6895401266357983,8575.644358955557,7.016292790311462e-07,0.0002275811995214,9.680026074482578e-05,2.3510391167370304,8607.056684547953,62.824651184793765,2.220446049250313e-15,3016,48,0.0002827838157093039,24.0,634187022336.0,911728323.897171
US,PG,True,0.00011443561913772968,0.017613464409143374,0.0876386593916307,0.899923444441909,0.9613562385468677,-1.5938250114674928e-05,1.974266541663618e-05,-0.8072998137953825,9577.600960706424,1.8996492974178484e-07,6.614261816917509e-05,0.0002223574359443,0.2974607882496189,9611.643116287109,68.08431116136853,1.1102230246251565e-16,3016,48,0.00012912331285629502,22.0,334737080320.0,714029297.9370117
US,HD,True,0.00020413500968174354,0.02743919221639389,0.09904938885519908,0.8867614891010351,0.9637253757450286,3.811528583004049e-05,4.880635635400379e-05,0.7809492180399927,8790.928677941114,4.85430942120833e-07,0.0002363133761278,0.0003208052729743,0.7366255982543328,8840.086310964047,98.31526604586543,0.0,3016,48,0.00022646123176509888,33.0,336966123520.0,766734256.4163208
US,CVX,True,0.00026145054081873684,0.04154088849652109,0.06077901129454068,0.910897751544433,0.9828281456882244,0.00021398271068955043,9.557932171036584e-05,2.2387971253654904,8445.429303722265,6.712829713115085e-07,5.678293799701036e-05,3.097650488177413e-05,1.8330969944391675,8509.525002138307,128.19139683208414,0.0,3016,48,0.0003235692927823641,24.0,379934769152.0,686311507.3013306
US,ABBV,True,0.00028874624554985285,0.09709325059525475,0.015578426375485569,0.7819912880827338,0.8868737518657313,0.00012418869008112732,8.363134358687657e-05,1.4849539031035608,8199.944755138895,1.9081478237484046e-07,0.0001780565646212,0.0001067812807243,1.6674885655369929,8200.782580652518,1.6756510272462037,0.19550333239110007,3016,48,0.00028087858120289015,29.0,359677853696.0,515384737.3260498
US,AVGO,True,0.0006291516402120616,0.056094260082853065,0.07388909683739711,0.8821775958656918,0.9752164043672434,0.005152869467404387,0.0011236320767605591,4.5859045625149415,7350.336572441939,6.559218087378946e-07,0.0028381589976882,0.0005117837724532,5.54562131597749,7375.388330839052,50.10351679422638,1.4584999874500681e-12,3016,48,0.0005864307099855753,43.0,1784093868032.0,667754581.6802979
US,COST,True,0.00016716498457017035,0.018817360196015858,0.08449956050872766,0.9024432140202261,0.9635103544706057,0.0012034373844724425,0.0002666356109610711,4.513415819195076,9070.802763390022,2.798086803743217e-07,0.0009016914396666,0.0002040679072104,4.418585224852409,9106.78650117343,71.96747556681657,0.0,3016,48,0.00017689346178435328,32.0,437064892416.0,592922278.2592773
US,PEP,True,0.00011638315322202476,0.02711576917626238,0.09632775430135995,0.882983583918018,0.9582632302449604,0.00010678931804029931,4.530578745062979e-05,2.3570789528085965,9584.102373765203,1.971096379689643e-07,0.000111226386348,5.08829612403828e-05,2.1859259688641677,9633.370083915408,98.5354203004099,0.0,3016,48,0.00013765665822451962,21.0,213399994368.0,482119928.0548096
US,KO,True,0.0001121887482625039,0.03232543419227979,0.0417424991369093,0.9212914857406415,0.9744881695013758,1.7427902248486224e-05,2.6115408745144705e-05,0.6673417375374745,9640.758583411029,2.580043148950118e-07,0.0002008806470807,,,9716.453245356424,151.38932389079127,0.0,3016,48,0.0001230540558593848,23.0,327072579584.0,555160001.3111115
US,MRK,True,0.00019585147052657303,0.036887058802927586,0.05270027639613971,0.8677988068188645,0.931036003819862,6.862346726216417e-05,5.393647715943118e-05,1.2723016199096506,8731.6730672893,2.2725721012446578e-07,3.731737425645448e-05,4.43529397554623e-05,0.8413731865847436,8750.551933769932,37.757732961261354,8.00985722193559e-10,3016,48,0.0001968373150594046,27.0,295030521856.0,595772182.0953369
US,ADBE,True,0.00046352709203861944,0.051870625228069824,0.14216329231025193,0.8517253756751393,0.974677647058335,0.005968208367498546,0.001222905617477311,4.880350766406775,7949.840342666216,7.447204576138141e-07,0.0037827503527546,0.0008196912911692,4.614847557253691,7982.051416518297,64.42214770416103,9.992007221626409e-16,3016,48,0.00042141630141303654,34.0,97017585664.0,819497078.0029297
US,CSCO,True,0.0001682200209148323,0.03680860162617662,0.11482531071544326,0.8508442654543846,0.9450655224382829,0.003343944113458971,0.0007142545202150347,4.681726217780516,8967.380028424986,3.801100708031378e-07,0.0029119198682605,0.0006520887077308,4.465527210850424,9035.096638380906,135.43321991183984,0.0,3016,48,0.00023643388203693446,22.0,323021733888.0,718158551.1779785
US,TMO,True,0.0002516032238361564,0.06665452173819672,0.09505411882155253,0.8200638406566365,0.9342454218056095,0.00010741095875345331,7.253896217835425e-05,1.4807347048798134,8465.971008945968,4.766119346945858e-07,5.668669031766336e-05,4.915508115542869e-05,1.153221375800798,8515.322427936157,98.70283798037781,0.0,3016,48,0.000247656818756751,25.0,188800385024.0,455945937.09106445
