Date,MO
2016-07-11,35.34329605102539
2016-07-12,34.83745193481445
2016-07-13,34.94367218017578
2016-07-14,34.86275100708008
2016-07-15,35.11061477661133
2016-07-18,34.98920440673828
2016-07-19,35.014503479003906
2016-07-20,34.90827560424805
2016-07-21,34.766639709472656
2016-07-22,34.83238983154297
2016-07-25,34.80204391479492
2016-07-26,34.36195755004883
2016-07-27,33.765071868896484
2016-07-28,33.94716262817383
2016-07-29,34.2456169128418
2016-08-01,34.220314025878906
2016-08-02,34.063507080078125
2016-08-03,33.572837829589844
2016-08-04,33.699302673339844
2016-08-05,33.65378189086914
2016-08-08,33.633548736572266
2016-08-09,33.699302673339844
2016-08-10,33.81058883666992
2016-08-11,33.760013580322266
2016-08-12,33.760013580322266
2016-08-15,33.5172004699707
2016-08-16,33.5172004699707
2016-08-17,33.61836624145508
2016-08-18,33.5424919128418
2016-08-19,33.552616119384766
2016-08-22,33.55767822265625
2016-08-23,33.61836624145508
2016-08-24,33.466617584228516
2016-08-25,33.34522247314453
2016-08-26,33.29969787597656
2016-08-29,33.43626403808594
2016-08-30,33.32497024536133
2016-08-31,33.431209564208984
2016-09-01,33.54755401611328
2016-09-02,33.83082580566406
2016-09-06,33.9926872253418
2016-09-07,33.7498893737793
2016-09-08,33.588016510009766
2016-09-09,32.151432037353516
2016-09-12,32.712913513183594
2016-09-13,32.45246887207031
2016-09-14,32.232887268066406
2016-09-15,32.29926681518555
2016-09-16,32.069480895996094
2016-09-19,32.028629302978516
2016-09-20,32.15629577636719
2016-09-21,32.426937103271484
2016-09-22,32.74354934692383
2016-09-23,32.61588668823242
2016-09-26,32.18693161010742
2016-09-27,32.33501434326172
2016-09-28,32.56481170654297
2016-09-29,32.07969284057617
2016-09-30,32.289058685302734
2016-10-03,32.09501266479492
2016-10-04,31.548595428466797
2016-10-05,31.262638092041016
2016-10-06,31.548595428466797
2016-10-07,31.620092391967773
2016-10-10,31.533287048339844
2016-10-11,31.65584945678711
2016-10-12,31.936708450317383
2016-10-13,32.0132942199707
2016-10-14,31.8856258392334
2016-10-17,31.88053321838379
2016-10-18,31.997983932495117
2016-10-19,31.61498260498047
2016-10-20,31.584348678588867
2016-10-21,32.529075622558594
2016-10-24,33.167396545410156
2016-10-25,33.044837951660156
2016-10-26,32.94781494140625
2016-10-27,32.901851654052734
2016-10-28,33.642303466796875
