Date,C
2010-10-12,31.150426864624023
2010-10-13,31.22388458251953
2010-10-14,29.828004837036133
2010-10-15,29.019847869873047
2010-10-18,30.636154174804688
2010-10-19,29.828004837036133
2010-10-20,30.19533920288086
2010-10-21,29.90147590637207
2010-10-22,30.19533920288086
2010-10-25,30.93001937866211
2010-10-26,30.709609985351562
2010-10-27,30.636154174804688
2010-10-28,30.636154174804688
2010-10-29,30.636154174804688
2010-11-01,30.489221572875977
2010-11-02,30.636154174804688
2010-11-03,30.7830867767334
2010-11-04,31.811649322509766
2010-11-05,32.98713302612305
2010-11-08,32.61977767944336
2010-11-09,31.591232299804688
2010-11-10,32.47284698486328
2010-11-11,32.03204345703125
2010-11-12,31.517776489257812
2010-11-15,31.73817253112793
2010-11-16,31.00350570678711
2010-11-17,30.7830867767334
2010-11-18,31.591232299804688
2010-11-19,31.37084197998047
2010-11-22,30.709609985351562
2010-11-23,30.12187957763672
2010-11-24,30.636154174804688
2010-11-26,30.19533920288086
2010-11-29,30.489221572875977
2010-11-30,30.856555938720703
2010-12-01,31.591232299804688
2010-12-02,32.47284698486328
2010-12-03,32.69325637817383
2010-12-06,32.69325637817383
2010-12-07,33.942230224609375
2010-12-08,34.08916091918945
2010-12-09,34.45648956298828
2010-12-10,35.04423141479492
2010-12-13,35.338096618652344
2010-12-14,34.45648956298828
2010-12-15,33.72179412841797
2010-12-16,33.72179412841797
2010-12-17,34.52995300292969
2010-12-20,34.60342788696289
2010-12-21,34.82383346557617
2010-12-22,34.7503547668457
2010-12-23,34.383018493652344
2010-12-27,35.04423141479492
2010-12-28,35.11768341064453
2010-12-29,35.04423141479492
2010-12-30,34.970767974853516
2010-12-31,34.7503547668457
2011-01-03,35.99930953979492
2011-01-04,35.99930953979492
2011-01-05,36.51359939575195
2011-01-06,36.36664962768555
2011-01-07,36.29318618774414
2011-01-10,36.072792053222656
2011-01-11,36.29318618774414
2011-01-12,37.321746826171875
2011-01-13,37.027870178222656
2011-01-14,37.68907928466797
2011-01-18,35.2646369934082
2011-01-19,34.970767974853516
2011-01-20,35.2646369934082
