Date,utility_rv_daily,utility_downside_daily,ag_rv_daily,ag_downside_daily,market_log_rv21_lag1,dsci,severe_dose,d2,d3,d4,dsci_lag1,severe_dose_lag1,dsci_delta4w_lag1,utility_rv_5d,utility_rv_past63_5d,utility_rv_logpast63_5d,utility_rv_22d,utility_rv_past63_22d,utility_rv_logpast63_22d,utility_downside_5d,utility_downside_past63_5d,utility_downside_logpast63_5d,utility_downside_22d,utility_downside_past63_22d,utility_downside_logpast63_22d,ag_rv_5d,ag_rv_past63_5d,ag_rv_logpast63_5d,ag_rv_22d,ag_rv_past63_22d,ag_rv_logpast63_22d,ag_downside_5d,ag_downside_past63_5d,ag_downside_logpast63_5d,ag_downside_22d,ag_downside_past63_22d,ag_downside_logpast63_22d
2019-02-14,5.3588844917596394e-05,0.0,0.0001068664415436371,0.0001068664415436371,-6.609583814953864,75.41,0.0163,1.63,0.0,0.0,78.07,0.0189,-105.00000000000003,0.0026357351350977947,0.016197601632656822,-4.122892095009017,0.0046092310234660434,0.07126944718369001,-2.641287554132508,0.0,0.010974186887482322,-4.512209410375336,0.0010209701179120043,0.04828642230492222,-3.0306048695215333,0.0006592662616535735,0.001120890501853558,-6.793631817759667,0.0025534824367791,0.0049319182081556555,-5.312027277524838,0.0005248236936944218,0.0005618691866651309,-7.484241497325588,0.0018899238902303603,0.0024722244213265764,-6.0026369577766525
2019-02-15,3.2140823087776796e-07,0.0,0.00013649389828082837,0.00013649389828082837,-6.706892442168895,75.41,0.0163,1.63,0.0,0.0,75.41,0.0163,-107.66000000000003,0.0027797241124196213,0.016197046353200233,-4.1229263771816065,0.004556000237850585,0.07126700395408102,-2.641321836305099,0.0001975778222394232,0.010974186887482322,-4.512209410375336,0.0010209701179120043,0.04828642230492222,-3.0306048695215333,0.0005809783593824738,0.0011174845343187346,-6.796675070213259,0.0024519489711904846,0.0049169319510024324,-5.315070529980531,0.00044653579142332197,0.0005584632191303075,-7.490321796358886,0.0017883904246417449,0.002457238164173353,-6.008717256818338
2019-02-19,0.002372014949397338,0.0,0.00021685035036080532,0.00021685035036080532,-6.619513728585455,75.41,0.0163,1.63,0.0,0.0,75.41,0.0163,-98.24000000000001,0.0027841815128674466,0.01619527658463723,-4.123035648046067,0.004559831053066968,0.0712592169724038,-2.641431107169565,0.00020235663091812628,0.01097234609721055,-4.512377162637363,0.0010209701179120043,0.04827832282772642,-3.030772621783573,0.0008452178804048161,0.0011162288001740073,-6.797799417063411,0.0023790767527088023,0.004911406720765632,-5.316194876831461,0.0007107753124456644,0.0005572074849855802,-7.492572881142447,0.0016518965263609166,0.0024517129339365526,-6.010968341605017
2019-02-20,0.00014993086317552782,0.0,6.461300350915178e-05,6.461300350915178e-05,-6.660937016388316,75.41,0.0163,1.63,0.0,0.0,75.41,0.0163,-98.24000000000001,0.00045133115950463196,0.016192821636053747,-4.123187243769367,0.002193909066359917,0.07124841519863648,-2.6415827028928716,0.00020235663091812628,0.01097313862321518,-4.512304935843105,0.0010209701179120043,0.048281809942146786,-3.030700394989309,0.0006583860598010694,0.0010727220631839662,-6.837555875742402,0.0021838934819631037,0.0047199770780094515,-5.3559513355385295,0.0005239434918419177,0.0005137007479955392,-7.5738696624513535,0.0014567132556152177,0.0022602832911803724,-6.092265123031374
2019-02-21,5.9879069376454296e-05,0.0,0.00013444256795915,0.0,-6.8041340102633985,38.06,0.013600000000000001,1.36,0.0,0.0,75.41,0.0163,-98.24000000000001,0.0005104705493347661,0.016258045003855904,-4.1191674154947835,0.0020470624576571232,0.07153539801696598,-2.637562874618097,0.0004114268839237883,0.01097074702532537,-4.512522909809737,0.0010240543723847386,0.04827128691143162,-3.0309183689559562,0.0005942247429268706,0.0010778708426153942,-6.832767624790702,0.00252427861401956,0.0047426317075077344,-5.351163084583388,0.0004597821749677189,0.0005188495274269671,-7.563896642794643,0.001392100252106066,0.002282937920678655,-6.082292103359737
2019-02-22,0.0001975778222394232,0.0001975778222394232,2.8578539272537365e-05,2.8578539272537365e-05,-6.972986152005866,38.06,0.013600000000000001,1.36,0.0,0.0,38.06,0.013600000000000001,-135.59,0.0010374236369711973,0.015329442276171074,-4.17797996789714,0.0027216246047935574,0.06744954601515273,-2.6963754270233324,0.0009982590409366738,0.010042136334154898,-4.600965404967569,0.001758495588897627,0.044185399870281555,-3.119360864120302,0.0005377234618723616,0.0010774277644205743,-6.83317877728642,0.0024264628937916725,0.004740682163450527,-5.351574237079401,0.0005377234618723598,0.0005184064492321472,-7.564750970426173,0.001392100252106066,0.0022809883766214474,-6.08314643099254
2019-02-25,4.7788086787030876e-06,4.7788086787030876e-06,0.00040073341930317076,0.00040073341930317076,-6.937508236165001,38.06,0.013600000000000001,1.36,0.0,0.0,38.06,0.013600000000000001,-130.55,0.0014531223369596835,0.014369823974004155,-4.242624828444019,0.0025696361430195174,0.06322722548561828,-2.761020287573578,0.0008006812186972504,0.00907826494905801,-4.701872189423334,0.0016065071271235867,0.039944365775855244,-3.220267648584237,0.0005399964751697836,0.001027011447069634,-6.881102200999856,0.002508326325379038,0.004518850367106389,-5.399497660828044,0.0005399964751697818,0.0005268879128467216,-7.548522719241913,0.0014739636836934317,0.0023183068165255746,-6.0669181797842855
2019-02-26,3.916459603452358e-05,0.0,3.0018529757058658e-05,3.0018529757058658e-05,-6.93589326987577,38.06,0.013600000000000001,1.36,0.0,0.0,38.06,0.013600000000000001,-130.55,0.0014759387228577595,0.014365922379836573,-4.242896378320834,0.0025876840368202108,0.06321005847128092,-2.7612918374504076,0.0007959024100185475,0.00907826494905801,-4.701872189423334,0.0016245550209242803,0.039944365775855244,-3.220267648584237,0.0001419657618526278,0.0010334623476057616,-6.874840610463248,0.002110035708713812,0.0045472343294653515,-5.393236070286739,0.00013926305586661102,0.0005333388133828492,-7.536353661489477,0.0010732302643902609,0.0023466907788845365,-6.05474912201411
2019-02-27,0.000209070253005662,0.000209070253005662,4.516866349529978e-07,4.516866349529978e-07,-7.011153542122876,38.06,0.013600000000000001,1.36,0.0,0.0,38.06,0.013600000000000001,-130.55,0.0014929887614253746,0.013894470717254746,-4.276264308038558,0.0025676638954033335,0.06113567115592088,-2.7946597671699562,0.0007959024100185475,0.008418558131762108,-4.777316708531575,0.0016436994755419264,0.037041655779753276,-3.2957121676991474,0.00019686800150927637,0.0010474307532979882,-6.8614150140351695,0.002159164404525378,0.004608695314511148,-5.37981047384869,0.00010924452610955238,0.0005505491586495798,-7.50459430578931,0.0011223589602018264,0.0024224162980581512,-6.022989766268652
2019-02-28,0.0005868321570128855,0.0005868321570128855,7.794128690464092e-05,7.794128690464092e-05,-7.077661602192254,15.16,0.0,0.0,0.0,0.0,38.06,0.013600000000000001,-130.55,0.001296352075664763,0.01179072949739371,-4.440441692013347,0.002415307580371224,0.05187920978853232,-2.9588371511546687,0.0005992657242579358,0.006302917637045868,-5.0667426356401615,0.0014346292225362644,0.02773283760300182,-3.5851380948385447,0.00025541294162573247,0.0010423148670438585,-6.866311204671539,0.002942858144586043,0.004586185414992977,-5.3847066644886805,0.00016778946622600843,0.0005454332723954501,-7.513930082087933,0.001906052700262491,0.00239990639853998,-6.032325542580439
