date,TLT,IEF,ZN=F,SPY
2011-07-15,63.27252197265625,70.49825286865234,124.859375,101.14419555664062
2011-07-18,62.660621643066406,70.45486450195312,124.921875,100.31473541259766
2011-07-19,63.96335220336914,70.72195434570312,124.921875,101.94300079345703
2011-07-20,63.20669174194336,70.37555694580078,124.59375,101.88153839111328
2011-07-21,62.71990966796875,69.9858627319336,124.0,103.29471588134766
2011-07-22,63.193580627441406,70.25286865234375,124.328125,103.36386108398438
2011-07-25,62.50275802612305,70.0291748046875,124.125,102.787841796875
2011-07-26,62.9304313659668,70.32502746582031,124.53125,102.40381622314453
2011-07-27,62.93700408935547,70.20956420898438,124.234375,100.30706024169922
2011-07-28,63.17384338378906,70.3466796875,124.5,100.01519012451172
2011-07-29,64.42391967773438,71.19821166992188,125.6875,99.33165740966797
2011-08-01,65.0740737915039,71.45719146728516,126.140625,98.90918731689453
2011-08-02,67.02803802490234,72.11546325683594,126.953125,96.38235473632812
2011-08-03,67.16007995605469,72.17337036132812,127.046875,96.90460205078125
2011-08-04,69.54972076416016,73.12826538085938,128.0,92.36544799804688
2011-08-05,67.54296112060547,72.2818832397461,127.046875,92.2271728515625
2011-08-08,69.67509460449219,73.43204498291016,128.578125,86.22105407714844
2011-08-09,69.88634490966797,73.85893249511719,129.828125,90.23026275634766
2011-08-10,71.96572875976562,74.83544158935547,130.0625,86.24411010742188
2011-08-11,68.33507537841797,73.73587799072266,129.21875,90.11507415771484
2011-08-12,69.6883316040039,74.24951934814453,129.875,90.72183990478516
2011-08-15,68.98197937011719,73.97465515136719,129.5625,92.6419448852539
2011-08-16,70.1240005493164,74.31464385986328,130.078125,91.850830078125
2011-08-17,71.35179901123047,74.83544158935547,130.359375,91.91231536865234
2011-08-18,72.81729125976562,75.22611236572266,130.78125,87.94917297363281
2011-08-19,73.40477752685547,75.30567169189453,130.796875,86.51292419433594
2011-08-22,73.21992492675781,75.16825866699219,130.59375,86.58203125
2011-08-23,72.2099380493164,74.86441040039062,130.328125,89.43150329589844
2011-08-24,70.15699768066406,74.06145477294922,129.578125,90.69108581542969
2011-08-25,70.91613006591797,74.51713562011719,129.984375,89.30859375
2011-08-26,71.61582946777344,74.75592041015625,130.28125,90.6065902709961
2011-08-29,70.62571716308594,74.26400756835938,129.71875,93.21031188964844
2011-08-30,71.76109313964844,74.77757263183594,130.390625,93.4560775756836
2011-08-31,70.65210723876953,74.50996398925781,130.03125,93.87081146240234
2011-09-01,72.1497802734375,75.10364532470703,130.609375,92.8877182006836
