week_end,NFCI
2024-07-26,-0.58176
2024-08-02,-0.58299
2024-08-09,-0.54608
2024-08-16,-0.49852
2024-08-23,-0.5228
2024-08-30,-0.5526
2024-09-06,-0.50418
2024-09-13,-0.57042
2024-09-20,-0.55834
2024-09-27,-0.57701
2024-10-04,-0.54952
2024-10-11,-0.56291
2024-10-18,-0.56546
2024-10-25,-0.56546
2024-11-01,-0.56125
2024-11-08,-0.51732
2024-11-15,-0.54587
2024-11-22,-0.59339
2024-11-29,-0.64189
2024-12-06,-0.62668
2024-12-13,-0.65048
2024-12-20,-0.65824
2024-12-27,-0.60364
2025-01-03,-0.59347
2025-01-10,-0.59794
2025-01-17,-0.62726
2025-01-24,-0.63747
2025-01-31,-0.65143
2025-02-07,-0.65329
2025-02-14,-0.64001
2025-02-21,-0.64763
2025-02-28,-0.6668
2025-03-07,-0.59095
2025-03-14,-0.56684
2025-03-21,-0.54589
2025-03-28,-0.55589
2025-04-04,-0.56516
2025-04-11,-0.54173
2025-04-18,-0.42028
2025-04-25,-0.43077
2025-05-02,-0.44273
2025-05-09,-0.44816
2025-05-16,-0.51219
2025-05-23,-0.58143
2025-05-30,-0.60589
2025-06-06,-0.47611
2025-06-13,-0.51212
2025-06-20,-0.5237
2025-06-27,-0.51043
2025-07-04,-0.49694
2025-07-11,-0.50977
2025-07-18,-0.54351
2025-07-25,-0.55311
2025-08-01,-0.56951
2025-08-08,-0.535
2025-08-15,-0.54493
2025-08-22,-0.55521
2025-08-29,-0.56025
2025-09-05,-0.52578
2025-09-12,-0.54306
2025-09-19,-0.56378
2025-09-26,-0.57265
2025-10-03,-0.55647
2025-10-10,-0.54613
2025-10-17,-0.55852
2025-10-24,-0.55171
2025-10-31,-0.54921
2025-11-07,-0.51456
2025-11-14,-0.53493
2025-11-21,-0.5382
2025-11-28,-0.53414
2025-12-05,-0.52426
2025-12-12,-0.54587
2025-12-19,-0.55282
2025-12-26,-0.54911
2026-01-02,-0.56896
2026-01-09,-0.5536
2026-01-16,-0.57258
2026-01-23,-0.59026
2026-01-30,-0.60032
2026-02-06,-0.55725
2026-02-13,-0.56306
2026-02-20,-0.56814
2026-02-27,-0.56294
2026-03-06,-0.52365
2026-03-13,-0.5137
2026-03-20,-0.48574
2026-03-27,-0.47504
2026-04-03,-0.43366
2026-04-10,-0.433
2026-04-17,-0.465
2026-04-24,-0.497
