date,total_spillover
2012-06-25,66.82550631467278
2012-07-02,66.6592668667129
2012-07-09,67.08648550123144
2012-07-16,64.43933739429164
2012-07-23,42.177499682421015
2012-07-30,42.347461344127204
2012-08-06,81.42473170732012
2012-08-13,78.37367024529158
2012-08-20,78.47112709034944
2012-08-27,78.46417137948252
2012-09-03,78.37890232502703
2012-09-10,78.39253960097994
2012-09-17,78.31726139193343
2012-09-24,78.28002444333693
2012-10-01,78.29447486608294
2012-10-08,80.19035914235229
2012-10-16,80.25821533284005
2012-10-23,80.22365617462853
2012-10-30,80.1104856017538
2012-11-06,80.044074487836
2012-11-13,79.95926167025921
2012-11-20,79.87024520865202
2012-11-27,79.88278032530833
2012-12-04,79.75817746582617
2012-12-11,79.58943726395299
2012-12-18,79.78627302624932
2012-12-25,79.6780889357947
2013-01-03,79.55606467162855
2013-01-10,79.50359552306932
2013-01-17,79.69026505164659
2013-01-24,79.60513521951565
2013-01-31,82.83493836565874
2013-02-18,82.56476448878786
2013-02-25,82.46287131225591
2013-03-05,82.81823919275382
2013-03-12,82.77312877665278
2013-03-19,82.77363789080634
2013-03-26,82.55655211304345
2013-04-02,82.43416274178288
2013-04-11,82.26228478755012
2013-04-18,82.18379878135116
2013-04-25,82.10582270897898
2013-05-03,80.58241198930703
2013-05-10,80.53545900465087
2013-05-17,80.5612593022912
2013-05-24,33.08966753511589
2013-05-31,33.26450626207286
2013-06-07,33.46908656091173
2013-06-17,33.60057764526778
2013-06-24,33.72194059531199
2013-07-01,33.41101289086254
2013-07-08,33.234730128338775
2013-07-15,33.6724488220806
2013-07-22,33.42653668152466
2013-07-29,35.363327916452064
2013-08-05,32.49454437326336
2013-08-12,33.382792041580444
2013-08-19,33.06674059002587
2013-08-27,31.415192689645927
2013-09-03,31.458510077532875
2013-09-10,31.48849019882044
2013-09-17,32.412885748235034
2013-09-26,33.43186213269329
2013-10-03,33.34474415201776
2013-10-11,33.7902286646804
2013-10-18,33.504006140594775
2013-10-25,33.77046189422698
2013-11-01,34.76958543668731
2013-11-08,32.9589804600871
2013-11-15,32.755560699097586
2013-11-22,33.09725354313994
2013-11-29,33.784616990663594
2013-12-06,34.41487233463576
2013-12-13,34.071850490469636
2013-12-20,33.56794501819632
2013-12-27,33.92388889988618
2014-01-06,33.57542358082768
2014-01-13,33.65810354212038
2014-01-20,34.27169726819923
2014-01-27,35.58495649434118
2014-02-11,34.43333489132442
2014-02-18,33.88928269746421
2014-02-25,33.54084686314473
2014-03-05,35.092863882265334
2014-03-12,34.60457039885008
2014-03-19,34.258408450637326
2014-03-26,34.958530065059556
2014-04-02,34.82913984211269
2014-04-10,33.921508197878666
2014-04-17,34.174077371878056
2014-04-24,33.43301834122422
2014-05-02,37.57115078656688
2014-05-09,35.68698385083906
2014-05-16,34.70641521390523
2014-05-23,34.00568656283329
2014-05-30,34.32941983855931
2014-06-09,34.330784956722724
2014-06-16,34.85652432003488
2014-06-23,34.0826828520642
2014-06-30,31.993715723051757
2014-07-07,32.12527427434794
2014-07-14,32.6956921081365
2014-07-21,31.15528202546569
2014-07-28,82.80065053625661
2014-08-04,80.42352703739013
2014-08-11,80.65870160232907
2014-08-18,80.56706711156001
2014-08-25,80.47251498281226
2014-09-01,80.49928993388494
2014-09-09,80.54799253285756
2014-09-16,80.4595006928817
2014-09-23,80.64141506261588
2014-09-30,80.58877749629508
2014-10-07,80.58263057434394
2014-10-15,80.85414710173208
2014-10-22,80.84998283217043
2014-10-29,80.62596789951205
2014-11-05,80.54780168102067
2014-11-12,80.76036126762838
2014-11-19,80.77610603531055
2014-11-26,80.735484806062
2014-12-03,80.66557796751664
2014-12-10,80.80424714865086
2014-12-17,80.80690063157996
2014-12-24,80.76576412052209
2014-12-31,80.88570656356394
2015-01-09,80.77542012728966
2015-01-16,80.94881170597307
2015-01-23,81.13791048142575
2015-01-30,83.08763319425718
2015-02-06,83.00147960284508
2015-02-13,81.95971473927356
2015-03-03,81.9123191141516
2015-03-10,81.84824225197994
2015-03-17,81.75322416709311
2015-03-24,81.79804012410898
2015-03-31,81.80801588022413
2015-04-09,81.8860757538933
2015-04-16,81.94611300062236
2015-04-23,82.07743189586236
2015-04-30,82.06939699968558
2015-05-08,81.86700243311424
2015-05-15,34.64016504034434
2015-05-22,35.5493198434307
2015-05-29,35.76159683820003
2015-06-05,37.08880459040283
2015-06-12,38.28602406948006
2015-06-22,37.58754438366679
2015-06-29,37.74258876965764
2015-07-06,36.64285518631673
2015-07-13,85.87795282444132
2015-07-20,82.75918249966941
2015-07-27,82.73816812735035
2015-08-03,81.61406362547137
2015-08-10,81.381062585782
2015-08-17,81.5514831315668
2015-08-24,81.55054859531619
2015-08-31,81.43761575753263
2015-09-07,81.48592374963103
2015-09-14,81.35422224172541
2015-09-21,81.28269120353282
2015-09-29,84.40224341562035
2015-10-06,84.38354150470731
2015-10-14,84.41018328848224
2015-10-21,84.46631597201912
2015-10-28,84.385406617577
2015-11-04,84.29962321185636
2015-11-11,84.30200025477905
2015-11-18,84.2076576149342
2015-11-25,84.23599951274483
2015-12-02,85.08879736175268
2015-12-09,85.06027427776786
2015-12-16,85.11636664553153
2015-12-23,85.09572445812678
2015-12-30,85.05911341197864
2016-01-07,85.07512748084713
2016-01-14,85.07272385728099
2016-01-21,85.12621099234995
2016-01-28,85.10218674645458
2016-02-15,85.21859456838955
2016-02-22,85.28555881014768
2016-03-01,85.25054175232276
2016-03-08,85.16427674030679
2016-03-15,85.17682585623493
2016-03-22,85.24164382795479
2016-03-29,85.197336628686
2016-04-07,84.31406982656314
2016-04-14,84.22358440044236
2016-04-21,84.2262695413256
2016-04-28,79.68396087480323
2016-05-06,79.83657777955005
2016-05-13,78.8868599910075
2016-05-20,80.0958978446994
2016-05-27,80.21045006676597
2016-06-03,80.28599368804498
2016-06-14,80.30564055004632
2016-06-21,80.63295270363855
