Symbol,yf_symbol,Security,sector,sub_industry,hq_location,county,state_name,county_fips,county_sci_sum,county_log_sci_sum,county_sci_z,county_sci_rank_pct,earnings_date,event_day,surprise_pct,vix_level,high_vix,pre_abs_mean,pre_rv_mean,event_abs,event_rv,post_abs_mean,post_rv_mean,jump_log_abs,jump_log_rv,decay_speed_log_abs,decay_speed_log_rv,abs_event_abn,rv_event_abn,abs_decay_abn,rv_decay_abn,sample_year,sample_quarter
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2025-05-01T10:00:00,2025-05-02T00:00:00,2.43,22.68000030517578,1,0.02416318266530255,0.0009279890182945364,0.021272163346129247,0.00045250493342440467,0.014211943609533862,0.0004113117629734638,-0.12743070814287746,-0.718221120073777,0.4033163889581038,0.09544716921814136,-0.002891019319173304,-0.00047548408487013173,0.007060219736595385,4.1193170450940875e-05,2025,2
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2025-02-12T12:00:00,2025-02-13T00:00:00,2.26,15.100000381469728,0,0.013212658029506353,0.00028111518635140357,0.036932286712176854,0.001363993801790435,0.008607588506298568,0.00015266043222833463,1.0279103493108528,1.5794075106567877,1.4564410574859672,2.1899556548369974,0.023719628682670503,0.0010828786154390316,0.028324698205878285,0.0012113333695621003,2025,1
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2024-10-30T10:00:00,2024-10-31T00:00:00,7.79,23.15999984741211,1,0.011460311698145365,0.00018743687454447351,0.04043567260151626,0.0016350436187370127,0.00787647390909747,0.00011952959988002372,1.2608218455734177,2.165982169121189,1.6358310279956967,2.6158599472097226,0.028975360903370894,0.0014476067441925391,0.032559198692418787,0.001515514018856989,2024,4
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2024-08-01T10:00:00,2024-08-02T00:00:00,31.03,23.38999938964844,1,0.016307205620105104,0.0005106978833501222,0.024210968718579196,0.0005861710062920203,0.015582826300301278,0.00038598406408934497,0.3951985104036647,0.13783335236530303,0.44063612495420734,0.417815394267591,0.007903763098474091,7.547312294189814e-05,0.008628142418277918,0.00020018694220267535,2024,3
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2024-04-24T11:00:00,2024-04-25T00:00:00,6.0,15.369999885559082,0,0.012192013778426514,0.00022978553360686964,0.0023241509115283776,5.401677459558189e-06,0.016771000630138387,0.000428752393686015,-1.6574228736401446,-3.7504187879323307,-1.9762927625572493,-4.374151756053856,-0.009867862866898136,-0.00022438385614731145,-0.01444684971861001,-0.00042335071622645685,2024,2
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2024-02-13T12:00:00,2024-02-14T00:00:00,-7.21,14.380000114440918,0,0.008264870696537452,0.00010188122126040347,0.026421387227642867,0.0006980897030330497,0.00929156823911601,0.00012475260385849072,1.162158886532646,1.92453913330923,1.0450657587202943,1.7220143435140562,0.018156516531105414,0.0005962084817726462,0.017129818988526856,0.0005733370991745589,2024,1
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2023-11-08T12:00:00,2023-11-09T00:00:00,9.42,15.289999961853027,0,0.012814105226849826,0.00025540772588546743,0.030856673439495275,0.0009521342957516532,0.008467305853039519,0.00012180454916971895,0.8788060545443855,1.3158446120250338,1.2931398120103315,2.0562876717651095,0.01804256821264545,0.0006967265698661858,0.022389367586455756,0.0008303297465819343,2023,4
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2023-07-25T11:00:00,2023-07-26T00:00:00,6.9,13.1899995803833,0,0.009013388158763336,0.00017363562006319117,0.01889666200254947,0.0003570838348385969,0.009748856832868923,0.00011924976422341197,0.7402736673884266,0.7210113239448666,0.6618347660541348,1.0967498745578863,0.009883273843786133,0.00018344821477540575,0.009147805169680546,0.00023783407061518495,2023,3
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2023-04-25T11:00:00,2023-04-26T00:00:00,3.53,18.84000015258789,0,0.009327868964510256,0.00013598577861291772,0.019739460322049318,0.00038964629380575935,0.01769850014440131,0.0004365974792541427,0.7496125469012054,1.052688598672701,0.10913973751802508,-0.11377225427206275,0.010411591357539062,0.00025366051519284163,0.002040960177648009,-4.6951185448383366e-05,2023,2
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2023-02-15T12:00:00,2023-02-16T00:00:00,16.24,20.170000076293945,1,0.011058964896739543,0.00017351536068044738,0.027067508032890153,0.000732649991110573,0.011992072773990258,0.00024620994139448217,0.8950921062707772,1.440401516474662,0.8140877492113475,1.0904832240051499,0.01600854313615061,0.0005591346304301256,0.015075435258899894,0.0004864400497160908,2023,1
