rep,horizon,total_variance_lift,avg_abs_corr_delta
6,35,0.45052402198829755,0.32908595016390657
6,36,0.42628230419374935,0.3301965270090402
6,37,0.3679730410307711,0.32149136368322895
6,38,0.30882566827808144,0.30984809095346744
6,39,0.30778465621355733,0.30913391889281094
6,40,0.2416779950514112,0.29998960167396554
6,41,0.24267469206288017,0.28421978185834756
6,42,0.21262283603251486,0.2653359904832593
6,43,0.15787057859354592,0.25900367496060156
6,44,0.19751171721025962,0.24954734706805878
6,45,0.20911732335511135,0.25261600617258734
6,46,0.34783675505897893,0.27036713223449205
6,47,0.27995988650767023,0.2631136491572391
6,48,0.23068949426083663,0.25922826638903235
6,49,0.2157609622995169,0.2540400630538925
6,50,0.14821045140091038,0.24807323383995014
6,51,0.08628273329329361,0.24784533787737537
6,52,0.08462001211318126,0.2720565711257932
6,53,0.04091334209373443,0.26658964113777583
6,54,0.026394927210916075,0.26879988567381774
6,55,-0.008353886632753826,0.2466044883021202
6,56,-0.052746218308764914,0.24921875035885854
6,57,-0.0940158143484755,0.24430107554731828
6,58,-0.08379391772445377,0.22947494878440988
6,59,-0.10578149020004046,0.2317890398883366
6,60,-0.12576541533444874,0.23176678024333053
7,0,0.0395444334356041,0.044241388104956404
7,1,0.02246544122687677,0.06140301958589596
7,2,0.01529308593991896,0.08302866231154907
7,3,-0.02208822086151574,0.09162819309097547
7,4,-0.011293124029974844,0.09899641041499198
7,5,-0.06758210920714802,0.09784231739597996
7,6,-0.10946769366192621,0.11360538645760199
7,7,-0.1152159618257883,0.10575873084593708
7,8,-0.12691443580581363,0.08380211061405421
7,9,-0.15530523172518684,0.08423484840035302
7,10,-0.20260548466610773,0.08523522297670806
7,11,-0.1931847444633591,0.11199717694547665
7,12,-0.2215264341946731,0.12510981647276392
7,13,-0.04465146240996665,0.05898208750647312
7,14,-0.01949177801523172,0.053564275722750854
7,15,-0.0582498805160937,0.055888364390802345
7,16,-0.09830631472331042,0.05557128200277576
7,17,-0.03404165635505563,0.05154835145897065
7,18,-0.0852017419706792,0.05341303262513554
7,19,-0.12797059331934502,0.05963232590890807
7,20,-0.10775290349928701,0.07992268733436979
7,21,-0.0732750836492414,0.06484397081971158
7,22,-0.10949062763483708,0.07523751219087149
7,23,-0.15417739677850772,0.07664693081868237
7,24,-0.20041247733422918,0.0758771092329378
7,25,-0.21746708868750686,0.0970128984798245
7,26,-0.2407170345888041,0.1137803723877322
7,27,-0.2827057069378669,0.11251452741705337
7,28,-0.28467896913747437,0.12928148740735088
7,29,-0.26752787780425047,0.1539429739117959
7,30,-0.29399168581377333,0.15133964704134578
7,31,-0.3189684466334871,0.14780637282234937
7,32,-0.3352404249409662,0.15882664827945706
7,33,-0.11241771534651435,0.10143988179542955
7,34,-0.14377066858409926,0.11262242465447969
7,35,-0.026229401453613188,0.12204529709862758
7,36,-0.004370473647091422,0.10071447628018618
7,37,-0.013030216166673547,0.10559155925813124
7,38,-0.0426626787930362,0.1302848617871764
7,39,-0.07150082789996393,0.13791116204551285
7,40,-0.004892036284486423,0.09780555068785034
7,41,0.12596504761945582,0.09056105733566443
7,42,0.12890194974831504,0.09409674590167613
7,43,0.07125105464421089,0.09391682635147867
7,44,0.08645183539880863,0.10727214407733618
7,45,0.26088172457496506,0.09199370864567016
7,46,0.19448809588314808,0.09512716462764283
7,47,0.24613065773019205,0.09240717055768369
7,48,0.3951978163618104,0.06830909271811404
7,49,0.6444201212827416,0.1446602060895737
7,50,0.6488742662212981,0.18862012602381503
7,51,0.586744317134003,0.19717510813504677
7,52,0.6159779965268251,0.23772555418173957
7,53,0.6869401231445411,0.2605426693506811
7,54,0.6345669401371894,0.27940820929130605
7,55,0.5857803660043843,0.2866769420353887
7,56,0.561725516028784,0.3231778485410881
7,57,0.6589900318199746,0.3132562828397534
7,58,0.6578908409814848,0.3451281044900962
7,59,0.6020349372291627,0.3542205861630605
7,60,0.5579690214657715,0.3659193500735628
8,0,-0.003646467012430765,0.045814829771987246
8,1,-0.051763767882692546,0.04873329499613097
8,2,-0.09168174678751662,0.04302761142506326
8,3,-0.12127756788912591,0.04454297857822719
8,4,-0.15942544539521286,0.04624417159685072
8,5,-0.18524790071246633,0.07561217012382712
8,6,-0.18830342945346068,0.11144209309461203
8,7,-0.2142734610413195,0.11710025934213522
8,8,-0.21361915178120683,0.10884204509652495
8,9,-0.23804492313376424,0.11545449224716813
8,10,-0.24355656688008187,0.10897089819285868
8,11,-0.2728391095351531,0.1135180587730297
8,12,-0.2891826020877626,0.10164370404762783
8,13,-0.3092038985332304,0.10826468624070613
8,14,-0.33686551768279227,0.1088654697757705
8,15,-0.3628353627954075,0.11303964054785118
8,16,-0.3654484421093662,0.12316281552483618
8,17,-0.399613259057639,0.12568558948164105
8,18,-0.4322049995080448,0.1289991088497027
8,19,-0.4385429751866192,0.11664011251891175
8,20,-0.4259704462808115,0.16711468472370605
8,21,-0.45621416950566407,0.16930063960612673
8,22,-0.4793130854513714,0.17075341668058822
8,23,-0.4071464296762247,0.296388959679736
8,24,-0.4340358689486402,0.2850447788623084
8,25,-0.46216130286009194,0.2820353327194482
8,26,-0.4770303839570067,0.2634864391155278
8,27,-0.4962741529298246,0.2651707726942309
8,28,-0.5242285917835782,0.26583435077474293
8,29,-0.536800528125833,0.2537913372526493
8,30,-0.5355817462293349,0.25947406162997483
8,31,-0.5471087270054901,0.24275165852468197
8,32,-0.43771873425067265,0.2068396998801104
8,33,-0.411979327870859,0.22689913930283678
8,34,-0.4376866932285647,0.22904269717910197
8,35,-0.43951933902848894,0.20151731464891354
8,36,-0.456536661916214,0.20150116283949374
8,37,-0.4841992845688593,0.2033072762288321
8,38,-0.4844937038828846,0.21230934751221642
8,39,-0.4955086793645542,0.20222922034277352
8,40,-0.5217386829385962,0.19936618236337952
8,41,-0.5478788042089537,0.19927659828882377
8,42,-0.5714052733895576,0.18992235224823967
8,43,-0.592566982617926,0.18641139985165955
8,44,-0.5655617517443541,0.18908311542688064
8,45,-0.5340709392097744,0.19049457313079152
8,46,-0.5602493544056966,0.19204291535035167
8,47,-0.5733848019767324,0.1859558858698472
8,48,-0.5780845301029882,0.17877300742299893
